team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
OLD LIN,Lezzerini,P,Fiorentina,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
QICELLO,Meret,P,Napoli,46.0,8.0,16.0,-8.0,20.0,10.0,-36.0,9,47.0,47.0,5.22,1.0,1.0217391304347827,1.0217391304347827
OLD LIN,De Gea,P,Fiorentina,40.0,12.0,14.0,-2.0,28.0,14.0,-26.0,35,182.0,182.0,5.2,1.0,4.55,4.55
QICELLO,Milinkovic-Savic V.,P,Napoli,16.0,17.0,4.0,13.0,37.0,18.5,2.5,27,161.0,161.0,5.96,1.0,10.0625,10.0625
OLD LIN,Christensen O.,P,Fiorentina,1.0,2.0,1.0,1.0,1.0,0.5,-0.5,1,6.5,6.5,6.5,1.0,6.5,6.5
QICELLO,Contini,P,Napoli,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
OLD LIN,Luperto,D,Cremonese,9.0,8.0,7.0,1.0,12.0,6.0,-3.0,13,74.0,87.0,5.69,0.8506,8.222222222222221,9.666666666666666
QICELLO,Di Lorenzo,D,Napoli,12.0,10.0,14.0,-4.0,28.0,14.0,2.0,3,21.5,21.5,7.17,1.0,1.7916666666666667,1.7916666666666667
OLD LIN,Zappa,D,Cagliari,6.0,6.0,6.0,0.0,8.0,4.0,-2.0,3,19.0,138.0,6.33,0.1377,3.1666666666666665,23.0
QICELLO,Gabbia,D,Milan,7.0,5.0,6.0,-1.0,14.0,7.0,0.0,14,83.0,157.5,5.93,0.527,11.857142857142858,22.5
OLD LIN,Gallo,D,Lecce,6.0,10.0,5.0,5.0,15.0,7.5,1.5,24,141.0,210.0,5.88,0.6714,23.5,35.0
QICELLO,Miranda J.,D,Bologna,10.0,10.0,9.0,1.0,25.0,12.5,2.5,19,119.0,189.0,6.26,0.6296,11.9,18.9
OLD LIN,Ismajli,D,Torino,7.0,6.0,8.0,-2.0,14.0,7.0,0.0,8,46.0,141.5,5.75,0.3251,6.571428571428571,20.214285714285715
QICELLO,Pavlovic,D,Milan,12.0,17.0,7.0,10.0,60.0,30.0,18.0,31,205.0,211.5,6.61,0.9693,17.083333333333332,17.625
OLD LIN,Baschirotto,D,Cremonese,20.0,9.0,8.0,1.0,13.0,6.5,-13.5,12,69.5,69.5,5.79,1.0,3.475,3.475
QICELLO,Gutierrez,D,Napoli,21.0,10.0,8.0,2.0,12.0,6.0,-15.0,17,106.0,130.5,6.24,0.8123,5.0476190476190474,6.214285714285714
OLD LIN,Circati,D,Parma,5.0,8.0,5.0,3.0,13.0,6.5,1.5,15,87.0,172.5,5.8,0.5043,17.4,34.5
QICELLO,De Winter,D,Milan,4.0,6.0,8.0,-2.0,10.0,5.0,1.0,2,16.5,90.0,8.25,0.1833,4.125,22.5
OLD LIN,Delprato,D,Parma,9.0,10.0,8.0,2.0,22.0,11.0,2.0,30,177.0,199.0,5.9,0.8894,19.666666666666668,22.11111111111111
