team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
ASR YOYO,Carnesecchi,P,36,35,35,0,0.9722,1.0,223.0,207.0,207.0,0.0,5.91,,11.5,2.0
ASR YOYO,Modric,C,36,31,28,3,0.7778,0.9087,200.0,208.0,189.0,19.0,6.75,6.33,11.5,5.5
ASR YOYO,Kean,A,36,24,24,0,0.6667,1.0,143.0,168.0,168.0,0.0,7.0,,13.5,4.5
ASR YOYO,Kalulu,D,36,35,24,11,0.6667,0.7051,215.5,225.5,159.0,66.5,6.62,6.05,11.0,4.0
ASR YOYO,Pellegrini Lo.,C,36,24,23,1,0.6389,0.9371,145.0,159.0,149.0,10.0,6.48,10.0,11.0,5.0
ASR YOYO,Esposito F.P.,A,36,30,20,10,0.5556,0.6815,188.0,213.5,145.5,68.0,7.28,6.8,11.0,5.5
ASR YOYO,Scamacca,A,36,20,19,1,0.5278,0.957,123.0,151.0,144.5,6.5,7.61,6.5,14.5,5.0
ASR YOYO,Malen,A,15,15,15,0,1.0,1.0,103.0,143.5,143.5,0.0,9.57,,18.5,5.0
ASR YOYO,Ostigard,D,36,29,19,10,0.5278,0.6901,178.5,192.0,132.5,59.5,6.97,5.95,11.0,4.5
ASR YOYO,Palestra,D,21,21,20,1,0.9524,0.9549,129.5,133.0,127.0,6.0,6.35,6.0,12.5,5.0
ASR YOYO,Akanji,D,36,32,20,12,0.5556,0.6146,201.0,205.0,126.0,79.0,6.3,6.58,10.0,5.0
ASR YOYO,Di Lorenzo,D,21,21,18,3,0.8571,0.8561,127.5,132.0,113.0,19.0,6.28,6.33,10.5,5.0
ASR YOYO,Scalvini,D,36,22,17,5,0.4722,0.7629,134.5,145.5,111.0,34.5,6.53,6.9,11.0,5.0
ASR YOYO,Gudmundsson A.,C,20,16,15,1,0.75,0.9403,94.5,100.5,94.5,6.0,6.3,6.0,10.5,4.0
ASR YOYO,De Ketelaere,A,16,14,12,2,0.75,0.8681,84.0,91.0,79.0,12.0,6.58,6.0,15.0,5.0
ASR YOYO,Pasalic,C,18,14,12,2,0.6667,0.8721,82.5,86.0,75.0,11.0,6.25,5.5,10.0,4.5
ASR YOYO,Kelly L.,D,33,30,10,20,0.303,0.3278,179.5,181.5,59.5,122.0,5.95,6.1,7.0,5.0
ASR YOYO,Maldini,C,36,16,9,7,0.25,0.5529,96.0,104.0,57.5,46.5,6.39,6.64,11.0,5.5
ASR YOYO,Krstovic,A,15,10,6,4,0.4,0.6894,57.5,66.0,45.5,20.5,7.58,5.12,14.5,5.0
ASR YOYO,Davis K.,A,6,6,5,1,0.8333,0.8736,38.0,43.5,38.0,5.5,7.6,5.5,10.5,5.5
ASR YOYO,Miretti,C,21,11,5,6,0.2381,0.4286,65.5,70.0,30.0,40.0,6.0,6.67,7.5,5.5
ASR YOYO,Zanoli,D,21,19,5,14,0.2381,0.2407,115.0,120.5,29.0,91.5,5.8,6.54,6.5,5.0
ASR YOYO,Bernabè,C,15,15,4,11,0.2667,0.2449,92.0,98.0,24.0,74.0,6.0,6.73,6.5,5.5
ASR YOYO,Holm,D,15,6,4,2,0.2667,0.6575,36.5,36.5,24.0,12.5,6.0,6.25,6.5,5.5
ASR YOYO,Konè I.,C,6,5,3,2,0.5,0.5224,31.0,33.5,17.5,16.0,5.83,8.0,6.5,5.0
ASR YOYO,Tsimikas,D,15,4,3,1,0.2,0.7391,23.5,23.0,17.0,6.0,5.67,6.0,6.0,5.5
ASR YOYO,Tramoni M.,C,21,17,3,14,0.1429,0.1587,98.0,104.0,16.5,87.5,5.5,6.25,5.5,5.5
ASR YOYO,Parisi,D,15,9,3,6,0.2,0.3084,53.5,53.5,16.5,37.0,5.5,6.17,6.0,4.5
ASR YOYO,Cambiaghi,A,33,21,2,19,0.0606,0.083,126.5,138.5,11.5,127.0,5.75,6.68,6.0,5.5
ASR YOYO,Zaragoza,C,15,3,2,1,0.1333,0.6111,17.5,18.0,11.0,7.0,5.5,7.0,5.5,5.5
