team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
ASR YOYO,P,3,36,0,211.5,5.88,0.0,1.0
ASR YOYO,D,12,143,88,914.5,6.4,550.0,0.6244
ASR YOYO,C,15,106,74,672.5,6.34,463.5,0.592
ASR YOYO,A,12,104,39,781.5,7.51,250.0,0.7576
DTE,P,3,36,1,199.5,5.54,5.0,0.9756
DTE,D,14,139,59,841.5,6.05,350.5,0.706
DTE,C,13,126,96,836.5,6.64,579.0,0.591
DTE,A,9,91,29,623.0,6.85,188.0,0.7682
GOODBYE,P,3,36,1,200.5,5.57,7.0,0.9663
GOODBYE,D,12,146,37,945.0,6.47,217.5,0.8129
GOODBYE,C,11,124,18,768.5,6.2,115.0,0.8698
GOODBYE,A,10,73,15,497.0,6.81,91.5,0.8445
HISASHI MITSUI,P,5,36,3,179.0,4.97,16.5,0.9156
HISASHI MITSUI,D,8,134,53,795.0,5.93,321.0,0.7124
HISASHI MITSUI,C,8,128,63,847.5,6.62,391.5,0.684
HISASHI MITSUI,A,9,97,50,639.5,6.59,343.5,0.6506
KAMADO,P,5,36,44,228.5,6.35,220.0,0.5095
KAMADO,D,17,115,61,759.0,6.6,357.0,0.6801
KAMADO,C,16,131,62,864.5,6.6,402.0,0.6826
KAMADO,A,10,105,51,726.0,6.91,322.0,0.6927
OLD LIN,P,6,36,15,188.5,5.24,77.0,0.71
OLD LIN,D,10,120,92,698.0,5.82,552.5,0.5582
OLD LIN,C,14,135,104,875.5,6.49,625.5,0.5833
OLD LIN,A,11,105,63,774.5,7.38,427.5,0.6443
QICELLO,P,3,36,0,208.0,5.78,0.0,1.0
QICELLO,D,11,125,58,806.5,6.45,341.0,0.7028
QICELLO,C,12,137,52,917.5,6.7,333.0,0.7337
QICELLO,A,11,97,65,653.0,6.73,424.0,0.6063
ROMANHOLIDAY,P,4,36,25,206.0,5.72,132.5,0.6086
ROMANHOLIDAY,D,10,143,51,878.5,6.14,296.5,0.7477
ROMANHOLIDAY,C,12,120,61,838.0,6.98,358.0,0.7007
ROMANHOLIDAY,A,10,93,68,654.0,7.03,433.5,0.6014
ROMINA&ROMOLO,P,3,36,37,191.0,5.31,207.0,0.4799
ROMINA&ROMOLO,D,12,136,63,831.5,6.11,370.0,0.6921
ROMINA&ROMOLO,C,14,135,87,874.5,6.48,563.0,0.6083
ROMINA&ROMOLO,A,9,86,71,568.0,6.6,446.5,0.5599
TEAM PC,P,3,36,1,188.0,5.22,5.0,0.9741
TEAM PC,D,10,138,66,850.0,6.16,392.5,0.6841
TEAM PC,C,15,112,60,704.0,6.29,371.5,0.6546
TEAM PC,A,10,103,47,701.0,6.81,321.5,0.6856
