team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
ASR YOYO,1,343,86.0,352,92.0,6.0,False
ASR YOYO,2,433,82.5,343,87.5,5.0,False
ASR YOYO,3,343,69.5,343,71.5,2.0,True
ASR YOYO,4,433,70.0,343,78.0,8.0,False
ASR YOYO,5,433,65.5,433,69.5,4.0,True
ASR YOYO,6,433,68.0,532,76.0,8.0,False
ASR YOYO,7,433,66.5,532,68.0,1.5,False
ASR YOYO,8,433,67.5,433,76.5,9.0,True
ASR YOYO,9,433,65.0,352,77.0,12.0,False
ASR YOYO,10,433,73.0,343,73.0,0.0,False
ASR YOYO,11,433,71.5,433,75.0,3.5,True
ASR YOYO,12,433,63.0,343,64.5,1.5,False
ASR YOYO,13,433,73.0,343,75.5,2.5,False
ASR YOYO,14,433,73.0,442,83.5,10.5,False
ASR YOYO,15,433,70.0,532,75.0,5.0,False
ASR YOYO,16,433,73.0,433,80.0,7.0,True
ASR YOYO,17,433,78.0,532,86.0,8.0,False
ASR YOYO,18,433,83.0,343,92.0,9.0,False
ASR YOYO,19,433,67.0,532,70.0,3.0,False
ASR YOYO,20,433,90.0,343,101.0,11.0,False
ASR YOYO,21,433,71.0,442,78.0,7.0,False
ASR YOYO,22,433,81.0,343,89.0,8.0,False
ASR YOYO,23,433,83.5,433,89.5,6.0,True
ASR YOYO,24,433,76.5,433,77.5,1.0,True
ASR YOYO,25,433,67.0,433,70.0,3.0,True
ASR YOYO,26,433,70.5,532,77.5,7.0,False
ASR YOYO,27,433,78.5,343,84.5,6.0,False
ASR YOYO,28,433,70.5,532,72.5,2.0,False
ASR YOYO,29,433,70.5,532,77.0,6.5,False
ASR YOYO,30,433,71.0,partial,79.0,8.0,False
ASR YOYO,31,433,62.5,partial,69.0,6.5,False
ASR YOYO,32,433,81.5,532,82.5,1.0,False
ASR YOYO,33,433,67.0,532,70.0,3.0,False
ASR YOYO,34,532,54.0,partial,54.5,0.5,False
ASR YOYO,35,433,56.0,532,61.5,5.5,False
ASR YOYO,36,433,64.0,352,69.5,5.5,False
DTE,1,433,68.0,352,69.5,1.5,False
DTE,2,433,66.5,343,70.0,3.5,False
DTE,3,433,73.0,352,75.0,2.0,False
DTE,4,433,64.5,343,65.5,1.0,False
DTE,5,433,80.0,442,85.5,5.5,False
DTE,6,433,60.0,343,66.5,6.5,False
DTE,7,343,66.0,532,68.5,2.5,False
DTE,8,433,74.0,433,75.0,1.0,True
DTE,9,433,71.5,343,72.5,1.0,False
DTE,10,433,74.5,343,82.5,8.0,False
DTE,11,433,71.0,343,73.5,2.5,False
DTE,12,433,64.5,343,68.0,3.5,False
DTE,13,433,62.5,433,67.0,4.5,True
DTE,14,433,73.5,343,76.5,3.0,False
DTE,15,442,77.0,352,87.0,10.0,False
DTE,16,442,72.0,352,73.0,1.0,False
DTE,17,442,78.5,343,85.5,7.0,False
DTE,18,343,61.0,352,79.0,18.0,False
DTE,19,442,67.5,451,81.0,13.5,False
DTE,20,433,76.5,451,80.0,3.5,False
DTE,21,433,69.0,532,73.5,4.5,False
DTE,22,433,77.0,352,79.0,2.0,False
DTE,23,433,66.5,433,70.0,3.5,True
DTE,24,433,62.0,451,73.5,11.5,False
DTE,25,442,75.5,343,84.0,8.5,False
DTE,26,343,56.5,partial,63.0,6.5,False
DTE,27,442,69.0,532,75.0,6.0,False
DTE,28,442,72.5,532,75.0,2.5,False
DTE,29,442,61.0,352,64.5,3.5,False
DTE,30,442,64.5,352,73.0,8.5,False
DTE,31,442,67.5,352,70.5,3.0,False
DTE,32,442,76.5,352,78.5,2.0,False
DTE,33,442,72.0,451,74.5,2.5,False
DTE,34,442,70.5,352,77.5,7.0,False
DTE,35,442,72.5,532,74.0,1.5,False
DTE,36,442,66.0,352,67.5,1.5,False
GOODBYE,1,433,72.5,352,78.5,6.0,False
GOODBYE,2,343,62.0,partial,62.0,0.0,False
GOODBYE,3,433,65.0,partial,70.5,5.5,False
GOODBYE,4,433,63.0,partial,74.5,11.5,False
GOODBYE,5,343,57.5,partial,57.5,0.0,False
GOODBYE,6,343,72.5,343,73.0,0.5,True
GOODBYE,7,343,64.5,433,72.5,8.0,False
GOODBYE,8,343,59.5,433,64.0,4.5,False
GOODBYE,9,433,70.0,433,70.0,0.0,True
GOODBYE,10,433,70.0,343,72.0,2.0,False
GOODBYE,11,343,61.5,partial,61.5,0.0,False
GOODBYE,12,343,55.5,433,67.0,11.5,False
GOODBYE,13,433,69.5,532,73.0,3.5,False
GOODBYE,14,442,62.0,541,64.0,2.0,False
GOODBYE,15,433,79.5,433,81.0,1.5,True
GOODBYE,16,433,60.0,541,68.5,8.5,False
GOODBYE,17,442,64.0,451,70.0,6.0,False
GOODBYE,18,532,82.5,442,83.0,0.5,False
GOODBYE,19,442,71.5,442,71.5,0.0,True
GOODBYE,20,442,70.5,442,72.0,1.5,True
GOODBYE,21,541,74.5,541,74.5,0.0,True
GOODBYE,22,541,63.5,532,65.5,2.0,False
GOODBYE,23,532,66.5,partial,66.5,0.0,False
GOODBYE,24,433,57.5,partial,63.0,5.5,False
GOODBYE,25,442,53.5,partial,60.5,7.0,False
GOODBYE,26,541,64.5,partial,64.5,0.0,False
GOODBYE,27,541,69.0,451,70.5,1.5,False
GOODBYE,28,541,63.5,541,63.5,0.0,True
GOODBYE,29,541,76.0,442,78.5,2.5,False
GOODBYE,30,541,68.0,451,69.5,1.5,False
GOODBYE,31,541,72.0,451,73.5,1.5,False
GOODBYE,32,442,61.0,541,66.5,5.5,False
GOODBYE,33,442,74.5,442,77.0,2.5,True
GOODBYE,34,532,68.0,442,69.0,1.0,False
GOODBYE,35,442,73.0,532,74.0,1.0,False
GOODBYE,36,442,73.0,442,74.0,1.0,True
HISASHI MITSUI,1,442,70.5,352,84.0,13.5,False
HISASHI MITSUI,2,442,74.0,352,81.0,7.0,False
HISASHI MITSUI,3,442,76.5,343,78.0,1.5,False
HISASHI MITSUI,4,433,64.0,343,80.5,16.5,False
HISASHI MITSUI,5,433,63.5,541,75.0,11.5,False
HISASHI MITSUI,6,433,72.5,343,73.0,0.5,False
HISASHI MITSUI,7,433,73.5,343,74.0,0.5,False
HISASHI MITSUI,8,433,64.0,433,66.5,2.5,True
HISASHI MITSUI,9,433,63.5,343,68.0,4.5,False
HISASHI MITSUI,10,442,68.0,343,80.5,12.5,False
HISASHI MITSUI,11,433,64.5,343,65.5,1.0,False
HISASHI MITSUI,12,442,71.5,352,72.5,1.0,False
HISASHI MITSUI,13,442,61.5,343,73.0,11.5,False
HISASHI MITSUI,14,433,67.5,442,79.0,11.5,False
HISASHI MITSUI,15,352,67.5,343,68.0,0.5,False
HISASHI MITSUI,16,343,76.5,343,77.0,0.5,True
HISASHI MITSUI,17,433,66.5,343,77.5,11.0,False
HISASHI MITSUI,18,343,73.5,343,74.5,1.0,True
HISASHI MITSUI,19,433,66.0,343,68.0,2.0,False
HISASHI MITSUI,20,433,71.0,433,72.0,1.0,True
HISASHI MITSUI,21,433,61.0,442,69.5,8.5,False
HISASHI MITSUI,22,433,57.0,partial,63.0,6.0,False
HISASHI MITSUI,23,433,65.5,343,74.5,9.0,False
