team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
QICELLO,36,19,11,6,68,64,43,21,2638.0,73.28,92.5,8,KAMADO,61.0,9,ASR YOYO,69.92,3.36,18,17.0,160.0,4.44,14.0,36,1
KAMADO,36,17,7,12,58,64,54,10,2626.0,72.94,88.5,22,HISASHI MITSUI,53.5,8,QICELLO,70.88,2.07,18,12.0,191.0,5.31,15.0,28,0
ASR YOYO,36,16,9,11,57,66,52,14,2658.5,73.85,95.0,20,DTE,57.0,35,OLD LIN,71.92,1.93,18,42.5,193.0,5.36,12.0,9,1
ROMANHOLIDAY,36,15,10,11,55,65,60,5,2641.5,73.38,91.0,30,OLD LIN,63.0,15,OLD LIN,71.65,1.72,18,29.0,156.0,4.33,14.0,12,2
DTE,36,14,7,15,49,52,57,-5,2561.0,71.14,83.0,5,ROMINA&ROMOLO,56.5,26,GOODBYE,72.03,-0.89,18,24.5,173.5,4.82,18.0,18,0
HISASHI MITSUI,36,13,9,14,48,44,50,-6,2514.5,69.85,83.5,27,ROMINA&ROMOLO,59.0,22,KAMADO,70.75,-0.9,18,17.5,182.0,5.06,16.5,4,0
OLD LIN,36,13,7,16,46,53,57,-4,2578.5,71.62,91.0,9,DTE,61.0,1,QICELLO,72.1,-0.47,18,6.0,228.0,6.33,13.0,17,0
GOODBYE,36,11,12,13,45,42,51,-9,2485.0,69.03,86.5,18,ROMANHOLIDAY,53.5,25,KAMADO,71.03,-2.0,18,38.0,105.5,2.93,11.5,4,9
TEAM PC,36,10,5,21,35,41,57,-16,2499.0,69.42,86.5,23,GOODBYE,58.0,14,OLD LIN,72.53,-3.11,18,20.0,185.5,5.15,19.5,7,2
ROMINA&ROMOLO,36,7,13,16,34,43,53,-10,2523.0,70.08,87.0,3,HISASHI MITSUI,54.0,6,ROMANHOLIDAY,71.79,-1.71,18,22.0,262.0,7.28,22.5,10,0
