team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
ASS ASS IN FC,Terracciano,P,Milan,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,1,7.0,14.0,7.0,0.5,7.0,14.0
ASS ASS IN FC,Maignan,P,Milan,30.0,16.0,16.0,0.0,88.0,44.0,14.0,35,201.5,201.5,5.76,1.0,6.716666666666667,6.716666666666667
ASS ASS IN FC,Torriani,P,Milan,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
ASS ASS IN FC,Gosens,D,Fiorentina,37.0,11.0,18.0,-7.0,19.0,9.5,-27.5,20,129.5,145.5,6.47,0.89,3.5,3.9324324324324325
ASS ASS IN FC,Buongiorno,D,Napoli,36.0,8.0,13.0,-5.0,13.0,6.5,-29.5,26,152.0,180.5,5.85,0.8421,4.222222222222222,5.013888888888889
ASS ASS IN FC,Tomori,D,Milan,21.0,8.0,8.0,0.0,21.0,10.5,-10.5,29,170.5,176.5,5.88,0.966,8.119047619047619,8.404761904761905
ASS ASS IN FC,Lucumì,D,Bologna,6.0,7.0,8.0,-1.0,12.0,6.0,0.0,13,75.0,81.0,5.77,0.9259,12.5,13.5
ASS ASS IN FC,Comuzzo,D,Fiorentina,8.0,4.0,7.0,-3.0,11.0,5.5,-2.5,14,81.0,125.5,5.79,0.6454,10.125,15.6875
ASS ASS IN FC,Bartesaghi,D,Milan,3.0,10.0,3.0,7.0,15.0,7.5,4.5,20,126.0,187.5,6.3,0.672,42.0,62.5
ASS ASS IN FC,Ghilardi,D,Roma,4.0,8.0,4.0,4.0,11.0,5.5,1.5,6,36.5,125.0,6.08,0.292,9.125,31.25
ASS ASS IN FC,Ziolkowski,D,Roma,3.0,2.0,3.0,-1.0,9.0,4.5,1.5,1,6.0,52.0,6.0,0.1154,2.0,17.333333333333332
ASS ASS IN FC,Barella,C,Inter,31.0,18.0,14.0,4.0,58.0,29.0,-2.0,28,184.0,215.0,6.57,0.8558,5.935483870967742,6.935483870967742
ASS ASS IN FC,Pasalic,C,Atalanta,27.0,12.0,9.0,3.0,14.0,7.0,-20.0,22,139.0,178.0,6.32,0.7809,5.148148148148148,6.592592592592593
ASS ASS IN FC,Zambo Anguissa,C,Napoli,33.0,15.0,15.0,0.0,20.0,10.0,-23.0,11,74.5,107.5,6.77,0.693,2.257575757575758,3.257575757575758
ASS ASS IN FC,Malinovskyi,C,Genoa,10.0,15.0,8.0,7.0,34.0,17.0,7.0,26,170.0,213.5,6.54,0.7963,17.0,21.35
ASS ASS IN FC,Volpato,C,Sassuolo,6.0,13.0,5.0,8.0,17.0,8.5,2.5,11,74.0,129.5,6.73,0.5714,12.333333333333334,21.583333333333332
ASS ASS IN FC,Prati,C,Torino,4.0,7.0,3.0,4.0,11.0,5.5,1.5,14,79.0,176.0,5.64,0.4489,19.75,44.0
ASS ASS IN FC,Venturino,C,Roma,2.0,2.0,3.0,-1.0,12.0,6.0,4.0,0,0.0,29.5,,0.0,0.0,14.75
ASS ASS IN FC,Santos A.,C,Napoli,7.0,12.0,7.0,5.0,54.0,27.0,20.0,10,66.5,95.0,6.65,0.7,9.5,13.571428571428571
ASS ASS IN FC,Dybala,A,Roma,71.0,13.0,26.0,-13.0,50.0,25.0,-46.0,15,104.5,130.5,6.97,0.8008,1.471830985915493,1.8380281690140845
ASS ASS IN FC,Zapata D.,A,Torino,35.0,8.0,20.0,-12.0,15.0,7.5,-27.5,8,50.5,142.5,6.31,0.3544,1.4428571428571428,4.071428571428571
ASS ASS IN FC,Simeone,A,Torino,8.0,22.0,8.0,14.0,99.0,49.5,41.5,19,131.0,219.5,6.89,0.5968,16.375,27.4375
ASS ASS IN FC,Leao,A,Milan,88.0,20.0,24.0,-4.0,80.0,40.0,-48.0,27,189.5,195.0,7.02,0.9718,2.153409090909091,2.215909090909091
ASS ASS IN FC,Davis K.,A,Udinese,24.0,24.0,12.0,12.0,110.0,55.0,31.0,25,181.0,202.0,7.24,0.896,7.541666666666667,8.416666666666666
ASS ASS IN FC,Addai,A,Como,11.0,6.0,7.0,-1.0,9.0,4.5,-6.5,1,5.5,5.5,5.5,1.0,0.5,0.5
TEAM HAIR FLICK,Butez,P,Como,11.0,16.0,10.0,6.0,95.0,47.5,36.5,36,210.0,210.0,5.83,1.0,19.09090909090909,19.09090909090909
TEAM HAIR FLICK,Cavlina,P,Como,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
TEAM HAIR FLICK,Tornqvist,P,Como,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
TEAM HAIR FLICK,Diego Carlos,D,Como,8.0,8.0,5.0,3.0,12.0,6.0,-2.0,4,24.0,70.5,6.0,0.3404,3.0,8.8125
TEAM HAIR FLICK,Vojvoda,D,Como,8.0,10.0,6.0,4.0,12.0,6.0,-2.0,5,28.5,51.0,5.7,0.5588,3.5625,6.375
TEAM HAIR FLICK,Gutierrez,D,Napoli,6.0,10.0,8.0,2.0,12.0,6.0,0.0,8,48.5,79.0,6.06,0.6139,8.083333333333334,13.166666666666666
TEAM HAIR FLICK,Scalvini,D,Atalanta,12.0,15.0,8.0,7.0,22.0,11.0,-1.0,13,82.0,105.5,6.31,0.7773,6.833333333333333,8.791666666666666
TEAM HAIR FLICK,Gatti,D,Juventus,5.0,5.0,8.0,-3.0,8.0,4.0,-1.0,3,17.0,34.0,5.67,0.5,3.4,6.8
TEAM HAIR FLICK,Bisseck,D,Inter,10.0,15.0,9.0,6.0,41.0,20.5,10.5,20,138.0,149.0,6.9,0.9262,13.8,14.9
TEAM HAIR FLICK,Kelly L.,D,Juventus,10.0,11.0,7.0,4.0,27.0,13.5,3.5,16,98.5,122.0,6.16,0.8074,9.85,12.2
TEAM HAIR FLICK,Rensch,D,Roma,5.0,13.0,5.0,8.0,17.0,8.5,3.5,7,44.0,74.0,6.29,0.5946,8.8,14.8
TEAM HAIR FLICK,Bernardeschi,C,Bologna,5.0,13.0,9.0,4.0,33.0,16.5,11.5,10,70.5,86.0,7.05,0.8198,14.1,17.2
TEAM HAIR FLICK,Freuler,C,Bologna,7.0,8.0,11.0,-3.0,14.0,7.0,0.0,2,16.0,111.0,8.0,0.1441,2.2857142857142856,15.857142857142858
TEAM HAIR FLICK,Pulisic,C,Milan,81.0,24.0,28.0,-4.0,100.0,50.0,-31.0,12,70.0,70.0,5.83,1.0,0.8641975308641975,0.8641975308641975
TEAM HAIR FLICK,Odgaard,C,Bologna,17.0,13.0,16.0,-3.0,14.0,7.0,-10.0,5,33.5,39.5,6.7,0.8481,1.9705882352941178,2.323529411764706
TEAM HAIR FLICK,Thuram K.,C,Juventus,26.0,14.0,16.0,-2.0,41.0,20.5,-5.5,30,193.0,205.0,6.43,0.9415,7.423076923076923,7.884615384615385
TEAM HAIR FLICK,Ekkelenkamp,C,Udinese,16.0,14.0,10.0,4.0,51.0,25.5,9.5,6,36.5,105.5,6.08,0.346,2.28125,6.59375
TEAM HAIR FLICK,Ondrejka,C,Parma,10.0,3.0,13.0,-10.0,9.0,4.5,-5.5,8,45.5,56.5,5.69,0.8053,4.55,5.65
TEAM HAIR FLICK,Bakola,C,Sassuolo,3.0,2.0,3.0,-1.0,7.0,3.5,0.5,1,7.0,19.0,7.0,0.3684,2.3333333333333335,6.333333333333333
TEAM HAIR FLICK,Kean,A,Fiorentina,92.0,16.0,33.0,-17.0,40.0,20.0,-72.0,23,157.0,168.0,6.83,0.9345,1.7065217391304348,1.826086956521739
TEAM HAIR FLICK,Nkunku,A,Milan,52.0,18.0,20.0,-2.0,43.0,21.5,-30.5,13,82.0,174.5,6.31,0.4699,1.5769230769230769,3.355769230769231
TEAM HAIR FLICK,Ferguson E.,A,Roma,70.0,10.0,19.0,-9.0,12.0,6.0,-64.0,9,56.0,84.5,6.22,0.6627,0.8,1.207142857142857
TEAM HAIR FLICK,Dallinga,A,Bologna,8.0,6.0,10.0,-4.0,9.0,4.5,-3.5,3,22.0,27.5,7.33,0.8,2.75,3.4375
TEAM HAIR FLICK,Bonny,A,Inter,11.0,20.0,5.0,15.0,15.0,7.5,-3.5,12,71.5,78.0,5.96,0.9167,6.5,7.090909090909091
TEAM HAIR FLICK,Pellegrino M.,A,Parma,28.0,18.0,13.0,5.0,67.0,33.5,5.5,20,137.5,239.5,6.88,0.5741,4.910714285714286,8.553571428571429
TEAM YANGTUO,Gollini,P,Roma,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
TEAM YANGTUO,Svilar,P,Roma,45.0,17.0,15.0,2.0,105.0,52.5,7.5,36,210.5,210.5,5.85,1.0,4.677777777777778,4.677777777777778
TEAM YANGTUO,Zelezny,P,Roma,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
TEAM YANGTUO,Zappacosta,D,Atalanta,8.0,12.0,13.0,-1.0,18.0,9.0,1.0,15,103.5,122.5,6.9,0.8449,12.9375,15.3125
TEAM YANGTUO,Lazaro,D,Torino,13.0,4.0,7.0,-3.0,11.0,5.5,-7.5,12,72.0,160.5,6.0,0.4486,5.538461538461538,12.346153846153847
TEAM YANGTUO,Zortea,D,Bologna,29.0,8.0,16.0,-8.0,12.0,6.0,-23.0,19,113.0,153.5,5.95,0.7362,3.896551724137931,5.293103448275862
TEAM YANGTUO,Celik,D,Roma,15.0,14.0,7.0,7.0,14.0,7.0,-8.0,19,118.0,118.0,6.21,1.0,7.866666666666666,7.866666666666666
TEAM YANGTUO,Garcia U.,D,Sassuolo,3.0,8.0,3.0,5.0,17.0,8.5,5.5,10,64.0,77.5,6.4,0.8258,21.333333333333332,25.833333333333332
TEAM YANGTUO,Frese,D,Verona,3.0,7.0,3.0,4.0,12.0,6.0,3.0,8,45.5,170.5,5.69,0.2669,15.166666666666666,56.833333333333336
TEAM YANGTUO,Norton-Cuffy,D,Genoa,4.0,7.0,3.0,4.0,14.0,7.0,3.0,4,29.0,41.0,7.25,0.7073,7.25,10.25
TEAM YANGTUO,Idrissi R.,D,Cagliari,10.0,5.0,3.0,2.0,9.0,4.5,-5.5,1,4.5,15.5,4.5,0.2903,0.45,1.55
