team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
ASS ASS IN FC,Maignan,P,36,35,35,0,0.9722,1.0,219.5,201.5,201.5,0.0,5.76,,11.0,2.5
ASS ASS IN FC,Leao,A,36,28,27,1,0.75,0.9718,164.5,195.0,189.5,5.5,7.02,5.5,13.5,4.0
ASS ASS IN FC,Barella,C,36,32,28,4,0.7778,0.8558,201.5,215.0,184.0,31.0,6.57,7.75,10.5,5.0
ASS ASS IN FC,Davis K.,A,36,28,25,3,0.6944,0.896,176.0,202.0,181.0,21.0,7.24,7.0,11.0,5.0
ASS ASS IN FC,Tomori,D,36,30,29,1,0.8056,0.966,179.0,176.5,170.5,6.0,5.88,6.0,7.0,3.5
ASS ASS IN FC,Malinovskyi,C,36,33,26,7,0.7222,0.7963,200.5,213.5,170.0,43.5,6.54,6.21,9.5,5.0
ASS ASS IN FC,Buongiorno,D,36,31,26,5,0.7222,0.8421,182.0,180.5,152.0,28.5,5.85,5.7,6.5,4.0
ASS ASS IN FC,Pasalic,C,36,29,22,7,0.6111,0.7809,171.0,178.0,139.0,39.0,6.32,5.57,10.0,4.5
ASS ASS IN FC,Simeone,A,36,30,19,11,0.5278,0.5968,183.0,219.5,131.0,88.5,6.89,8.05,11.0,5.0
ASS ASS IN FC,Gosens,D,36,23,20,3,0.5556,0.89,135.5,145.5,129.5,16.0,6.47,5.33,11.0,4.5
ASS ASS IN FC,Bartesaghi,D,36,31,20,11,0.5556,0.672,185.0,187.5,126.0,61.5,6.3,5.59,13.5,5.0
ASS ASS IN FC,Dybala,A,36,19,15,4,0.4167,0.8008,118.5,130.5,104.5,26.0,6.97,6.5,11.5,3.0
ASS ASS IN FC,Comuzzo,D,36,22,14,8,0.3889,0.6454,125.5,125.5,81.0,44.5,5.79,5.56,9.5,3.5
ASS ASS IN FC,Prati,C,36,30,14,16,0.3889,0.4489,175.5,176.0,79.0,97.0,5.64,6.06,6.5,5.0
ASS ASS IN FC,Lucumì,D,15,14,13,1,0.8667,0.9259,82.5,81.0,75.0,6.0,5.77,6.0,6.5,4.5
ASS ASS IN FC,Zambo Anguissa,C,36,16,11,5,0.3056,0.693,97.0,107.5,74.5,33.0,6.77,6.6,11.0,5.5
ASS ASS IN FC,Volpato,C,36,20,11,9,0.3056,0.5714,122.5,129.5,74.0,55.5,6.73,6.17,11.5,5.0
ASS ASS IN FC,Santos A.,C,15,13,10,3,0.6667,0.7,82.5,95.0,66.5,28.5,6.65,9.5,10.0,5.5
ASS ASS IN FC,Zapata D.,A,36,23,8,15,0.2222,0.3544,134.0,142.5,50.5,92.0,6.31,6.13,10.0,5.0
