team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
ASS ASS IN FC,P,3,36,1,208.5,5.79,7.0,0.9675
ASS ASS IN FC,D,9,134,54,803.5,6.0,309.0,0.7222
ASS ASS IN FC,C,10,126,65,809.5,6.42,413.5,0.6619
ASS ASS IN FC,A,7,95,34,662.0,6.97,233.0,0.7397
BOBOTOTTI,P,5,36,9,199.0,5.53,38.5,0.8379
BOBOTOTTI,D,11,122,102,747.5,6.13,611.0,0.5502
BOBOTOTTI,C,9,138,63,889.0,6.44,399.0,0.6902
BOBOTOTTI,A,10,93,59,651.0,7.0,384.0,0.629
CHELSEA,P,6,36,1,209.0,5.81,10.0,0.9543
CHELSEA,D,15,124,77,744.0,6.0,458.0,0.619
CHELSEA,C,18,136,65,891.5,6.56,397.5,0.6916
CHELSEA,A,14,97,63,714.5,7.37,415.0,0.6326
PAUL POGSHAO,P,3,36,1,188.0,5.22,5.0,0.9741
PAUL POGSHAO,D,12,143,82,969.0,6.78,489.0,0.6646
PAUL POGSHAO,C,13,128,88,858.5,6.71,532.0,0.6174
PAUL POGSHAO,A,11,88,61,594.5,6.76,366.5,0.6186
TEAM GLIDER,P,4,36,0,188.5,5.24,0.0,1.0
TEAM GLIDER,D,16,124,49,774.0,6.24,279.0,0.735
TEAM GLIDER,C,19,135,50,910.0,6.74,304.5,0.7493
TEAM GLIDER,A,10,95,51,643.0,6.77,315.5,0.6708
TEAM HAIR FLICK,P,4,36,0,210.0,5.83,0.0,1.0
TEAM HAIR FLICK,D,18,133,77,831.5,6.25,466.5,0.6406
TEAM HAIR FLICK,C,19,125,65,801.0,6.41,400.5,0.6667
TEAM HAIR FLICK,A,10,99,47,660.5,6.67,334.0,0.6642
TEAM WOLFLING,P,7,36,0,191.5,5.32,0.0,1.0
TEAM WOLFLING,D,13,155,41,963.5,6.22,239.5,0.8009
TEAM WOLFLING,C,14,136,49,913.5,6.72,309.5,0.7469
TEAM WOLFLING,A,12,65,38,460.5,7.08,246.0,0.6518
TEAM YANGTUO,P,4,36,0,210.5,5.85,0.0,1.0
TEAM YANGTUO,D,15,128,76,786.5,6.14,445.5,0.6384
TEAM YANGTUO,C,17,138,82,911.5,6.61,514.0,0.6394
TEAM YANGTUO,A,12,94,70,675.0,7.18,447.0,0.6016
TOMATO,P,3,36,1,199.5,5.54,5.0,0.9756
TOMATO,D,17,120,74,731.5,6.1,443.5,0.6226
TOMATO,C,15,142,62,923.5,6.5,382.0,0.7074
TOMATO,A,14,96,46,675.0,7.03,311.5,0.6842
VINCENZO,P,3,36,0,211.5,5.88,0.0,1.0
VINCENZO,D,16,140,84,872.5,6.23,494.5,0.6383
VINCENZO,C,16,114,77,744.5,6.53,474.0,0.611
VINCENZO,A,10,105,41,715.5,6.81,270.5,0.7257
