team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
ASS ASS IN FC,1,442,66.5,352,80.5,14.0,False
ASS ASS IN FC,2,451,65.5,352,68.5,3.0,False
ASS ASS IN FC,3,442,66.5,343,68.5,2.0,False
ASS ASS IN FC,4,343,79.0,343,82.0,3.0,True
ASS ASS IN FC,5,343,74.5,433,82.0,7.5,False
ASS ASS IN FC,6,343,69.0,343,79.5,10.5,True
ASS ASS IN FC,7,343,74.0,352,77.5,3.5,False
ASS ASS IN FC,8,343,75.0,343,77.5,2.5,True
ASS ASS IN FC,9,352,58.0,partial,64.0,6.0,False
ASS ASS IN FC,10,343,67.5,352,70.5,3.0,False
ASS ASS IN FC,11,343,79.0,433,79.5,0.5,False
ASS ASS IN FC,12,433,68.5,352,76.5,8.0,False
ASS ASS IN FC,13,343,72.5,343,72.5,0.0,True
ASS ASS IN FC,14,343,59.5,532,68.5,9.0,False
ASS ASS IN FC,15,433,71.5,532,77.5,6.0,False
ASS ASS IN FC,16,433,70.0,433,76.5,6.5,True
ASS ASS IN FC,17,433,76.5,433,80.0,3.5,True
ASS ASS IN FC,18,433,75.0,343,77.0,2.0,False
ASS ASS IN FC,19,433,70.0,532,70.5,0.5,False
ASS ASS IN FC,20,433,70.0,433,72.5,2.5,True
ASS ASS IN FC,21,433,62.0,532,68.5,6.5,False
ASS ASS IN FC,22,433,55.0,partial,63.5,8.5,False
ASS ASS IN FC,23,433,64.0,433,71.5,7.5,True
ASS ASS IN FC,24,433,66.5,451,68.5,2.0,False
ASS ASS IN FC,25,433,77.5,433,80.0,2.5,True
ASS ASS IN FC,26,433,74.0,451,77.0,3.0,False
ASS ASS IN FC,27,433,71.5,343,77.5,6.0,False
ASS ASS IN FC,28,433,72.0,352,74.0,2.0,False
ASS ASS IN FC,29,541,64.0,451,70.5,6.5,False
ASS ASS IN FC,30,433,74.0,352,80.5,6.5,False
ASS ASS IN FC,31,442,73.5,352,75.5,2.0,False
ASS ASS IN FC,32,442,68.0,433,76.5,8.5,False
ASS ASS IN FC,33,442,60.0,451,65.0,5.0,False
ASS ASS IN FC,34,442,66.0,343,75.5,9.5,False
ASS ASS IN FC,35,433,63.0,433,65.0,2.0,True
ASS ASS IN FC,36,433,64.5,433,67.5,3.0,True
BOBOTOTTI,1,343,75.0,451,78.0,3.0,False
BOBOTOTTI,2,343,78.5,451,81.0,2.5,False
BOBOTOTTI,3,343,72.5,352,78.0,5.5,False
BOBOTOTTI,4,343,65.0,343,73.0,8.0,True
BOBOTOTTI,5,343,66.0,343,70.5,4.5,True
BOBOTOTTI,6,343,63.5,343,66.0,2.5,True
BOBOTOTTI,7,343,77.0,433,79.5,2.5,False
BOBOTOTTI,8,343,69.0,352,75.5,6.5,False
BOBOTOTTI,9,343,67.5,352,80.0,12.5,False
BOBOTOTTI,10,343,69.0,343,71.0,2.0,True
BOBOTOTTI,11,343,73.0,343,74.5,1.5,True
BOBOTOTTI,12,343,62.5,442,64.0,1.5,False
BOBOTOTTI,13,343,59.5,442,67.0,7.5,False
BOBOTOTTI,14,343,51.0,352,65.5,14.5,False
BOBOTOTTI,15,343,51.0,451,62.0,11.0,False
BOBOTOTTI,16,343,62.5,451,71.5,9.0,False
BOBOTOTTI,17,343,75.5,433,80.5,5.0,False
BOBOTOTTI,18,343,61.5,352,72.5,11.0,False
BOBOTOTTI,19,442,74.0,532,75.0,1.0,False
BOBOTOTTI,20,442,85.5,442,86.5,1.0,True
BOBOTOTTI,21,442,69.5,532,70.5,1.0,False
BOBOTOTTI,22,433,62.0,352,69.5,7.5,False
BOBOTOTTI,23,433,68.0,433,74.0,6.0,True
BOBOTOTTI,24,442,64.0,442,68.0,4.0,True
BOBOTOTTI,25,442,69.0,343,70.0,1.0,False
BOBOTOTTI,26,442,78.0,343,87.0,9.0,False
BOBOTOTTI,27,442,71.0,442,80.0,9.0,True
BOBOTOTTI,28,343,67.0,343,68.5,1.5,True
BOBOTOTTI,29,352,76.0,343,84.0,8.0,False
BOBOTOTTI,30,352,70.5,433,74.5,4.0,False
BOBOTOTTI,31,433,71.5,532,74.0,2.5,False
BOBOTOTTI,32,433,73.5,451,80.5,7.0,False
BOBOTOTTI,33,433,73.5,433,88.5,15.0,True
BOBOTOTTI,34,433,63.5,partial,77.0,13.5,False
BOBOTOTTI,35,433,68.0,433,83.5,15.5,True
BOBOTOTTI,36,343,82.5,343,85.0,2.5,True
CHELSEA,1,433,84.5,532,87.0,2.5,False
CHELSEA,2,433,64.5,433,66.5,2.0,True
CHELSEA,3,433,73.0,433,75.0,2.0,True
CHELSEA,4,433,64.5,partial,83.5,19.0,False
CHELSEA,5,343,72.0,442,77.5,5.5,False
CHELSEA,6,433,63.0,352,70.0,7.0,False
CHELSEA,7,343,81.5,343,90.5,9.0,True
CHELSEA,8,343,63.0,343,67.5,4.5,True
CHELSEA,9,343,69.0,343,77.5,8.5,True
CHELSEA,10,433,73.0,343,81.0,8.0,False
CHELSEA,11,433,78.0,343,82.5,4.5,False
CHELSEA,12,433,82.5,343,86.5,4.0,False
CHELSEA,13,433,75.5,433,79.0,3.5,True
CHELSEA,14,433,68.0,433,69.5,1.5,True
CHELSEA,15,433,84.5,343,87.0,2.5,False
CHELSEA,16,442,72.0,442,75.5,3.5,True
CHELSEA,17,442,63.5,352,68.5,5.0,False
CHELSEA,18,442,71.5,352,78.0,6.5,False
CHELSEA,19,442,74.0,343,81.5,7.5,False
CHELSEA,20,433,68.5,343,74.0,5.5,False
CHELSEA,21,433,69.5,343,76.5,7.0,False
CHELSEA,22,343,68.5,352,73.0,4.5,False
CHELSEA,23,343,65.5,343,73.5,8.0,True
CHELSEA,24,352,69.5,343,74.0,4.5,False
CHELSEA,25,352,59.0,343,68.5,9.5,False
CHELSEA,26,352,71.0,343,79.0,8.0,False
CHELSEA,27,343,73.0,343,77.5,4.5,True
CHELSEA,28,343,65.5,343,75.5,10.0,True
CHELSEA,29,343,78.0,343,83.5,5.5,True
CHELSEA,30,352,72.5,343,80.0,7.5,False
CHELSEA,31,352,73.5,442,76.0,2.5,False
CHELSEA,32,451,65.0,451,67.5,2.5,True
CHELSEA,33,343,79.0,343,82.0,3.0,True
CHELSEA,34,343,77.5,343,80.0,2.5,True
CHELSEA,35,343,68.5,352,72.5,4.0,False
CHELSEA,36,343,57.5,433,63.5,6.0,False
PAUL POGSHAO,1,442,67.5,433,70.5,3.0,False
PAUL POGSHAO,2,442,72.5,352,79.0,6.5,False
PAUL POGSHAO,3,433,76.0,343,77.0,1.0,False
PAUL POGSHAO,4,442,89.0,343,90.5,1.5,False
PAUL POGSHAO,5,433,70.5,541,81.5,11.0,False
PAUL POGSHAO,6,433,72.0,442,73.0,1.0,False
PAUL POGSHAO,7,433,72.5,343,79.0,6.5,False
PAUL POGSHAO,8,433,73.0,343,74.5,1.5,False
PAUL POGSHAO,9,442,65.5,343,75.5,10.0,False
PAUL POGSHAO,10,442,81.0,352,82.5,1.5,False
PAUL POGSHAO,11,442,62.5,352,76.0,13.5,False
PAUL POGSHAO,12,442,68.5,343,69.0,0.5,False
PAUL POGSHAO,13,442,72.5,433,75.5,3.0,False
