team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
PAUL POGSHAO,36,18,7,11,61,74,68,6,2695.5,74.88,92.0,4,TEAM HAIR FLICK,59.5,27,CHELSEA,73.62,1.25,18,49.5,160.0,4.44,14.5,20,1
ASS ASS IN FC,36,15,12,9,57,50,47,3,2536.5,70.46,80.0,25,PAUL POGSHAO,55.0,22,TEAM YANGTUO,71.04,-0.58,18,17.0,174.5,4.85,14.0,1,1
CHELSEA,36,15,8,13,53,56,44,12,2606.0,72.39,87.0,15,TEAM GLIDER,57.5,36,TEAM GLIDER,69.57,2.82,18,11.0,201.5,5.6,19.0,4,0
BOBOTOTTI,36,14,10,12,52,49,50,-1,2542.0,70.61,89.5,20,PAUL POGSHAO,51.0,14,TEAM YANGTUO,70.86,-0.25,18,19.5,219.5,6.1,15.5,35,0
TEAM YANGTUO,36,14,9,13,51,65,57,8,2635.5,73.21,88.0,22,ASS ASS IN FC,63.5,5,TOMATO,71.96,1.25,18,16.0,179.0,4.97,12.0,23,1
VINCENZO,36,14,8,14,50,62,58,4,2616.0,72.67,93.5,20,TEAM YANGTUO,62.5,9,ASS ASS IN FC,71.93,0.74,18,36.0,155.0,4.31,13.0,32,1
TEAM WOLFLING,36,13,8,15,47,59,62,-3,2599.5,72.21,87.5,2,TEAM GLIDER,56.5,8,BOBOTOTTI,73.14,-0.93,18,34.5,135.5,3.76,14.0,4,3
TOMATO,36,10,14,12,44,53,56,-3,2576.0,71.56,86.0,14,TEAM WOLFLING,63.0,25,VINCENZO,72.04,-0.49,18,10.5,167.0,4.64,17.0,2,2
TEAM GLIDER,36,11,8,17,41,53,65,-12,2569.5,71.38,88.0,17,TOMATO,60.0,11,BOBOTOTTI,73.18,-1.81,18,18.0,138.0,3.83,12.0,11,0
TEAM HAIR FLICK,36,8,12,16,36,51,65,-14,2558.0,71.06,81.5,16,TOMATO,60.0,19,CHELSEA,73.06,-2.0,18,19.0,201.0,5.58,13.0,15,0
