team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
TEAM HANQI,Falcone,P,Lecce,17.0,15.0,6.0,9.0,35.0,17.5,0.5,33.0,173.0,187.5,5.24,0.9227,10.176470588235293,11.029411764705882
TEAM HANQI,Silvestri,P,Cremonese,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,,,0.0,0.0
TEAM HANQI,Fruchtl,P,Lecce,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,,,0.0,0.0
TEAM HANQI,Luperto,D,Cremonese,9.0,8.0,7.0,1.0,12.0,6.0,-3.0,26.0,150.5,184.0,5.79,0.8179,16.72222222222222,20.444444444444443
TEAM HANQI,Diego Carlos,D,Como,9.0,8.0,5.0,3.0,12.0,6.0,-3.0,7.0,42.5,76.0,6.07,0.5592,4.722222222222222,8.444444444444445
TEAM HANQI,Rrahmani,D,Napoli,20.0,11.0,11.0,0.0,45.0,22.5,2.5,19.0,123.5,123.5,6.5,1.0,6.175,6.175
TEAM HANQI,Mazzocchi,D,Napoli,1.0,4.0,3.0,1.0,7.0,3.5,2.5,0.0,0.0,41.5,,0.0,0.0,41.5
TEAM HANQI,Holm,D,Juventus,12.0,10.0,8.0,2.0,8.0,4.0,-8.0,1.0,6.5,36.5,6.5,0.1781,0.5416666666666666,3.0416666666666665
TEAM HANQI,Beukema,D,Napoli,7.0,10.0,10.0,0.0,10.0,5.0,-2.0,17.0,105.5,135.5,6.21,0.7786,15.071428571428571,19.357142857142858
TEAM HANQI,Bartesaghi,D,Milan,12.0,10.0,3.0,7.0,15.0,7.5,-4.5,16.0,89.5,101.0,5.59,0.8861,7.458333333333333,8.416666666666666
TEAM HANQI,Ziolkowski,D,Roma,3.0,2.0,3.0,-1.0,9.0,4.5,1.5,6.0,34.5,52.0,5.75,0.6635,11.5,17.333333333333332
TEAM HANQI,Orsolini,C,Bologna,78.0,19.0,30.0,-11.0,150.0,75.0,-3.0,31.0,208.0,214.0,6.71,0.972,2.6666666666666665,2.7435897435897436
TEAM HANQI,Strefezza,C,Parma,19.0,13.0,10.0,3.0,50.0,25.0,6.0,10.0,61.5,93.5,6.15,0.6578,3.236842105263158,4.921052631578948
TEAM HANQI,Luis Henrique,C,Inter,6.0,8.0,7.0,1.0,12.0,6.0,0.0,14.0,86.0,104.0,6.14,0.8269,14.333333333333334,17.333333333333332
TEAM HANQI,El Aynaoui,C,Roma,18.0,8.0,9.0,-1.0,11.0,5.5,-12.5,6.0,35.5,122.0,5.92,0.291,1.9722222222222223,6.777777777777778
TEAM HANQI,Diouf,C,Inter,1.0,7.0,7.0,0.0,13.0,6.5,5.5,1.0,6.0,48.5,6.0,0.1237,6.0,48.5
TEAM HANQI,Prati,C,Torino,6.0,7.0,3.0,4.0,11.0,5.5,-0.5,3.0,18.0,70.5,6.0,0.2553,3.0,11.75
TEAM HANQI,Paz N.,C,Como,85.0,26.0,20.0,6.0,245.0,122.5,37.5,33.0,241.5,241.5,7.32,1.0,2.8411764705882354,2.8411764705882354
TEAM HANQI,Baturina,C,Como,30.0,24.0,9.0,15.0,95.0,47.5,17.5,14.0,93.5,133.0,6.68,0.703,3.1166666666666667,4.433333333333334
TEAM HANQI,Fullkrug,A,Milan,13.0,10.0,13.0,-3.0,12.0,6.0,-7.0,11.0,59.0,94.0,5.36,0.6277,4.538461538461538,7.230769230769231
