team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
7UPEVERYDAY,Zaniolo,C,36,31,31,0,0.8611,1.0,194.0,213.0,213.0,0.0,6.87,,11.0,4.5
7UPEVERYDAY,Spinazzola,D,36,29,29,0,0.8056,1.0,179.0,192.0,192.0,0.0,6.62,,11.0,5.0
7UPEVERYDAY,Maignan,P,36,35,32,3,0.8889,0.9107,219.5,201.5,183.5,18.0,5.73,6.0,11.0,2.5
7UPEVERYDAY,Vardy,A,36,29,22,7,0.6111,0.7698,172.5,195.5,150.5,45.0,6.84,6.43,15.0,5.0
7UPEVERYDAY,Esposito F.P.,A,36,30,21,9,0.5833,0.7049,188.0,213.5,150.5,63.0,7.17,7.0,11.0,5.5
7UPEVERYDAY,Kean,A,36,24,21,3,0.5833,0.872,143.0,168.0,146.5,21.5,6.98,7.17,13.5,4.5
7UPEVERYDAY,De Ketelaere,A,36,29,19,10,0.5278,0.6667,181.0,195.0,130.0,65.0,6.84,6.5,15.0,5.0
7UPEVERYDAY,Volpato,C,36,20,18,2,0.5,0.9112,122.5,129.5,118.0,11.5,6.56,5.75,11.5,5.0
7UPEVERYDAY,Doig,D,36,25,20,5,0.5556,0.8,147.0,145.0,116.0,29.0,5.8,5.8,6.5,5.0
7UPEVERYDAY,Olivera,D,36,21,20,1,0.5556,0.958,120.5,119.0,114.0,5.0,5.7,5.0,6.5,5.0
7UPEVERYDAY,Gutierrez,D,36,21,19,2,0.5278,0.8736,125.5,130.5,114.0,16.5,6.0,8.25,7.5,5.0
7UPEVERYDAY,Bonny,A,36,26,18,8,0.5,0.6346,159.0,176.5,112.0,64.5,6.22,8.06,11.0,5.0
7UPEVERYDAY,Valle,D,36,24,18,6,0.5,0.7375,145.5,150.5,111.0,39.5,6.17,6.58,7.5,5.0
7UPEVERYDAY,Hien,D,36,26,13,13,0.3611,0.5127,155.0,157.0,80.5,76.5,6.19,5.88,11.0,4.5
7UPEVERYDAY,Taylor K.,C,15,13,11,2,0.7333,0.8671,80.0,86.5,75.0,11.5,6.82,5.75,14.5,5.0
7UPEVERYDAY,Zambo Anguissa,C,36,16,9,7,0.25,0.6326,97.0,107.5,68.0,39.5,7.56,5.64,11.0,5.5
7UPEVERYDAY,Joao Mario,D,36,12,11,1,0.3056,0.9034,69.0,72.5,65.5,7.0,5.95,7.0,10.0,4.5
7UPEVERYDAY,Oristanio,C,21,11,9,2,0.4286,0.8226,62.0,62.0,51.0,11.0,5.67,5.5,6.0,5.0
7UPEVERYDAY,Zhegrova,C,21,7,6,1,0.2857,0.8471,42.5,42.5,36.0,6.5,6.0,6.5,6.5,5.5
7UPEVERYDAY,Tsimikas,D,21,8,6,2,0.2857,0.7609,46.5,46.0,35.0,11.0,5.83,5.5,6.0,5.0
7UPEVERYDAY,Gimenez,A,21,7,5,2,0.2381,0.6923,39.5,39.0,27.0,12.0,5.4,6.0,6.5,4.5
7UPEVERYDAY,Ekkelenkamp,C,15,12,4,8,0.2667,0.2831,73.0,83.0,23.5,59.5,5.88,7.44,6.0,5.5
7UPEVERYDAY,El Shaarawy,C,21,9,3,6,0.1429,0.3451,55.0,56.5,19.5,37.0,6.5,6.17,7.5,6.0
7UPEVERYDAY,Zaragoza,C,15,3,3,0,0.2,1.0,17.5,18.0,18.0,0.0,6.0,,7.0,5.5
7UPEVERYDAY,Fofana Y.,C,15,14,3,11,0.2,0.1871,80.5,85.5,16.0,69.5,5.33,6.32,5.5,5.0
7UPEVERYDAY,De Gea,P,21,21,3,18,0.1429,0.1515,130.0,99.0,15.0,84.0,5.0,4.67,7.0,4.0
7UPEVERYDAY,Arizala,D,15,5,2,3,0.1333,0.3966,29.0,29.0,11.5,17.5,5.75,5.83,6.0,5.5
7UPEVERYDAY,Terracciano,P,36,2,1,1,0.0278,0.5,12.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0
7UPEVERYDAY,Stanciu,C,21,2,1,1,0.0476,0.6875,10.0,8.0,5.5,2.5,5.5,2.5,5.5,5.5
7UPEVERYDAY,Meister,A,15,9,1,8,0.0667,0.1031,49.0,48.5,5.0,43.5,5.0,5.44,5.0,5.0
7UPEVERYDAY,Cremaschi,C,21,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
7UPEVERYDAY,Torriani,P,15,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
7UPEVERYDAY,Baldanzi,C,15,8,0,8,0.0,0.0,50.5,52.5,0.0,52.5,,6.56,,
KOKOMO,McTominay,C,36,31,31,0,0.8611,1.0,197.5,230.5,230.5,0.0,7.44,,14.5,5.0
KOKOMO,Barella,C,36,32,32,0,0.8889,1.0,201.5,215.0,215.0,0.0,6.72,,10.5,5.0
KOKOMO,Mancini,D,34,32,32,0,0.9412,1.0,199.5,212.0,212.0,0.0,6.62,,15.0,5.0
KOKOMO,Locatelli,C,36,34,34,0,0.9444,1.0,212.5,211.0,211.0,0.0,6.21,,9.5,3.0
KOKOMO,Pavlovic,D,36,32,29,3,0.8056,0.8983,199.0,211.5,190.0,21.5,6.55,7.17,11.5,5.0
KOKOMO,Tomori,D,36,30,29,1,0.8056,0.9717,179.0,176.5,171.5,5.0,5.91,5.0,7.0,3.5
KOKOMO,Provedel,P,35,25,25,0,0.7143,1.0,157.0,144.5,144.5,0.0,5.78,,8.0,3.0
KOKOMO,Odgaard,C,36,20,18,2,0.5,0.9194,119.0,136.5,125.5,11.0,6.97,5.5,11.0,5.0
KOKOMO,Baschirotto,D,36,27,20,7,0.5556,0.75,159.0,162.0,121.5,40.5,6.08,5.79,10.5,4.0
KOKOMO,Dybala,A,36,19,15,4,0.4167,0.8199,118.5,130.5,107.0,23.5,7.13,5.88,11.5,3.0
KOKOMO,Matic,C,36,33,18,15,0.5,0.5418,197.5,197.5,107.0,90.5,5.94,6.03,10.0,3.5
KOKOMO,Bisseck,D,36,22,14,8,0.3889,0.6443,138.0,149.0,96.0,53.0,6.86,6.62,11.5,5.5
KOKOMO,Boga,A,15,13,13,0,0.8667,1.0,80.5,95.0,95.0,0.0,7.31,,11.0,4.5
KOKOMO,Delprato,D,36,33,14,19,0.3889,0.4171,194.5,199.0,83.0,116.0,5.93,6.11,10.0,4.5
