team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
7UPEVERYDAY,P,4,36,22,205.5,5.71,109.0,0.6534
7UPEVERYDAY,D,9,138,33,839.5,6.08,202.0,0.806
7UPEVERYDAY,C,13,98,48,643.5,6.57,301.0,0.6813
7UPEVERYDAY,A,7,107,47,721.5,6.74,314.5,0.6964
KOKOMO,P,4,36,0,203.0,5.64,0.0,1.0
KOKOMO,D,8,143,50,902.5,6.31,302.5,0.749
KOKOMO,C,10,149,37,991.5,6.65,222.5,0.8167
KOKOMO,A,12,55,30,366.0,6.65,184.0,0.6655
NI99ER NO.1,P,4,36,7,208.0,5.78,30.0,0.8739
NI99ER NO.1,D,10,134,60,843.5,6.29,358.5,0.7017
NI99ER NO.1,C,13,118,75,759.5,6.44,462.5,0.6215
NI99ER NO.1,A,7,104,57,732.0,7.04,374.0,0.6618
ROMAZDA,P,5,35,25,179.5,5.13,129.0,0.5818
ROMAZDA,D,11,137,71,876.0,6.39,423.5,0.6741
ROMAZDA,C,13,140,84,912.5,6.52,519.5,0.6372
ROMAZDA,A,10,79,45,571.0,7.23,293.0,0.6609
SIR CROCODILE,P,3,36,20,210.5,5.85,98.5,0.6812
SIR CROCODILE,D,8,140,86,836.5,5.97,515.5,0.6187
SIR CROCODILE,C,9,119,97,774.5,6.51,614.0,0.5578
SIR CROCODILE,A,7,100,53,686.5,6.87,361.0,0.6554
TEAM HANQI,P,8,36,22,187.0,5.19,105.0,0.6404
TEAM HANQI,D,12,120,39,724.0,6.03,233.0,0.7565
TEAM HANQI,C,17,148,59,964.0,6.51,380.0,0.7173
TEAM HANQI,A,16,81,62,495.0,6.11,396.5,0.5552
TEAM ZTOTTI,P,4,36,31,184.0,5.11,169.0,0.5212
TEAM ZTOTTI,D,13,134,41,825.5,6.16,243.0,0.7726
TEAM ZTOTTI,C,12,120,65,796.0,6.63,401.0,0.665
TEAM ZTOTTI,A,8,102,53,740.0,7.25,328.0,0.6929
ULTRAMENG,P,3,36,0,210.0,5.83,0.0,1.0
ULTRAMENG,D,8,141,51,875.5,6.21,311.0,0.7379
ULTRAMENG,C,8,142,30,930.5,6.55,185.0,0.8342
ULTRAMENG,A,6,69,68,468.5,6.79,488.5,0.4896
VRHELPME,P,3,36,1,197.5,5.49,10.0,0.9518
VRHELPME,D,10,139,106,893.0,6.42,629.5,0.5865
VRHELPME,C,13,119,87,796.0,6.69,526.5,0.6019
VRHELPME,A,11,98,34,726.0,7.41,234.5,0.7559
XIAOYEZI,P,3,36,0,211.5,5.88,0.0,1.0
XIAOYEZI,D,12,127,73,784.5,6.18,436.0,0.6428
XIAOYEZI,C,13,137,69,906.0,6.61,421.0,0.6827
XIAOYEZI,A,9,94,45,640.0,6.81,264.0,0.708
