team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
7UPEVERYDAY,1,343,76.5,343,78.5,2.0,True
7UPEVERYDAY,2,433,70.0,442,72.5,2.5,False
7UPEVERYDAY,3,433,68.0,433,71.0,3.0,True
7UPEVERYDAY,4,343,67.0,433,87.5,20.5,False
7UPEVERYDAY,5,433,67.0,partial,75.5,8.5,False
7UPEVERYDAY,6,433,66.5,433,76.0,9.5,True
7UPEVERYDAY,7,433,76.0,433,78.5,2.5,True
7UPEVERYDAY,8,433,70.0,partial,76.5,6.5,False
7UPEVERYDAY,9,433,48.0,343,66.5,18.5,False
7UPEVERYDAY,10,433,73.5,433,74.5,1.0,True
7UPEVERYDAY,11,433,70.5,partial,78.5,8.0,False
7UPEVERYDAY,12,433,60.5,partial,68.5,8.0,False
7UPEVERYDAY,13,433,61.0,343,62.5,1.5,False
7UPEVERYDAY,14,433,77.0,343,84.0,7.0,False
7UPEVERYDAY,15,433,67.0,352,70.0,3.0,False
7UPEVERYDAY,16,433,77.0,433,78.0,1.0,True
7UPEVERYDAY,17,433,73.5,433,76.0,2.5,True
7UPEVERYDAY,18,433,69.0,343,72.0,3.0,False
7UPEVERYDAY,19,433,60.5,partial,69.0,8.5,False
7UPEVERYDAY,20,433,60.5,partial,76.5,16.0,False
7UPEVERYDAY,21,433,53.5,partial,71.5,18.0,False
7UPEVERYDAY,22,433,64.5,352,66.0,1.5,False
7UPEVERYDAY,23,433,77.0,442,78.5,1.5,False
7UPEVERYDAY,24,433,69.0,343,72.0,3.0,False
7UPEVERYDAY,25,433,67.5,343,69.5,2.0,False
7UPEVERYDAY,26,433,67.5,451,71.5,4.0,False
7UPEVERYDAY,27,433,67.0,532,70.5,3.5,False
7UPEVERYDAY,28,433,76.0,343,89.5,13.5,False
7UPEVERYDAY,29,433,70.5,343,76.0,5.5,False
7UPEVERYDAY,30,433,61.5,352,74.0,12.5,False
7UPEVERYDAY,31,433,70.5,343,73.5,3.0,False
7UPEVERYDAY,32,433,65.5,352,69.0,3.5,False
7UPEVERYDAY,33,433,56.0,343,64.5,8.5,False
7UPEVERYDAY,34,433,67.5,433,69.0,1.5,True
7UPEVERYDAY,35,433,67.5,433,69.0,1.5,True
7UPEVERYDAY,36,433,50.0,partial,56.0,6.0,False
KOKOMO,1,352,62.5,352,63.5,1.0,True
KOKOMO,2,451,60.0,541,66.5,6.5,False
KOKOMO,3,442,76.5,442,76.5,0.0,True
KOKOMO,4,541,70.0,352,71.5,1.5,False
KOKOMO,5,442,71.0,352,72.0,1.0,False
KOKOMO,6,442,77.0,433,78.5,1.5,False
KOKOMO,7,442,75.0,343,79.0,4.0,False
KOKOMO,8,442,69.0,352,74.0,5.0,False
KOKOMO,9,442,67.5,451,75.5,8.0,False
KOKOMO,10,442,72.0,352,73.5,1.5,False
KOKOMO,11,442,71.5,352,73.0,1.5,False
KOKOMO,12,442,69.5,352,75.5,6.0,False
KOKOMO,13,442,67.0,442,73.0,6.0,True
KOKOMO,14,442,70.0,451,71.5,1.5,False
KOKOMO,15,442,66.0,451,69.5,3.5,False
KOKOMO,16,352,61.5,541,63.5,2.0,False
KOKOMO,17,352,72.5,451,75.0,2.5,False
KOKOMO,18,352,70.0,451,77.0,7.0,False
KOKOMO,19,352,65.0,541,72.0,7.0,False
KOKOMO,20,451,70.5,352,73.0,2.5,False
KOKOMO,21,451,65.5,451,71.0,5.5,True
KOKOMO,22,442,74.5,532,77.0,2.5,False
KOKOMO,23,442,66.5,532,68.5,2.0,False
