team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
ULTRAMENG,36,19,6,11,63,52,39,13,2549.5,70.82,83.0,20,SIR CROCODILE,51.0,16,VRHELPME,68.31,2.51,18,29.0,231.5,6.43,18.0,16,0
VRHELPME,36,17,10,9,61,69,45,24,2682.0,74.5,88.5,20,KOKOMO,64.5,35,ULTRAMENG,69.44,5.06,18,33.5,178.0,4.94,12.5,2,0
TEAM ZTOTTI,36,18,5,13,59,60,48,12,2606.5,72.4,84.5,15,TEAM HANQI,57.5,14,XIAOYEZI,71.12,1.28,18,25.0,162.5,4.51,10.5,29,0
XIAOYEZI,36,17,4,15,55,58,55,3,2598.0,72.17,93.5,10,SIR CROCODILE,57.0,13,ULTRAMENG,70.86,1.31,18,20.0,149.0,4.14,11.0,16,0
ROMAZDA,36,15,8,13,53,59,51,8,2598.0,72.17,87.0,34,XIAOYEZI,56.0,36,TEAM HANQI,70.47,1.69,18,23.0,204.5,5.68,16.5,17,1
SIR CROCODILE,36,14,7,15,49,54,57,-3,2568.5,71.35,85.5,36,KOKOMO,59.0,25,TEAM ZTOTTI,72.11,-0.76,18,24.5,226.5,6.29,19.0,25,0
7UPEVERYDAY,36,11,12,13,45,42,50,-8,2468.5,68.57,81.0,14,ULTRAMENG,48.0,9,XIAOYEZI,70.72,-2.15,18,22.5,222.0,6.17,20.5,4,0
NI99ER NO.1,36,11,8,17,41,56,67,-11,2602.0,72.28,92.0,31,KOKOMO,57.5,35,XIAOYEZI,73.6,-1.32,18,23.0,207.5,5.76,16.0,20,0
KOKOMO,36,10,8,18,38,47,69,-22,2530.5,70.29,80.5,3,TEAM HANQI,54.5,34,7UPEVERYDAY,74.26,-3.97,18,31.5,144.0,4.0,13.5,28,3
TEAM HANQI,36,7,14,15,35,31,47,-16,2418.5,67.18,77.0,22,TEAM ZTOTTI,50.5,26,ULTRAMENG,70.82,-3.64,18,12.5,243.5,6.76,23.0,7,0
