team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
DARTH VADER,Perin,P,Juventus,1.0,8.0,1.0,7.0,10.0,5.0,4.0,9.0,49.0,49.0,5.44,1.0,49.0,49.0
DARTH VADER,Pinsoglio,P,Juventus,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,,,0.0,0.0
DARTH VADER,Di Gregorio,P,Juventus,44.0,15.0,16.0,-1.0,30.0,15.0,-29.0,27.0,148.5,158.5,5.5,0.9369,3.375,3.602272727272727
DARTH VADER,Buongiorno,D,Napoli,27.0,8.0,13.0,-5.0,13.0,6.5,-20.5,23.0,135.0,180.5,5.87,0.7479,5.0,6.685185185185185
DARTH VADER,Bremer,D,Juventus,34.0,20.0,13.0,7.0,74.0,37.0,3.0,23.0,160.5,166.5,6.98,0.964,4.720588235294118,4.897058823529412
DARTH VADER,Gallo,D,Lecce,6.0,10.0,5.0,5.0,15.0,7.5,1.5,9.0,54.5,210.0,6.06,0.2595,9.083333333333334,35.0
DARTH VADER,Celik,D,Roma,17.0,14.0,7.0,7.0,14.0,7.0,-10.0,15.0,93.5,118.0,6.23,0.7924,5.5,6.9411764705882355
DARTH VADER,Gutierrez,D,Napoli,6.0,10.0,8.0,2.0,12.0,6.0,0.0,7.0,43.5,79.0,6.21,0.5506,7.25,13.166666666666666
DARTH VADER,Vasquez,D,Genoa,15.0,11.0,9.0,2.0,26.0,13.0,-2.0,21.0,131.5,203.5,6.26,0.6462,8.766666666666667,13.566666666666666
DARTH VADER,Baschirotto,D,Cremonese,11.0,9.0,8.0,1.0,13.0,6.5,-4.5,15.0,92.0,162.0,6.13,0.5679,8.363636363636363,14.727272727272727
DARTH VADER,Bozhinov,D,Pisa,1.0,1.0,2.0,-1.0,8.0,4.0,3.0,0.0,0.0,36.0,,0.0,0.0,36.0
DARTH VADER,Zielinski,C,Inter,4.0,20.0,4.0,16.0,60.0,30.0,26.0,24.0,163.0,204.5,6.79,0.7971,40.75,51.125
DARTH VADER,Calhanoglu,C,Inter,31.0,24.0,23.0,1.0,190.0,95.0,64.0,21.0,161.0,161.0,7.67,1.0,5.193548387096774,5.193548387096774
