team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
BJ EASTONE FC,Paz N.,C,36,33,33,0,0.9167,1.0,209.0,241.5,241.5,0.0,7.32,,12.5,2.5
BJ EASTONE FC,Butez,P,36,36,36,0,1.0,1.0,218.5,210.0,210.0,0.0,5.83,,10.0,2.5
BJ EASTONE FC,Konè M.,C,36,27,27,0,0.75,1.0,168.5,178.5,178.5,0.0,6.61,,11.5,5.0
BJ EASTONE FC,Ramon,D,36,30,29,1,0.8056,0.9621,184.5,184.5,177.5,7.0,6.12,7.0,10.0,4.5
BJ EASTONE FC,Fofana Y.,C,36,31,29,2,0.8056,0.9342,182.0,190.0,177.5,12.5,6.12,6.25,11.0,5.0
BJ EASTONE FC,Bisseck,D,36,22,21,1,0.5833,0.9597,138.0,149.0,143.0,6.0,6.81,6.0,11.5,5.5
BJ EASTONE FC,Gosens,D,36,23,22,1,0.6111,0.9588,135.5,145.5,139.5,6.0,6.34,6.0,11.0,4.5
BJ EASTONE FC,De Winter,D,36,24,22,2,0.6111,0.9187,138.0,141.5,130.0,11.5,5.91,5.75,10.0,4.5
BJ EASTONE FC,Luis Henrique,C,36,27,21,6,0.5833,0.789,159.0,163.5,129.0,34.5,6.14,5.75,10.0,5.0
BJ EASTONE FC,Odgaard,C,36,20,19,1,0.5278,0.9194,119.0,136.5,125.5,11.0,6.61,11.0,10.5,5.0
BJ EASTONE FC,Kristensen T.,D,36,26,20,6,0.5556,0.7627,154.0,158.0,120.5,37.5,6.03,6.25,10.0,5.0
BJ EASTONE FC,Laurientè,A,21,21,15,6,0.7143,0.7047,132.5,149.0,105.0,44.0,7.0,7.33,12.0,5.0
BJ EASTONE FC,Conceicao,C,19,12,11,1,0.5789,0.9308,74.0,79.5,74.0,5.5,6.73,5.5,10.0,5.5
BJ EASTONE FC,Veiga D.,D,36,34,12,22,0.3333,0.3615,198.5,195.0,70.5,124.5,5.88,5.66,6.5,5.0
BJ EASTONE FC,Ferguson E.,A,36,12,10,2,0.2778,0.8107,72.5,84.5,68.5,16.0,6.85,8.0,11.0,5.5
BJ EASTONE FC,Smolcic I.,D,36,23,12,11,0.3333,0.5037,137.5,135.0,68.0,67.0,5.67,6.09,7.0,5.0
BJ EASTONE FC,Vlahovic,A,36,16,11,5,0.3056,0.5841,96.5,113.0,66.0,47.0,6.0,9.4,9.0,5.0
BJ EASTONE FC,Pinamonti,A,17,14,6,8,0.3529,0.4244,84.0,102.5,43.5,59.0,7.25,7.38,12.5,3.0
BJ EASTONE FC,Vergara,C,36,8,5,3,0.1389,0.566,50.0,53.0,30.0,23.0,6.0,7.67,6.5,5.5
BJ EASTONE FC,Frattesi,C,17,8,5,3,0.2941,0.6344,46.5,46.5,29.5,17.0,5.9,5.67,6.0,5.5
BJ EASTONE FC,Ekhator,A,36,24,2,22,0.0556,0.1086,143.5,152.0,16.5,135.5,8.25,6.16,10.5,6.0
