team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
BJ EASTONE FC,P,3,36,30,210.0,5.83,162.5,0.5638
BJ EASTONE FC,D,8,138,44,849.0,6.15,259.5,0.7659
BJ EASTONE FC,C,9,152,18,996.5,6.56,121.0,0.8917
BJ EASTONE FC,A,10,45,47,305.0,6.78,323.5,0.4853
BOVE,P,6,35,17,185.5,5.3,72.5,0.719
BOVE,D,14,141,75,931.5,6.61,447.0,0.6757
BOVE,C,12,116,94,767.5,6.62,614.5,0.5554
BOVE,A,11,101,55,677.0,6.7,357.5,0.6544
DARTH VADER,P,3,36,1,197.5,5.49,10.0,0.9518
DARTH VADER,D,11,122,120,761.0,6.24,708.0,0.518
DARTH VADER,C,11,136,92,908.5,6.68,588.0,0.6071
DARTH VADER,A,10,102,78,692.0,6.78,511.5,0.575
ETHANANITA,P,5,36,16,186.0,5.17,97.5,0.6561
ETHANANITA,D,11,147,48,899.0,6.12,293.5,0.7539
ETHANANITA,C,17,133,42,867.0,6.52,249.5,0.7765
ETHANANITA,A,12,72,49,469.5,6.52,319.0,0.5954
FANTA GPT,P,3,36,0,208.0,5.78,0.0,1.0
FANTA GPT,D,10,140,63,853.0,6.09,391.5,0.6854
FANTA GPT,C,15,118,87,748.5,6.34,520.5,0.5898
FANTA GPT,A,11,100,47,697.5,6.97,287.0,0.7085
KKK,P,4,36,36,204.0,5.67,178.5,0.5333
KKK,D,14,121,89,749.0,6.19,528.0,0.5865
KKK,C,12,130,72,855.5,6.58,468.0,0.6464
KKK,A,12,106,56,766.0,7.23,357.0,0.6821
TEAM ASRSUPERJULIAN,P,4,36,23,201.0,5.58,130.5,0.6063
TEAM ASRSUPERJULIAN,D,11,128,42,805.5,6.29,243.5,0.7679
TEAM ASRSUPERJULIAN,C,15,119,42,763.5,6.42,253.0,0.7511
TEAM ASRSUPERJULIAN,A,11,106,38,765.5,7.22,245.5,0.7572
TIGER REBELS,P,3,36,0,210.5,5.85,0.0,1.0
TIGER REBELS,D,9,143,76,844.0,5.9,461.0,0.6467
TIGER REBELS,C,8,145,39,955.5,6.59,251.5,0.7916
TIGER REBELS,A,8,70,51,481.5,6.88,318.5,0.6019
VENI VIDI VICI,P,3,36,0,211.5,5.88,0.0,1.0
VENI VIDI VICI,D,14,127,51,758.0,5.97,293.5,0.7209
VENI VIDI VICI,C,12,120,99,770.5,6.42,611.0,0.5577
VENI VIDI VICI,A,8,107,59,809.5,7.57,382.5,0.6791
WINNING MOMENT,P,4,36,20,183.5,5.1,97.5,0.653
WINNING MOMENT,D,10,131,75,808.5,6.17,460.5,0.6371
WINNING MOMENT,C,8,157,68,1018.5,6.49,419.0,0.7085
WINNING MOMENT,A,6,70,48,468.0,6.69,328.5,0.5876
