team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
BJ EASTONE FC,1,442,67.0,451,75.5,8.5,False
BJ EASTONE FC,2,442,74.0,352,75.0,1.0,False
BJ EASTONE FC,3,442,70.5,352,75.0,4.5,False
BJ EASTONE FC,4,442,72.0,352,73.0,1.0,False
BJ EASTONE FC,5,451,76.5,343,77.5,1.0,False
BJ EASTONE FC,6,451,62.5,352,63.5,1.0,False
BJ EASTONE FC,7,451,62.5,442,67.5,5.0,False
BJ EASTONE FC,8,451,65.5,451,66.0,0.5,True
BJ EASTONE FC,9,451,67.0,442,68.0,1.0,False
BJ EASTONE FC,10,352,73.5,343,78.5,5.0,False
BJ EASTONE FC,11,352,66.5,352,67.0,0.5,True
BJ EASTONE FC,12,352,60.0,partial,61.0,1.0,False
BJ EASTONE FC,13,352,56.5,541,71.5,15.0,False
BJ EASTONE FC,14,352,67.5,352,69.5,2.0,True
BJ EASTONE FC,15,451,80.5,442,91.5,11.0,False
BJ EASTONE FC,16,451,67.5,532,68.0,0.5,False
BJ EASTONE FC,17,451,65.5,532,80.0,14.5,False
BJ EASTONE FC,18,451,69.0,343,70.0,1.0,False
BJ EASTONE FC,19,451,71.5,442,74.5,3.0,False
BJ EASTONE FC,20,451,71.0,442,73.0,2.0,False
BJ EASTONE FC,21,451,64.5,442,75.0,10.5,False
BJ EASTONE FC,22,451,76.5,451,78.5,2.0,True
BJ EASTONE FC,23,451,62.5,433,73.5,11.0,False
BJ EASTONE FC,24,451,65.5,433,76.0,10.5,False
BJ EASTONE FC,25,442,70.0,451,80.5,10.5,False
BJ EASTONE FC,26,451,67.5,442,74.0,6.5,False
BJ EASTONE FC,27,451,65.5,532,68.5,3.0,False
BJ EASTONE FC,28,451,64.0,433,83.0,19.0,False
BJ EASTONE FC,29,451,45.5,partial,61.5,16.0,False
BJ EASTONE FC,30,451,55.5,532,74.0,18.5,False
BJ EASTONE FC,31,451,57.0,partial,68.0,11.0,False
BJ EASTONE FC,32,451,57.5,433,69.0,11.5,False
BJ EASTONE FC,33,451,70.0,433,84.5,14.5,False
BJ EASTONE FC,34,451,65.5,541,73.5,8.0,False
BJ EASTONE FC,35,451,51.0,partial,73.0,22.0,False
BJ EASTONE FC,36,451,56.0,532,72.5,16.5,False
BOVE,1,433,64.5,partial,80.0,15.5,False
BOVE,2,433,69.0,433,72.5,3.5,True
BOVE,3,433,70.5,532,74.0,3.5,False
BOVE,4,433,76.5,532,84.0,7.5,False
BOVE,5,433,67.5,442,75.5,8.0,False
BOVE,6,433,69.0,343,75.0,6.0,False
BOVE,7,433,66.0,343,66.5,0.5,False
BOVE,8,433,77.5,433,83.5,6.0,True
BOVE,9,433,64.5,partial,73.5,9.0,False
BOVE,10,343,85.5,343,90.0,4.5,True
BOVE,11,433,61.5,442,63.5,2.0,False
BOVE,12,433,73.5,343,82.5,9.0,False
BOVE,13,433,61.5,433,62.5,1.0,True
BOVE,14,433,87.5,442,92.5,5.0,False
BOVE,15,433,67.0,433,69.0,2.0,True
BOVE,16,343,81.0,343,86.5,5.5,True
BOVE,17,343,71.0,352,79.5,8.5,False
BOVE,18,433,77.0,343,84.0,7.0,False
BOVE,19,433,66.0,541,70.0,4.0,False
BOVE,20,442,75.5,352,79.0,3.5,False
BOVE,21,442,75.5,352,81.5,6.0,False
BOVE,22,433,78.0,352,86.0,8.0,False
BOVE,23,433,68.5,433,81.5,13.0,True
BOVE,24,433,76.0,352,87.5,11.5,False
