team,n_players,total_spent,total_active_fv,total_fv,squad_value_delta,squad_fvm_scaled,credits_residui,budget,roi_active,roi_total,spend_P,spend_D,spend_C,spend_A,points,rank
KKK,25,462.0,2367.5,3446.0,84.0,573.0,0.0,500,5.124458874458875,7.458874458874459,35.0,81.0,183.0,163.0,64,1
DARTH VADER,25,537.0,2403.5,3463.0,57.0,530.5,0.0,500,4.475791433891993,6.4487895716946,46.0,117.0,173.0,201.0,57,2
BOVE,25,509.0,2337.5,3389.0,-4.0,573.0,0.0,500,4.592337917485265,6.658153241650295,25.0,90.0,148.0,246.0,55,3
FANTA GPT,25,399.0,2182.0,3088.5,14.0,346.5,1.0,500,5.468671679197995,7.7406015037593985,66.0,82.0,103.0,148.0,55,4
VENI VIDI VICI,25,463.0,2106.0,3158.0,54.0,570.5,2.0,500,4.5485961123110155,6.8207343412527,32.0,56.0,116.0,259.0,53,5
TEAM ASRSUPERJULIAN,25,468.0,2086.0,2795.0,14.0,519.0,1.0,500,4.457264957264957,5.972222222222222,61.0,78.0,185.0,144.0,53,6
TIGER REBELS,25,486.0,2373.0,3359.5,45.0,447.0,0.0,500,4.882716049382716,6.912551440329218,54.0,56.0,203.0,173.0,44,7
WINNING MOMENT,25,481.0,2461.5,3767.0,87.0,385.0,0.0,500,5.117463617463618,7.831600831600832,19.0,131.0,157.0,174.0,40,8
ETHANANITA,25,406.0,1998.0,2503.5,-31.0,380.0,1.0,500,4.921182266009852,6.166256157635468,32.0,168.0,142.0,64.0,40,9
BJ EASTONE FC,25,509.0,2281.0,3120.0,27.0,427.5,0.0,500,4.481335952848723,6.129666011787819,46.0,86.0,180.0,197.0,34,10
