team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
KKK,36,19,7,10,64,59,44,15,2622.0,72.83,90.5,20,FANTA GPT,60.5,29,FANTA GPT,70.44,2.39,18,11.5,216.0,6.0,16.5,30,0
DARTH VADER,36,17,6,13,57,60,51,9,2607.5,72.43,82.0,1,KKK,61.5,10,BJ EASTONE FC,70.97,1.46,18,12.5,222.5,6.18,16.0,13,0
BOVE,36,15,10,11,55,63,50,13,2639.0,73.31,90.5,34,BJ EASTONE FC,62.5,13,TIGER REBELS,70.47,2.83,18,41.5,241.5,6.71,16.5,28,0
FANTA GPT,36,15,10,11,55,53,50,3,2568.5,71.35,85.0,31,ETHANANITA,60.5,15,DARTH VADER,70.57,0.78,18,25.5,167.0,4.64,12.5,9,1
VENI VIDI VICI,36,14,11,11,53,57,52,5,2603.0,72.31,83.0,12,TIGER REBELS,59.5,35,WINNING MOMENT,70.94,1.36,18,17.5,183.5,5.1,15.5,29,1
TEAM ASRSUPERJULIAN,36,15,8,13,53,58,60,-2,2587.5,71.88,84.0,3,BOVE,58.5,6,DARTH VADER,72.86,-0.99,18,16.0,168.0,4.67,15.0,33,2
TIGER REBELS,36,11,11,14,44,49,56,-7,2553.5,70.93,80.5,1,WINNING MOMENT,55.0,5,VENI VIDI VICI,71.76,-0.83,18,26.0,161.5,4.49,17.5,5,1
WINNING MOMENT,36,11,7,18,40,46,54,-8,2536.5,70.46,91.5,4,TEAM ASRSUPERJULIAN,61.0,8,DARTH VADER,71.65,-1.19,18,22.0,199.5,5.54,14.5,7,0
ETHANANITA,36,11,7,18,40,38,53,-15,2483.0,68.97,93.5,26,TEAM ASRSUPERJULIAN,53.5,22,BOVE,71.29,-2.32,18,25.5,199.5,5.54,20.0,25,2
BJ EASTONE FC,36,7,13,16,34,36,49,-13,2419.0,67.19,81.5,15,VENI VIDI VICI,45.5,29,ETHANANITA,70.68,-3.49,18,22.5,270.0,7.5,22.0,35,0
