team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
BATIGOAL,Maignan,P,35,35,35,0,1.0,1.0,219.5,201.5,201.5,0.0,5.76,,11.0,2.5
BATIGOAL,Leao,A,34,28,28,0,0.8235,1.0,164.5,195.0,195.0,0.0,6.96,,13.5,4.0
BATIGOAL,Wesley,D,33,28,28,0,0.8485,1.0,170.5,179.0,179.0,0.0,6.39,,11.0,4.0
BATIGOAL,Atta,C,33,30,25,5,0.7576,0.8403,190.0,203.5,171.0,32.5,6.84,6.5,14.0,5.5
BATIGOAL,Paz N.,C,21,21,21,0,1.0,1.0,134.0,155.0,155.0,0.0,7.38,,12.5,2.5
BATIGOAL,Da Cunha,C,36,33,22,11,0.6111,0.6615,209.5,227.5,150.5,77.0,6.84,7.0,13.0,5.0
BATIGOAL,McKennie,C,21,20,19,1,0.9048,0.9446,124.5,144.5,136.5,8.0,7.18,8.0,11.0,5.0
BATIGOAL,Zaccagni,C,31,24,22,2,0.7097,0.9149,140.5,141.0,129.0,12.0,5.86,6.0,10.0,3.0
BATIGOAL,Vojvoda,D,35,25,19,6,0.5429,0.7206,149.5,157.5,113.5,44.0,5.97,7.33,8.5,5.0
BATIGOAL,Norton-Cuffy,D,34,25,18,7,0.5294,0.7194,148.5,155.0,111.5,43.5,6.19,6.21,11.0,3.5
BATIGOAL,Canestrelli,D,36,35,18,17,0.5,0.5251,198.0,199.0,104.5,94.5,5.81,5.56,9.5,4.0
BATIGOAL,Bartesaghi,D,21,18,18,0,0.8571,1.0,104.0,101.0,101.0,0.0,5.61,,6.5,3.5
BATIGOAL,Colombo,A,36,35,15,20,0.4167,0.4336,208.5,229.5,99.5,130.0,6.63,6.5,11.0,5.5
BATIGOAL,Diao,A,32,16,15,1,0.4688,0.932,96.0,103.0,96.0,7.0,6.4,7.0,12.5,5.0
BATIGOAL,Zambo Anguissa,C,34,16,13,3,0.3824,0.8419,97.0,107.5,90.5,17.0,6.96,5.67,11.0,5.0
BATIGOAL,McTominay,C,15,11,11,0,0.7333,1.0,71.0,88.0,88.0,0.0,8.0,,11.0,5.5
BATIGOAL,Santos A.,C,15,13,10,3,0.6667,0.7474,82.5,95.0,71.0,24.0,7.1,8.0,10.5,5.5
BATIGOAL,Vasquez,D,15,15,12,3,0.8,0.7921,89.5,89.0,70.5,18.5,5.88,6.17,6.5,4.5
BATIGOAL,Kilicsoy,A,21,12,7,5,0.3333,0.5724,70.0,76.0,43.5,32.5,6.21,6.5,10.5,5.0
BATIGOAL,Borrelli,A,15,13,5,8,0.3333,0.4277,78.0,86.5,37.0,49.5,7.4,6.19,13.5,5.5
BATIGOAL,Rensch,D,18,7,5,2,0.2778,0.7294,42.5,42.5,31.0,11.5,6.2,5.75,7.0,5.5
BATIGOAL,Pongracic,D,20,20,5,15,0.25,0.2554,118.5,115.5,29.5,86.0,5.9,5.73,6.0,5.5
BATIGOAL,El Aynaoui,C,14,11,4,7,0.2857,0.3358,65.5,68.5,23.0,45.5,5.75,6.5,6.0,5.5
BATIGOAL,Estupinan,D,17,6,3,3,0.1765,0.5946,34.0,37.0,22.0,15.0,7.33,5.0,11.0,5.0
BATIGOAL,Asllani,C,18,13,4,9,0.2222,0.3116,72.5,69.0,21.5,47.5,5.38,5.28,6.0,5.0
BATIGOAL,Djuric,A,15,7,3,4,0.2,0.4535,42.5,43.0,19.5,23.5,6.5,5.88,7.5,6.0
BATIGOAL,Banda,A,6,6,3,3,0.5,0.4342,35.5,38.0,16.5,21.5,5.5,7.17,6.0,5.0
BATIGOAL,Ondrejka,C,6,6,2,4,0.3333,0.3582,34.0,33.5,12.0,21.5,6.0,5.38,6.0,6.0
BATIGOAL,Piccoli,A,15,9,2,7,0.1333,0.1736,53.0,60.5,10.5,50.0,5.25,7.14,5.5,5.0
BATIGOAL,Terracciano,P,36,2,1,1,0.0278,0.5,12.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0
BATIGOAL,Ekhator,A,15,9,1,8,0.0667,0.1083,54.5,60.0,6.5,53.5,6.5,6.69,6.5,6.5
BATIGOAL,Lovik,D,15,4,1,3,0.0667,0.2727,22.0,22.0,6.0,16.0,6.0,5.33,6.0,6.0
BATIGOAL,Dossena,D,15,11,1,10,0.0667,0.096,64.0,62.5,6.0,56.5,6.0,5.65,6.0,6.0
