team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
BATIGOAL,P,3,36,1,208.5,5.79,7.0,0.9675
BATIGOAL,D,13,128,68,774.5,6.05,395.5,0.662
BATIGOAL,C,13,153,48,1048.0,6.85,306.5,0.7737
BATIGOAL,A,12,79,62,524.0,6.63,403.0,0.5653
BUSHAOZI,P,3,36,0,211.5,5.88,0.0,1.0
BUSHAOZI,D,16,126,75,763.0,6.06,433.5,0.6377
BUSHAOZI,C,16,159,73,1025.0,6.45,435.5,0.7018
BUSHAOZI,A,16,73,39,531.0,7.27,237.5,0.691
CHOWPOUROMA,P,4,34,2,171.5,5.04,9.0,0.9501
CHOWPOUROMA,D,11,137,59,816.0,5.96,347.0,0.7016
CHOWPOUROMA,C,12,112,57,767.5,6.85,369.0,0.6753
CHOWPOUROMA,A,8,104,30,695.5,6.69,181.5,0.793
FC MCDONALD,P,5,36,14,204.5,5.68,72.5,0.7383
FC MCDONALD,D,9,106,65,658.0,6.21,380.5,0.6336
FC MCDONALD,C,8,143,60,914.0,6.39,354.0,0.7208
FC MCDONALD,A,9,106,39,722.0,6.81,234.5,0.7548
GALLIFREY,P,7,36,0,195.5,5.43,0.0,1.0
GALLIFREY,D,11,128,70,804.5,6.29,422.0,0.6559
GALLIFREY,C,10,139,84,920.5,6.62,538.0,0.6311
GALLIFREY,A,9,92,50,668.0,7.26,316.5,0.6785
HIGHRIVER,P,3,36,24,206.0,5.72,122.5,0.6271
HIGHRIVER,D,7,104,29,676.0,6.5,165.5,0.8033
HIGHRIVER,C,7,136,32,865.5,6.36,195.0,0.8161
HIGHRIVER,A,5,95,9,686.0,7.22,56.5,0.9239
SUMMERED,P,4,36,0,210.5,5.85,0.0,1.0
SUMMERED,D,10,139,82,867.0,6.24,507.0,0.631
SUMMERED,C,12,121,89,799.5,6.61,537.5,0.598
SUMMERED,A,11,98,63,731.0,7.46,388.0,0.6533
TEAM DELVECCHIO23,P,4,36,14,197.0,5.47,77.0,0.719
TEAM DELVECCHIO23,D,10,109,118,696.0,6.39,712.0,0.4943
TEAM DELVECCHIO23,C,10,147,66,945.0,6.43,411.5,0.6966
TEAM DELVECCHIO23,A,9,100,41,703.0,7.03,285.0,0.7115
TEAM SJ,P,3,36,1,199.5,5.54,5.0,0.9756
TEAM SJ,D,11,126,51,816.0,6.48,306.5,0.7269
TEAM SJ,C,14,131,81,813.0,6.21,513.0,0.6131
TEAM SJ,A,11,100,42,694.0,6.94,260.0,0.7275
ZDENEK ZEMAN,P,3,36,1,197.5,5.49,10.0,0.9518
ZDENEK ZEMAN,D,11,141,43,872.0,6.18,254.0,0.7744
ZDENEK ZEMAN,C,12,146,65,940.0,6.44,411.0,0.6958
ZDENEK ZEMAN,A,12,67,87,420.0,6.27,575.0,0.4221
