team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
BATIGOAL,1,451,71.0,451,74.0,3.0,True
BATIGOAL,2,451,66.0,352,67.0,1.0,False
BATIGOAL,3,451,69.0,352,75.5,6.5,False
BATIGOAL,4,451,70.5,343,83.0,12.5,False
BATIGOAL,5,352,79.5,343,80.0,0.5,False
BATIGOAL,6,352,74.5,442,77.0,2.5,False
BATIGOAL,7,442,68.0,442,74.0,6.0,True
BATIGOAL,8,352,77.0,343,77.5,0.5,False
BATIGOAL,9,442,65.0,343,68.0,3.0,False
BATIGOAL,10,433,84.5,343,89.5,5.0,False
BATIGOAL,11,343,78.0,343,78.0,0.0,True
BATIGOAL,12,433,67.5,433,68.0,0.5,True
BATIGOAL,13,532,63.0,433,65.5,2.5,False
BATIGOAL,14,532,68.5,532,69.5,1.0,True
BATIGOAL,15,532,74.5,343,79.0,4.5,False
BATIGOAL,16,442,76.0,343,89.5,13.5,False
BATIGOAL,17,343,69.0,343,76.0,7.0,True
BATIGOAL,18,343,73.0,343,75.0,2.0,True
BATIGOAL,19,442,70.0,433,73.5,3.5,False
BATIGOAL,20,352,73.5,343,80.0,6.5,False
BATIGOAL,21,433,72.5,433,76.5,4.0,True
BATIGOAL,22,433,76.5,433,81.5,5.0,True
BATIGOAL,23,433,66.5,532,75.5,9.0,False
BATIGOAL,24,442,66.5,433,76.5,10.0,False
BATIGOAL,25,352,75.0,532,76.5,1.5,False
BATIGOAL,26,343,75.5,352,83.0,7.5,False
BATIGOAL,27,343,60.5,343,74.0,13.5,True
BATIGOAL,28,352,73.0,343,75.5,2.5,False
BATIGOAL,29,352,67.0,352,68.0,1.0,True
BATIGOAL,30,343,64.5,352,71.5,7.0,False
BATIGOAL,31,352,67.0,343,77.5,10.5,False
BATIGOAL,32,352,87.0,352,93.0,6.0,True
BATIGOAL,33,352,64.5,352,66.5,2.0,True
BATIGOAL,34,352,62.5,352,65.5,3.0,True
BATIGOAL,35,352,67.0,343,70.0,3.0,False
BATIGOAL,36,352,71.5,343,76.5,5.0,False
BUSHAOZI,1,442,67.0,451,71.0,4.0,False
BUSHAOZI,2,442,71.0,451,76.5,5.5,False
BUSHAOZI,3,442,68.0,352,73.0,5.0,False
BUSHAOZI,4,442,66.5,343,68.5,2.0,False
