team,n_players,total_spent,total_active_fv,total_fv,squad_value_delta,squad_fvm_scaled,credits_residui,budget,roi_active,roi_total,spend_P,spend_D,spend_C,spend_A,points,rank
TEAM SJ,25,401.0,2070.0,2841.0,81.0,434.0,2.0,500,5.162094763092269,7.084788029925187,43.0,136.0,90.0,132.0,55,1
SUMMERED,25,477.0,2389.5,3440.0,33.0,655.5,1.0,500,5.009433962264151,7.211740041928721,37.0,95.0,133.0,212.0,54,2
TEAM DELVECCHIO23,25,472.0,2288.0,3458.5,73.0,378.0,0.0,500,4.8474576271186445,7.327330508474576,18.0,134.0,172.0,148.0,54,3
GALLIFREY,25,504.0,2185.5,3179.0,30.0,505.0,2.0,500,4.336309523809524,6.307539682539683,17.0,84.0,200.0,203.0,51,4
CHOWPOUROMA,25,450.0,2248.5,2949.5,9.0,364.0,1.0,500,4.996666666666667,6.554444444444444,19.0,100.0,103.0,228.0,51,5
BATIGOAL,25,535.0,2199.0,3004.5,17.0,495.0,1.0,500,4.110280373831776,5.615887850467289,31.0,93.0,270.0,141.0,49,6
ZDENEK ZEMAN,25,418.0,2055.5,2908.5,29.0,402.0,0.0,500,4.917464114832536,6.958133971291866,36.0,91.0,217.0,74.0,45,7
BUSHAOZI,25,465.0,1835.5,2427.5,-1.0,566.5,0.0,500,3.947311827956989,5.220430107526882,22.0,113.0,187.0,143.0,43,8
HIGHRIVER,25,500.0,2433.5,2973.0,31.0,529.5,20.0,500,4.867,5.946,26.0,135.0,127.0,212.0,42,9
FC MCDONALD,25,414.0,2403.5,3292.5,40.0,309.0,0.0,500,5.805555555555555,7.952898550724638,27.0,79.0,157.0,151.0,41,10
