team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
TEAM SJ,36,15,10,11,55,60,51,9,2582.0,71.72,89.5,29,TEAM DELVECCHIO23,45.5,2,ZDENEK ZEMAN,71.17,0.56,18,23.5,159.5,4.43,22.5,2,2
SUMMERED,36,14,12,10,54,68,60,8,2670.0,74.17,89.5,30,GALLIFREY,63.0,4,BATIGOAL,72.29,1.88,18,26.0,190.5,5.29,17.0,17,0
TEAM DELVECCHIO23,36,16,6,14,54,59,57,2,2577.5,71.6,86.0,10,FC MCDONALD,55.5,21,ZDENEK ZEMAN,71.85,-0.25,18,0.5,216.0,6.0,20.5,33,1
GALLIFREY,36,14,9,13,51,63,54,9,2649.5,73.6,90.0,12,BATIGOAL,62.0,13,HIGHRIVER,71.47,2.12,18,25.0,178.0,4.94,13.5,30,0
CHOWPOUROMA,36,15,6,15,51,45,54,-9,2501.5,69.49,81.5,33,TEAM SJ,51.0,19,TEAM DELVECCHIO23,71.26,-1.78,18,15.0,149.0,4.14,11.0,10,4
BATIGOAL,36,12,13,11,49,58,55,3,2606.5,72.4,88.5,10,HIGHRIVER,62.5,27,TEAM SJ,70.85,1.56,18,15.5,172.0,4.78,13.5,16,1
ZDENEK ZEMAN,36,10,15,11,45,44,47,-3,2491.5,69.21,83.0,35,GALLIFREY,56.5,20,CHOWPOUROMA,70.08,-0.88,18,26.0,242.5,6.74,22.0,20,0
BUSHAOZI,36,11,10,15,43,54,53,1,2578.0,71.61,84.5,18,BATIGOAL,62.0,25,HIGHRIVER,71.26,0.35,18,11.5,131.5,3.65,13.5,19,2
HIGHRIVER,36,9,15,12,42,38,50,-12,2469.5,68.6,82.5,12,TEAM SJ,55.5,6,FC MCDONALD,70.44,-1.85,18,0.0,174.0,4.83,13.0,14,1
FC MCDONALD,36,9,14,13,41,49,57,-8,2534.5,70.4,78.0,9,SUMMERED,54.5,35,CHOWPOUROMA,72.11,-1.71,18,0.0,132.5,3.68,9.5,16,0
