team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
NO ONE,Falcone,P,Lecce,11.0,15.0,6.0,9.0,35.0,17.5,6.5,36,195.0,195.0,5.42,1.0,17.727272727272727,17.727272727272727
NO ONE,Fruchtl,P,Lecce,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
NO ONE,Samooja,P,Lecce,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
NO ONE,Zappacosta,D,Atalanta,8.0,12.0,13.0,-1.0,18.0,9.0,1.0,31,194.0,215.5,6.26,0.9002,24.25,26.9375
NO ONE,Akanji,D,Inter,11.0,13.0,9.0,4.0,64.0,32.0,21.0,30,191.0,203.0,6.37,0.9409,17.363636363636363,18.454545454545453
NO ONE,N'Dicka,D,Roma,26.0,12.0,10.0,2.0,51.0,25.5,-0.5,25,155.5,180.0,6.22,0.8639,5.980769230769231,6.923076923076923
NO ONE,Angelino,D,Roma,25.0,7.0,15.0,-8.0,7.0,3.5,-21.5,3,17.0,22.5,5.67,0.7556,0.68,0.9
NO ONE,Ismajli,D,Torino,5.0,6.0,8.0,-2.0,14.0,7.0,2.0,10,60.5,142.5,6.05,0.4246,12.1,28.5
NO ONE,Scalvini,D,Atalanta,7.0,15.0,8.0,7.0,22.0,11.0,4.0,10,62.5,86.5,6.25,0.7225,8.928571428571429,12.357142857142858
NO ONE,Bisseck,D,Inter,10.0,15.0,9.0,6.0,41.0,20.5,10.5,15,99.0,146.0,6.6,0.6781,9.9,14.6
NO ONE,Kempf,D,Como,10.0,16.0,5.0,11.0,18.0,9.0,-1.0,10,62.5,85.5,6.25,0.731,6.25,8.55
NO ONE,Barella,C,Inter,37.0,18.0,14.0,4.0,58.0,29.0,-8.0,30,198.0,213.0,6.6,0.9296,5.351351351351352,5.756756756756757
NO ONE,Gaetano,C,Cagliari,9.0,13.0,8.0,5.0,15.0,7.5,-1.5,18,113.0,189.0,6.28,0.5979,12.555555555555555,21.0
NO ONE,Malinovskyi,C,Genoa,17.0,15.0,8.0,7.0,34.0,17.0,0.0,26,165.5,210.5,6.37,0.7862,9.735294117647058,12.382352941176471
