team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
ETERNITY,Martinez L.,A,28,25,25,0,0.8929,1.0,160.0,208.5,208.5,0.0,8.34,,13.5,5.0
ETERNITY,Rabiot,C,30,29,28,1,0.9333,0.9553,183.5,201.5,192.5,9.0,6.88,9.0,14.0,4.0
ETERNITY,Saelemaekers,C,33,31,29,2,0.8788,0.9385,190.0,195.0,183.0,12.0,6.31,6.0,9.0,4.5
ETERNITY,Pinamonti,A,35,32,27,5,0.7714,0.8128,188.0,211.0,171.5,39.5,6.35,7.9,12.5,3.0
ETERNITY,Simeone,A,34,30,23,7,0.6765,0.7506,183.0,212.5,159.5,53.0,6.93,7.57,11.0,5.0
ETERNITY,Gudmundsson A.,C,33,30,23,7,0.697,0.8059,176.5,188.0,151.5,36.5,6.59,5.21,10.5,5.0
ETERNITY,Gosens,D,31,22,22,0,0.7097,1.0,129.5,137.5,137.5,0.0,6.25,,11.0,4.5
ETERNITY,Lazaro,D,36,28,24,4,0.6667,0.8536,160.0,160.5,137.0,23.5,5.71,5.88,7.5,4.5
ETERNITY,Lucumì,D,32,25,19,6,0.5938,0.7736,147.0,148.0,114.5,33.5,6.03,5.58,10.5,4.5
ETERNITY,Sommer,P,36,31,19,12,0.5278,0.654,183.5,170.5,111.5,59.0,5.87,4.92,7.5,2.5
ETERNITY,Malen,A,15,15,12,3,0.8,0.8036,103.0,137.5,110.5,27.0,9.21,9.0,16.5,5.0
ETERNITY,Ederson D.S.,C,33,29,16,13,0.4848,0.5703,182.0,188.5,107.5,81.0,6.72,6.23,11.5,5.0
ETERNITY,De Bruyne,C,16,15,15,0,0.9375,1.0,94.0,105.0,105.0,0.0,7.0,,11.5,5.0
ETERNITY,Bellanova,D,28,20,17,3,0.6071,0.8627,116.5,116.5,100.5,16.0,5.91,5.33,7.0,5.0
ETERNITY,Ranieri L.,D,35,29,17,12,0.4857,0.5693,169.0,166.0,94.5,71.5,5.56,5.96,6.0,4.5
ETERNITY,Provedel,P,26,25,13,12,0.5,0.5502,157.0,144.5,79.5,65.0,6.12,5.42,8.0,3.5
ETERNITY,Buongiorno,D,15,14,14,0,0.9333,1.0,79.5,79.0,79.0,0.0,5.64,,6.5,4.0
ETERNITY,Esposito F.P.,A,21,17,8,9,0.381,0.4979,108.0,119.5,59.5,60.0,7.44,6.67,11.0,5.5
ETERNITY,Thorstvedt,C,15,14,8,6,0.5333,0.5978,86.5,92.0,55.0,37.0,6.88,6.17,10.0,5.5
ETERNITY,Esposito Se.,A,14,14,8,6,0.5714,0.5101,88.5,99.0,50.5,48.5,6.31,8.08,8.5,5.5
ETERNITY,Pezzella Giu.,D,33,29,9,20,0.2727,0.2997,163.5,158.5,47.5,111.0,5.28,5.55,6.0,4.5
ETERNITY,McKennie,C,21,20,5,15,0.2381,0.2868,123.5,132.5,38.0,94.5,7.6,6.3,10.5,5.0
ETERNITY,Paleari,P,15,15,4,11,0.2667,0.3121,90.5,70.5,22.0,48.5,5.5,4.41,7.5,4.5
ETERNITY,Tavares N.,D,20,7,4,3,0.2,0.5513,39.5,39.0,21.5,17.5,5.38,5.83,6.0,4.5
ETERNITY,Maldini,C,30,13,3,10,0.1,0.216,78.0,81.0,17.5,63.5,5.83,6.35,6.0,5.5
ETERNITY,Hien,D,7,5,2,3,0.2857,0.4035,29.0,28.5,11.5,17.0,5.75,5.67,6.0,5.5
ETERNITY,Kolasinac,D,6,1,1,0,0.1667,1.0,6.0,6.0,6.0,0.0,6.0,,6.0,6.0
ETERNITY,Mandas,P,21,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
ETERNITY,Lykogiannis,D,15,3,0,3,0.0,0.0,18.0,17.0,0.0,17.0,,5.67,,
ETERNITY,Camarda,A,18,14,0,14,0.0,0.0,80.0,81.5,0.0,81.5,,5.82,,
ETERNITY,Jashari,C,29,11,0,11,0.0,0.0,63.0,64.0,0.0,64.0,,5.82,,
ETERNITY,Immobile,A,14,5,0,5,0.0,0.0,27.5,27.0,0.0,27.0,,5.4,,
