team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
ETERNITY,P,4,36,35,213.0,5.92,172.5,0.5525
ETERNITY,D,11,129,54,749.5,5.81,307.0,0.7094
ETERNITY,C,9,127,65,850.0,6.69,397.5,0.6814
ETERNITY,A,9,103,52,760.0,7.38,353.5,0.6825
ETHANANITA,P,4,36,51,205.5,5.71,262.0,0.4396
ETHANANITA,D,12,137,83,838.5,6.12,507.0,0.6232
ETHANANITA,C,11,131,63,871.5,6.65,397.5,0.6868
ETHANANITA,A,9,90,52,603.0,6.7,311.5,0.6594
GOODBYE,P,3,36,0,209.0,5.81,0.0,1.0
GOODBYE,D,10,119,47,765.0,6.43,283.0,0.73
GOODBYE,C,10,138,57,885.5,6.42,352.5,0.7153
GOODBYE,A,11,91,36,631.5,6.94,226.0,0.7364
NO ONE,P,3,36,0,195.0,5.42,0.0,1.0
NO ONE,D,10,147,42,919.0,6.25,255.5,0.7825
NO ONE,C,10,123,78,791.0,6.43,493.5,0.6158
NO ONE,A,8,83,30,563.5,6.79,189.0,0.7488
SEPTWOLVES,P,4,36,3,214.5,5.96,16.5,0.9286
SEPTWOLVES,D,11,126,29,776.5,6.16,164.5,0.8252
SEPTWOLVES,C,15,137,43,880.5,6.43,262.0,0.7707
SEPTWOLVES,A,8,85,45,552.5,6.5,290.5,0.6554
TEAM WOLFLING,P,3,36,1,197.5,5.49,10.0,0.9518
TEAM WOLFLING,D,12,144,79,954.5,6.63,458.0,0.6758
TEAM WOLFLING,C,11,138,70,905.5,6.56,436.0,0.675
TEAM WOLFLING,A,10,78,86,552.0,7.08,541.5,0.5048
TEAM YANGTUO,P,4,36,0,190.5,5.29,0.0,1.0
TEAM YANGTUO,D,12,135,71,825.0,6.11,410.0,0.668
TEAM YANGTUO,C,14,122,50,768.0,6.3,311.0,0.7118
TEAM YANGTUO,A,12,98,59,616.0,6.29,359.0,0.6318
WINNING MOMENT,P,3,36,0,210.5,5.85,0.0,1.0
WINNING MOMENT,D,11,144,45,880.0,6.11,267.5,0.7669
WINNING MOMENT,C,10,115,84,730.0,6.35,528.0,0.5803
WINNING MOMENT,A,8,97,59,680.5,7.02,378.5,0.6426
XIAWA NO.92,P,3,36,1,212.5,5.9,7.0,0.9681
XIAWA NO.92,D,11,143,105,870.0,6.08,618.0,0.5847
XIAWA NO.92,C,12,112,84,712.0,6.36,513.5,0.581
XIAWA NO.92,A,9,104,50,696.0,6.69,320.5,0.6847
ZLZ AND HIS FRIENDS,P,4,34,26,168.0,4.94,132.5,0.5591
ZLZ AND HIS FRIENDS,D,9,136,77,831.5,6.11,459.5,0.6441
ZLZ AND HIS FRIENDS,C,9,125,79,825.5,6.6,479.5,0.6326
ZLZ AND HIS FRIENDS,A,8,95,67,665.0,7.0,420.0,0.6129
