team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
ETERNITY,1,442,68.0,451,78.0,10.0,False
ETERNITY,2,433,66.5,433,67.5,1.0,True
ETERNITY,3,433,77.0,343,85.0,8.0,False
ETERNITY,4,433,69.0,343,74.0,5.0,False
ETERNITY,5,433,67.0,343,74.5,7.5,False
ETERNITY,6,433,68.5,343,72.0,3.5,False
ETERNITY,7,433,67.0,532,72.5,5.5,False
ETERNITY,8,433,63.5,343,68.0,4.5,False
ETERNITY,9,433,82.0,343,83.5,1.5,False
ETERNITY,10,442,66.5,352,67.0,0.5,False
ETERNITY,11,442,72.5,352,77.0,4.5,False
ETERNITY,12,442,70.0,343,74.5,4.5,False
ETERNITY,13,442,72.5,343,78.5,6.0,False
ETERNITY,14,343,85.0,343,86.5,1.5,True
ETERNITY,15,343,71.5,352,74.5,3.0,False
ETERNITY,16,433,75.0,343,81.0,6.0,False
ETERNITY,17,343,73.0,451,76.5,3.5,False
ETERNITY,18,343,70.0,343,72.5,2.5,True
ETERNITY,19,343,68.0,partial,77.0,9.0,False
ETERNITY,20,343,65.5,343,71.0,5.5,True
ETERNITY,21,343,79.0,343,83.5,4.5,True
ETERNITY,22,433,73.0,352,79.5,6.5,False
ETERNITY,23,433,70.5,433,80.0,9.5,True
ETERNITY,24,433,70.5,343,72.5,2.0,False
ETERNITY,25,433,74.0,433,81.0,7.0,True
ETERNITY,26,433,65.0,352,71.5,6.5,False
ETERNITY,27,433,77.0,442,79.0,2.0,False
ETERNITY,28,433,66.5,343,75.0,8.5,False
ETERNITY,29,433,75.0,343,83.0,8.0,False
ETERNITY,30,343,81.0,343,88.0,7.0,True
ETERNITY,31,343,68.0,343,71.0,3.0,True
ETERNITY,32,343,77.5,343,79.5,2.0,True
ETERNITY,33,343,64.5,343,70.0,5.5,True
ETERNITY,34,343,80.5,433,84.0,3.5,False
ETERNITY,35,343,68.5,343,74.5,6.0,True
ETERNITY,36,343,64.0,343,65.5,1.5,True
ETHANANITA,1,433,64.5,343,75.0,10.5,False
ETHANANITA,2,433,68.5,433,79.0,10.5,True
ETHANANITA,3,433,73.0,442,81.5,8.5,False
ETHANANITA,4,433,62.5,343,70.0,7.5,False
ETHANANITA,5,433,64.0,343,71.0,7.0,False
ETHANANITA,6,433,67.5,343,69.5,2.0,False
ETHANANITA,7,433,71.5,442,77.5,6.0,False
ETHANANITA,8,433,67.0,343,72.0,5.0,False
ETHANANITA,9,442,68.0,352,76.5,8.5,False
ETHANANITA,10,433,73.5,343,78.0,4.5,False
ETHANANITA,11,433,71.0,343,73.5,2.5,False
ETHANANITA,12,352,69.0,343,78.0,9.0,False
ETHANANITA,13,343,73.5,433,74.5,1.0,False
ETHANANITA,14,343,73.0,451,81.0,8.0,False
ETHANANITA,15,343,75.0,442,80.5,5.5,False
ETHANANITA,16,343,72.5,352,82.5,10.0,False
ETHANANITA,17,343,69.5,532,73.0,3.5,False
ETHANANITA,18,433,68.5,433,72.5,4.0,True
ETHANANITA,19,433,67.0,343,73.0,6.0,False
ETHANANITA,20,433,81.0,532,82.5,1.5,False
ETHANANITA,21,433,66.0,541,75.0,9.0,False
ETHANANITA,22,442,51.5,partial,59.0,7.5,False
ETHANANITA,23,451,65.5,451,72.5,7.0,True
ETHANANITA,24,451,69.5,541,76.0,6.5,False
ETHANANITA,25,451,73.0,352,81.0,8.0,False
ETHANANITA,26,442,84.0,343,88.0,4.0,False
ETHANANITA,27,442,77.0,352,82.0,5.0,False
ETHANANITA,28,442,75.0,343,79.0,4.0,False
ETHANANITA,29,442,71.0,433,76.0,5.0,False
ETHANANITA,30,442,63.5,442,69.5,6.0,True
ETHANANITA,31,442,62.0,532,65.0,3.0,False
ETHANANITA,32,442,69.0,352,72.0,3.0,False
ETHANANITA,33,442,72.0,442,74.5,2.5,True
ETHANANITA,34,442,72.5,343,73.5,1.0,False
ETHANANITA,35,433,65.0,433,66.5,1.5,True
ETHANANITA,36,343,82.0,343,84.0,2.0,True
GOODBYE,1,433,71.0,343,73.0,2.0,False
GOODBYE,2,343,65.5,partial,65.5,0.0,False
GOODBYE,3,442,61.0,532,67.5,6.5,False
GOODBYE,4,433,67.5,433,75.0,7.5,True
GOODBYE,5,433,65.0,433,65.5,0.5,True
GOODBYE,6,433,60.0,343,69.5,9.5,False
GOODBYE,7,343,75.5,partial,75.5,0.0,False
GOODBYE,8,433,63.5,343,72.5,9.0,False
GOODBYE,9,343,73.5,352,74.5,1.0,False
GOODBYE,10,343,67.0,343,73.0,6.0,True
GOODBYE,11,343,76.0,343,77.5,1.5,True
GOODBYE,12,343,67.0,343,69.5,2.5,True
GOODBYE,13,343,76.0,352,77.0,1.0,False
GOODBYE,14,343,59.5,352,67.5,8.0,False
GOODBYE,15,433,69.0,541,76.5,7.5,False
GOODBYE,16,442,67.5,442,68.5,1.0,True
GOODBYE,17,343,62.0,352,69.5,7.5,False
GOODBYE,18,532,77.5,343,79.0,1.5,False
GOODBYE,19,442,69.5,442,71.0,1.5,True
GOODBYE,20,433,74.0,532,84.5,10.5,False
GOODBYE,21,442,74.5,532,82.0,7.5,False
GOODBYE,22,343,67.5,343,70.0,2.5,True
GOODBYE,23,433,63.5,433,70.5,7.0,True
GOODBYE,24,343,72.5,343,81.5,9.0,True
GOODBYE,25,352,68.5,343,72.5,4.0,False
GOODBYE,26,343,77.5,343,78.0,0.5,True
GOODBYE,27,442,69.5,433,75.0,5.5,False
GOODBYE,28,343,67.0,343,72.5,5.5,True
GOODBYE,29,343,71.5,442,79.5,8.0,False
GOODBYE,30,352,70.0,343,73.0,3.0,False
GOODBYE,31,352,69.0,343,70.5,1.5,False
GOODBYE,32,343,75.5,442,79.0,3.5,False
GOODBYE,33,352,79.5,343,80.5,1.0,False
GOODBYE,34,343,60.0,442,67.5,7.5,False
GOODBYE,35,352,70.0,partial,76.0,6.0,False
GOODBYE,36,343,67.5,343,70.5,3.0,True
NO ONE,1,532,58.5,451,62.5,4.0,False
NO ONE,2,451,64.0,451,68.5,4.5,True
NO ONE,3,541,61.0,352,64.0,3.0,False
NO ONE,4,442,65.5,343,76.0,10.5,False
NO ONE,5,442,74.5,343,77.0,2.5,False
NO ONE,6,442,68.5,343,77.0,8.5,False
NO ONE,7,343,71.0,442,73.0,2.0,False
NO ONE,8,442,64.0,343,72.0,8.0,False
NO ONE,9,442,66.5,352,70.0,3.5,False
NO ONE,10,442,65.0,352,73.5,8.5,False
NO ONE,11,442,72.0,433,74.5,2.5,False
NO ONE,12,433,65.0,352,72.5,7.5,False
NO ONE,13,433,64.0,451,75.0,11.0,False
NO ONE,14,433,74.0,352,76.5,2.5,False
NO ONE,15,433,54.5,442,59.5,5.0,False
NO ONE,16,433,80.0,433,84.5,4.5,True
