team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
TEAM WOLFLING,36,20,8,8,68,74,47,27,2682.0,74.5,90.0,17,WINNING MOMENT,62.5,5,XIAWA NO.92,70.44,4.06,18,36.5,163.0,4.53,14.5,32,0
ZLZ AND HIS FRIENDS,36,14,13,9,55,52,40,12,2548.5,70.79,86.5,12,NO ONE,47.0,36,SEPTWOLVES,69.03,1.76,18,22.5,194.5,5.4,14.0,33,1
ETHANANITA,36,14,10,12,52,54,48,6,2578.0,71.61,89.0,26,TEAM YANGTUO,52.0,22,TEAM WOLFLING,70.04,1.57,18,23.5,196.0,5.44,10.5,1,0
GOODBYE,36,14,8,14,50,50,57,-7,2543.5,70.65,81.5,18,ETERNITY,59.5,14,ZLZ AND HIS FRIENDS,71.74,-1.08,18,16.5,159.5,4.43,10.5,20,2
ETERNITY,36,13,10,13,49,59,57,2,2617.5,72.71,85.0,14,WINNING MOMENT,63.5,8,ZLZ AND HIS FRIENDS,72.15,0.56,18,9.0,176.0,4.89,10.0,1,0
NO ONE,36,13,9,14,48,50,53,-3,2543.5,70.65,93.0,22,GOODBYE,55.0,15,XIAWA NO.92,71.65,-1.0,18,39.0,183.0,5.08,12.0,30,0
SEPTWOLVES,36,12,12,12,48,45,51,-6,2484.5,69.01,79.0,17,NO ONE,48.0,36,ZLZ AND HIS FRIENDS,70.33,-1.32,18,24.5,158.0,4.39,17.0,36,1
XIAWA NO.92,36,14,6,16,48,48,56,-8,2557.0,71.03,81.0,7,ZLZ AND HIS FRIENDS,59.5,22,WINNING MOMENT,71.31,-0.28,18,30.5,169.5,4.71,11.0,3,2
WINNING MOMENT,36,12,7,17,43,52,50,2,2562.0,71.17,86.5,15,SEPTWOLVES,59.5,7,TEAM YANGTUO,70.88,0.29,18,25.0,185.0,5.14,12.5,27,2
TEAM YANGTUO,36,8,9,19,33,36,61,-25,2460.5,68.35,74.0,8,ETHANANITA,59.0,2,NO ONE,72.9,-4.56,18,25.0,163.0,4.53,15.0,26,2
