team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
TEAM PC,Skorupski,P,Bologna,18.0,11.0,10.0,1.0,14.0,7.0,-11.0,15,86.0,91.0,5.73,0.9451,4.777777777777778,5.055555555555555
TEAM PC,Ravaglia F.,P,Bologna,1.0,4.0,3.0,1.0,3.0,1.5,0.5,16,70.0,77.5,4.38,0.9032,70.0,77.5
TEAM PC,Pessina Mas.,P,Bologna,1.0,6.0,1.0,5.0,2.0,1.0,0.0,3,18.5,18.5,6.17,1.0,18.5,18.5
TEAM PC,Dimarco,D,Inter,35.0,30.0,19.0,11.0,320.0,160.0,125.0,31,235.0,256.5,7.58,0.9162,6.714285714285714,7.328571428571428
TEAM PC,Bremer,D,Juventus,32.0,20.0,13.0,7.0,74.0,37.0,5.0,20,135.5,163.5,6.78,0.8287,4.234375,5.109375
TEAM PC,Kabasele,D,Udinese,1.0,10.0,3.0,7.0,9.0,4.5,3.5,10,61.0,172.0,6.1,0.3547,61.0,172.0
TEAM PC,Lazaro,D,Torino,3.0,4.0,7.0,-3.0,11.0,5.5,2.5,10,57.5,160.5,5.75,0.3583,19.166666666666668,53.5
TEAM PC,Pavlovic,D,Milan,16.0,17.0,7.0,10.0,60.0,30.0,14.0,23,151.0,208.5,6.57,0.7242,9.4375,13.03125
TEAM PC,Kamara H.,D,Udinese,3.0,6.0,7.0,-1.0,15.0,7.5,4.5,12,70.0,87.0,5.83,0.8046,23.333333333333332,29.0
TEAM PC,Baschirotto,D,Cremonese,11.0,9.0,8.0,1.0,13.0,6.5,-4.5,14,80.0,161.0,5.71,0.4969,7.2727272727272725,14.636363636363637
TEAM PC,Norton-Cuffy,D,Genoa,6.0,7.0,3.0,4.0,14.0,7.0,1.0,9,59.0,70.5,6.56,0.8369,9.833333333333334,11.75
TEAM PC,Barella,C,Inter,46.0,18.0,14.0,4.0,58.0,29.0,-17.0,24,159.0,213.0,6.62,0.7465,3.4565217391304346,4.630434782608695
TEAM PC,Calhanoglu,C,Inter,34.0,24.0,23.0,1.0,190.0,95.0,61.0,20,149.0,158.0,7.45,0.943,4.382352941176471,4.647058823529412
TEAM PC,Matic,C,Sassuolo,5.0,8.0,4.0,4.0,13.0,6.5,1.5,4,20.5,102.5,5.12,0.2,4.1,20.5
TEAM PC,Zambo Anguissa,C,Napoli,50.0,15.0,15.0,0.0,20.0,10.0,-40.0,12,78.5,108.5,6.54,0.7235,1.57,2.17
TEAM PC,Ellertsson,C,Genoa,5.0,8.0,5.0,3.0,10.0,5.0,0.0,9,51.5,115.5,5.72,0.4459,10.3,23.1
TEAM PC,Oristanio,C,Parma,9.0,4.0,12.0,-8.0,10.0,5.0,-4.0,6,40.5,101.5,6.75,0.399,4.5,11.277777777777779
TEAM PC,Atta,C,Udinese,11.0,20.0,6.0,14.0,85.0,42.5,31.5,25,169.0,203.5,6.76,0.8305,15.363636363636363,18.5
TEAM PC,Sucic P.,C,Inter,21.0,11.0,9.0,2.0,21.0,10.5,-10.5,6,35.0,160.5,5.83,0.2181,1.6666666666666667,7.642857142857143
TEAM PC,Zapata D.,A,Torino,3.0,8.0,20.0,-12.0,15.0,7.5,4.5,7,43.0,139.5,6.14,0.3082,14.333333333333334,46.5
TEAM PC,Pinamonti,A,Sassuolo,28.0,16.0,16.0,0.0,55.0,27.5,-0.5,22,151.0,211.0,6.86,0.7156,5.392857142857143,7.535714285714286
TEAM PC,Davis K.,A,Udinese,36.0,24.0,12.0,12.0,110.0,55.0,19.0,21,153.5,199.0,7.31,0.7714,4.263888888888889,5.527777777777778
TEAM PC,Dia,A,Lazio,16.0,6.0,20.0,-14.0,9.0,4.5,-11.5,9,51.5,131.0,5.72,0.3931,3.21875,8.1875
TEAM PC,Banda,A,Lecce,6.0,15.0,5.0,10.0,22.0,11.0,5.0,9,66.0,97.0,7.33,0.6804,11.0,16.166666666666668
TEAM PC,Castro S.,A,Bologna,33.0,17.0,19.0,-2.0,30.0,15.0,-18.0,29,187.0,212.5,6.45,0.88,5.666666666666667,6.4393939393939394
DTE,Sportiello,P,Atalanta,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,1,4.5,4.5,4.5,1.0,4.5,4.5
DTE,Rossi F.,P,Atalanta,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
DTE,Carnesecchi,P,Atalanta,30.0,18.0,14.0,4.0,80.0,40.0,10.0,35,210.0,210.0,6.0,1.0,7.0,7.0
DTE,Mina,D,Cagliari,3.0,9.0,7.0,2.0,12.0,6.0,3.0,13,80.5,151.0,6.19,0.5331,26.833333333333332,50.333333333333336
DTE,Gabbia,D,Milan,4.0,5.0,6.0,-1.0,14.0,7.0,3.0,3,16.0,45.5,5.33,0.3516,4.0,11.375
DTE,Miranda J.,D,Bologna,9.0,10.0,9.0,1.0,25.0,12.5,3.5,17,104.5,190.0,6.15,0.55,11.61111111111111,21.11111111111111
DTE,Parisi,D,Fiorentina,2.0,6.0,5.0,1.0,12.0,6.0,4.0,6,35.0,84.0,5.83,0.4167,17.5,42.0
DTE,Bartesaghi,D,Milan,21.0,10.0,3.0,7.0,15.0,7.5,-13.5,17,95.5,101.0,5.62,0.9455,4.5476190476190474,4.809523809523809
DTE,Palestra,D,Cagliari,27.0,16.0,3.0,13.0,75.0,37.5,10.5,21,134.0,134.0,6.38,1.0,4.962962962962963,4.962962962962963
DTE,Solet,D,Udinese,16.0,14.0,11.0,3.0,55.0,27.5,11.5,17,113.0,113.0,6.65,1.0,7.0625,7.0625
DTE,Heggem,D,Bologna,2.0,4.0,4.0,0.0,12.0,6.0,4.0,9,53.0,138.0,5.89,0.3841,26.5,69.0
DTE,Locatelli,C,Juventus,22.0,12.0,12.0,0.0,47.0,23.5,1.5,15,92.0,118.5,6.13,0.7764,4.181818181818182,5.386363636363637
DTE,Mazzitelli,C,Cagliari,8.0,10.0,5.0,5.0,12.0,6.0,-2.0,3,16.5,28.0,5.5,0.5893,2.0625,3.5
DTE,De Bruyne,C,Napoli,76.0,21.0,23.0,-2.0,92.0,46.0,-30.0,15,105.0,105.0,7.0,1.0,1.381578947368421,1.381578947368421
DTE,Odgaard,C,Bologna,31.0,13.0,16.0,-3.0,14.0,7.0,-24.0,14,97.0,132.5,6.93,0.7321,3.129032258064516,4.274193548387097
DTE,McTominay,C,Napoli,93.0,25.0,26.0,-1.0,215.0,107.5,14.5,31,224.5,224.5,7.24,1.0,2.413978494623656,2.413978494623656
DTE,Frendrup,C,Genoa,4.0,9.0,9.0,0.0,15.0,7.5,3.5,6,34.5,203.0,5.75,0.17,8.625,50.75
DTE,Ekkelenkamp,C,Udinese,4.0,14.0,10.0,4.0,51.0,25.5,21.5,7,44.0,127.0,6.29,0.3465,11.0,31.75
DTE,Vergara,C,Napoli,11.0,8.0,1.0,7.0,12.0,6.0,-5.0,5,30.5,30.5,6.1,1.0,2.772727272727273,2.772727272727273
DTE,Kean,A,Fiorentina,82.0,16.0,33.0,-17.0,40.0,20.0,-62.0,23,162.0,167.0,7.04,0.9701,1.975609756097561,2.0365853658536586
DTE,Vardy,A,Cremonese,16.0,16.0,15.0,1.0,32.0,16.0,0.0,10,69.5,104.0,6.95,0.6683,4.34375,6.5
DTE,Cambiaghi,A,Bologna,5.0,12.0,11.0,1.0,10.0,5.0,0.0,10,71.5,143.0,7.15,0.5,14.3,28.6
DTE,Malen,A,Roma,82.0,25.0,14.0,11.0,350.0,175.0,93.0,15,137.5,137.5,9.17,1.0,1.6768292682926829,1.6768292682926829
DTE,De Ketelaere,A,Atalanta,51.0,16.0,22.0,-6.0,59.0,29.5,-21.5,11,78.5,111.0,7.14,0.7072,1.5392156862745099,2.176470588235294
DTE,Adams C.,A,Torino,10.0,16.0,14.0,2.0,23.0,11.5,1.5,13,86.0,112.5,6.62,0.7644,8.6,11.25
OWEN,Meret,P,Napoli,44.0,8.0,16.0,-8.0,20.0,10.0,-34.0,9,47.0,47.0,5.22,1.0,1.0681818181818181,1.0681818181818181
OWEN,Milinkovic-Savic V.,P,Napoli,12.0,17.0,4.0,13.0,37.0,18.5,6.5,27,162.0,162.0,6.0,1.0,13.5,13.5
OWEN,Contini,P,Napoli,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
OWEN,Zappacosta,D,Atalanta,6.0,12.0,13.0,-1.0,18.0,9.0,3.0,28,178.0,215.5,6.36,0.826,29.666666666666668,35.916666666666664
OWEN,Marusic,D,Lazio,5.0,8.0,8.0,0.0,12.0,6.0,1.0,5,26.5,101.5,5.3,0.2611,5.3,20.3
OWEN,Zappa,D,Cagliari,4.0,6.0,6.0,0.0,8.0,4.0,0.0,0,0.0,59.0,,0.0,0.0,14.75
OWEN,Vojvoda,D,Como,14.0,10.0,6.0,4.0,12.0,6.0,-8.0,24,150.5,156.5,6.27,0.9617,10.75,11.178571428571429
OWEN,Vasquez,D,Genoa,17.0,11.0,9.0,2.0,26.0,13.0,-4.0,18,113.5,207.5,6.31,0.547,6.676470588235294,12.205882352941176
OWEN,Valeri,D,Parma,17.0,11.0,10.0,1.0,22.0,11.0,-6.0,24,145.5,189.5,6.06,0.7678,8.558823529411764,11.147058823529411
OWEN,Valle,D,Como,14.0,10.0,6.0,4.0,17.0,8.5,-5.5,18,111.5,149.5,6.19,0.7458,7.964285714285714,10.678571428571429
OWEN,Ramon,D,Como,13.0,10.0,4.0,6.0,23.0,11.5,-1.5,19,115.0,182.5,6.05,0.6301,8.846153846153847,14.038461538461538
OWEN,Pulisic,C,Milan,79.0,24.0,28.0,-4.0,100.0,50.0,-29.0,24,171.5,177.0,7.15,0.9689,2.170886075949367,2.240506329113924
OWEN,Gaetano,C,Cagliari,8.0,13.0,8.0,5.0,15.0,7.5,-0.5,6,37.0,104.5,6.17,0.3541,4.625,13.0625
OWEN,Strefezza,C,Parma,7.0,13.0,10.0,3.0,50.0,25.0,18.0,9,57.5,92.5,6.39,0.6216,8.214285714285714,13.214285714285714
OWEN,Ederson D.S.,C,Atalanta,22.0,13.0,15.0,-2.0,30.0,15.0,-7.0,17,113.5,188.5,6.68,0.6021,5.159090909090909,8.568181818181818
OWEN,Folorunsho,C,Cagliari,7.0,10.0,9.0,1.0,14.0,7.0,0.0,7,44.0,147.5,6.29,0.2983,6.285714285714286,21.071428571428573
