team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
AVIOD RELEGATION FOOTBALL CLUB,Yildiz,A,35,33,33,0,0.9429,1.0,210.0,236.0,236.0,0.0,7.15,,13.5,5.5
AVIOD RELEGATION FOOTBALL CLUB,Thuram K.,C,36,32,30,2,0.8333,0.9236,195.0,203.0,187.5,15.5,6.25,7.75,9.0,5.0
AVIOD RELEGATION FOOTBALL CLUB,Kelly L.,D,36,33,27,6,0.75,0.807,198.5,199.5,161.0,38.5,5.96,6.42,7.5,5.0
AVIOD RELEGATION FOOTBALL CLUB,Bernabè,C,36,30,23,7,0.6389,0.7861,185.0,194.0,152.5,41.5,6.63,5.93,10.0,5.5
AVIOD RELEGATION FOOTBALL CLUB,Fofana Y.,C,36,31,23,8,0.6389,0.7222,182.0,189.0,136.5,52.5,5.93,6.56,11.0,5.0
AVIOD RELEGATION FOOTBALL CLUB,Carlos Augusto,D,35,27,21,6,0.6,0.7778,165.5,166.5,129.5,37.0,6.17,6.17,9.0,5.0
AVIOD RELEGATION FOOTBALL CLUB,Scamacca,A,34,20,17,3,0.5,0.863,123.0,146.0,126.0,20.0,7.41,6.67,13.5,5.0
AVIOD RELEGATION FOOTBALL CLUB,Martin,D,36,27,18,9,0.5,0.6997,161.0,166.5,116.5,50.0,6.47,5.56,9.5,4.5
AVIOD RELEGATION FOOTBALL CLUB,Pellegrino M.,A,35,35,15,20,0.4286,0.4797,209.5,234.5,112.5,122.0,7.5,6.1,13.0,5.0
AVIOD RELEGATION FOOTBALL CLUB,Bonny,A,36,26,16,10,0.4444,0.6275,159.0,174.5,109.5,65.0,6.84,6.5,15.5,5.5
AVIOD RELEGATION FOOTBALL CLUB,Kempf,D,36,27,18,9,0.5,0.6236,165.5,174.0,108.5,65.5,6.03,7.28,7.5,4.5
AVIOD RELEGATION FOOTBALL CLUB,Delprato,D,36,33,18,15,0.5,0.535,194.5,200.0,107.0,93.0,5.94,6.2,10.0,5.0
AVIOD RELEGATION FOOTBALL CLUB,Gila,D,35,29,17,12,0.4857,0.5881,175.5,176.0,103.5,72.5,6.09,6.04,8.0,4.0
AVIOD RELEGATION FOOTBALL CLUB,David,A,36,28,16,12,0.4444,0.5653,161.0,176.0,99.5,76.5,6.22,6.38,11.5,2.5
AVIOD RELEGATION FOOTBALL CLUB,Di Gregorio,P,36,28,17,11,0.4722,0.6025,170.0,158.5,95.5,63.0,5.62,5.73,7.5,2.5
AVIOD RELEGATION FOOTBALL CLUB,Coco,D,21,21,17,4,0.8095,0.8017,119.5,118.5,95.0,23.5,5.59,5.88,6.5,4.0
AVIOD RELEGATION FOOTBALL CLUB,Tourè I.,C,35,28,11,17,0.3143,0.4098,161.5,163.5,67.0,96.5,6.09,5.68,11.0,4.5
AVIOD RELEGATION FOOTBALL CLUB,Falcone,P,36,36,8,28,0.2222,0.2436,230.0,195.0,47.5,147.5,5.94,5.27,8.5,3.0
AVIOD RELEGATION FOOTBALL CLUB,Maldini,C,15,11,7,4,0.4667,0.6319,66.0,72.0,45.5,26.5,6.5,6.62,9.0,5.5
AVIOD RELEGATION FOOTBALL CLUB,Baldanzi,C,21,8,6,2,0.2857,0.7619,50.5,52.5,40.0,12.5,6.67,6.25,8.0,5.5
AVIOD RELEGATION FOOTBALL CLUB,Perin,P,19,7,7,0,0.3684,1.0,43.0,39.0,39.0,0.0,5.57,,7.5,2.5
AVIOD RELEGATION FOOTBALL CLUB,Acerbi,D,15,9,6,3,0.4,0.6481,54.5,54.0,35.0,19.0,5.83,6.33,6.5,5.0
AVIOD RELEGATION FOOTBALL CLUB,Rowe,C,21,14,5,9,0.2381,0.3882,85.0,85.0,33.0,52.0,6.6,5.78,8.0,5.5
AVIOD RELEGATION FOOTBALL CLUB,Serdar,C,21,15,4,11,0.1905,0.3077,90.0,91.0,28.0,63.0,7.0,5.73,9.0,6.0
AVIOD RELEGATION FOOTBALL CLUB,Harrison,C,15,14,4,10,0.2667,0.2514,83.0,87.5,22.0,65.5,5.5,6.55,6.0,5.0
AVIOD RELEGATION FOOTBALL CLUB,Adopo,C,15,15,3,12,0.2,0.1834,84.5,84.5,15.5,69.0,5.17,5.75,6.0,4.5
AVIOD RELEGATION FOOTBALL CLUB,Sava,P,9,5,4,1,0.4444,0.875,27.0,16.0,14.0,2.0,3.5,2.0,6.5,0.0
AVIOD RELEGATION FOOTBALL CLUB,Ziolkowski,D,21,4,2,2,0.0952,0.5217,23.5,23.0,12.0,11.0,6.0,5.5,7.0,5.0
AVIOD RELEGATION FOOTBALL CLUB,Sanabria,A,13,10,2,8,0.1538,0.1849,58.0,59.5,11.0,48.5,5.5,6.06,5.5,5.5
AVIOD RELEGATION FOOTBALL CLUB,Ghilardi,D,15,2,0,2,0.0,0.0,10.5,10.5,0.0,10.5,,5.25,,
AVIOD RELEGATION FOOTBALL CLUB,Baturina,C,15,7,0,7,0.0,0.0,41.0,44.0,0.0,44.0,,6.29,,
AVIOD RELEGATION FOOTBALL CLUB,Berisha M.,C,21,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
AVIOD RELEGATION FOOTBALL CLUB,Addai,A,6,1,0,1,0.0,0.0,5.5,5.0,0.0,5.0,,5.0,,
AVIOD RELEGATION FOOTBALL CLUB,Ratkov,A,15,3,0,3,0.0,0.0,17.0,17.0,0.0,17.0,,5.67,,
BATIGOAL,Tomori,D,34,30,26,4,0.7647,0.8789,179.0,177.5,156.0,21.5,6.0,5.38,8.0,5.0
BATIGOAL,Bisseck,D,35,22,20,2,0.5714,0.9144,138.0,146.0,133.5,12.5,6.67,6.25,10.5,5.5
BATIGOAL,Martinez L.,A,20,13,13,0,0.65,1.0,84.0,111.0,111.0,0.0,8.54,,12.5,5.0
BATIGOAL,Vlasic,C,21,20,17,3,0.8095,0.8566,118.5,125.5,107.5,18.0,6.32,6.0,9.5,4.5
BATIGOAL,Ostigard,D,19,18,15,3,0.7895,0.8369,113.0,116.5,97.5,19.0,6.5,6.33,9.5,4.5
BATIGOAL,Perrone,C,21,21,14,7,0.6667,0.6861,131.0,137.0,94.0,43.0,6.71,6.14,11.0,5.0
BATIGOAL,Gudmundsson A.,C,19,17,14,3,0.7368,0.8451,100.5,106.5,90.0,16.5,6.43,5.5,10.0,4.0
BATIGOAL,De Gea,P,21,20,15,5,0.7143,0.7696,127.0,115.0,88.5,26.5,5.9,5.3,9.0,2.0
BATIGOAL,Cambiaso,D,14,14,14,0,1.0,1.0,83.5,88.0,88.0,0.0,6.29,,10.0,5.5
BATIGOAL,Neres,C,15,14,12,2,0.8,0.8724,86.5,98.0,85.5,12.5,7.12,6.25,13.5,5.0
BATIGOAL,Leao,A,14,11,11,0,0.7857,1.0,67.5,82.0,82.0,0.0,7.45,,13.5,4.5
BATIGOAL,Santos A.,C,15,13,12,1,0.8,0.8763,82.5,93.0,81.5,11.5,6.79,11.5,10.0,5.5
BATIGOAL,Konè I.,C,21,20,12,8,0.5714,0.5985,123.5,129.5,77.5,52.0,6.46,6.5,9.0,5.0
BATIGOAL,Diao,A,28,16,12,4,0.4286,0.7549,96.0,102.0,77.0,25.0,6.42,6.25,12.5,5.0
BATIGOAL,Zielinski,C,15,14,12,2,0.8,0.8531,84.5,88.5,75.5,13.0,6.29,6.5,10.5,3.0
BATIGOAL,Vandeputte,C,15,14,12,2,0.8,0.8333,86.5,90.0,75.0,15.0,6.25,7.5,8.0,5.5
BATIGOAL,Dodò,D,14,13,12,1,0.8571,0.9187,80.0,80.0,73.5,6.5,6.12,6.5,9.5,4.5
BATIGOAL,Thuram,A,12,10,10,0,0.8333,1.0,61.5,65.0,65.0,0.0,6.5,,9.0,5.0
BATIGOAL,El Aynaoui,C,30,20,10,10,0.3333,0.4959,119.5,121.0,60.0,61.0,6.0,6.1,7.0,5.5
BATIGOAL,Kilicsoy,A,21,12,9,3,0.4286,0.7905,70.0,74.0,58.5,15.5,6.5,5.17,9.5,5.0
BATIGOAL,Sommer,P,15,13,10,3,0.6667,0.7945,77.0,73.0,58.0,15.0,5.8,5.0,7.5,1.0
BATIGOAL,Openda,A,15,11,9,2,0.6,0.8394,65.5,68.5,57.5,11.0,6.39,5.5,10.0,5.0
BATIGOAL,Boga,A,15,13,8,5,0.5333,0.625,80.5,92.0,57.5,34.5,7.19,6.9,11.0,4.5
BATIGOAL,Nkunku,A,21,14,8,6,0.381,0.5661,83.5,94.5,53.5,41.0,6.69,6.83,10.0,5.0
BATIGOAL,Giovane,A,15,15,8,7,0.5333,0.4802,90.0,101.0,48.5,52.5,6.06,7.5,7.0,5.5
BATIGOAL,Mkhitaryan,C,13,9,7,2,0.5385,0.7757,54.5,53.5,41.5,12.0,5.93,6.0,6.5,5.0
BATIGOAL,Vazquez,C,15,10,6,4,0.4,0.6063,61.5,63.5,38.5,25.0,6.42,6.25,7.5,5.5
BATIGOAL,Olivera,D,15,9,7,2,0.4667,0.7653,50.0,49.0,37.5,11.5,5.36,5.75,5.5,5.0
BATIGOAL,Pezzella Giu.,D,20,15,6,9,0.3,0.4074,84.0,81.0,33.0,48.0,5.5,5.33,6.0,5.0
BATIGOAL,Celik,D,6,5,5,0,0.8333,1.0,31.5,31.5,31.5,0.0,6.3,,7.0,5.5
BATIGOAL,Terracciano F.,D,14,13,5,8,0.3571,0.4113,74.0,70.5,29.0,41.5,5.8,5.19,6.5,5.0
BATIGOAL,Ghilardi,D,15,14,4,10,0.2667,0.2874,84.0,83.5,24.0,59.5,6.0,5.95,6.5,5.5
BATIGOAL,Gutierrez,D,14,5,4,1,0.2857,0.8103,29.0,29.0,23.5,5.5,5.88,5.5,6.0,5.5
BATIGOAL,Tsimikas,D,15,4,4,0,0.2667,1.0,23.5,23.0,23.0,0.0,5.75,,6.0,5.5
BATIGOAL,Fullkrug,A,6,6,3,3,0.5,0.5679,36.5,40.5,23.0,17.5,7.67,5.83,11.0,6.0
BATIGOAL,Orban G.,A,15,14,3,11,0.2,0.1949,84.0,97.5,19.0,78.5,6.33,7.14,8.5,5.0
BATIGOAL,Angelino,D,34,4,3,1,0.0882,0.7556,23.5,22.5,17.0,5.5,5.67,5.5,6.0,5.0
BATIGOAL,Fazzini,C,15,7,3,4,0.2,0.4198,40.5,40.5,17.0,23.5,5.67,5.88,6.0,5.5
BATIGOAL,Okoye,P,17,15,4,11,0.2353,0.2143,89.0,77.0,16.5,60.5,4.12,5.5,5.0,3.0
BATIGOAL,Muric,P,21,16,3,13,0.1429,0.2171,95.5,76.0,16.5,59.5,5.5,4.58,7.5,4.5
BATIGOAL,Martinez Jo.,P,15,2,2,0,0.1333,1.0,12.5,12.5,12.5,0.0,6.25,,7.0,5.5
BATIGOAL,Diego Carlos,D,5,2,2,0,0.4,1.0,12.0,12.0,12.0,0.0,6.0,,6.5,5.5
BATIGOAL,Luis Henrique,C,6,6,2,4,0.3333,0.3056,35.0,36.0,11.0,25.0,5.5,6.25,6.0,5.0
BATIGOAL,Turati,P,15,5,2,3,0.1333,0.3158,31.5,28.5,9.0,19.5,4.5,6.5,5.5,3.5
BATIGOAL,Djuric,A,15,7,1,6,0.0667,0.1744,42.5,43.0,7.5,35.5,7.5,5.92,7.5,7.5
BATIGOAL,Piotrowski,C,5,4,1,3,0.2,0.2444,22.5,22.5,5.5,17.0,5.5,5.67,5.5,5.5
BATIGOAL,Miretti,C,15,6,1,5,0.0667,0.1642,33.5,33.5,5.5,28.0,5.5,5.6,5.5,5.5
BATIGOAL,Stanciu,C,13,1,0,1,0.0,0.0,5.5,5.5,0.0,5.5,,5.5,,
BATIGOAL,Stengs,C,11,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
BATIGOAL,Smolcic I.,D,6,4,0,4,0.0,0.0,24.5,24.0,0.0,24.0,,6.0,,
BATIGOAL,Koopmeiners,C,6,4,0,4,0.0,0.0,23.0,23.0,0.0,23.0,,5.75,,
BATIGOAL,Lookman,A,3,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
BATIGOAL,Idrissi R.,D,9,3,0,3,0.0,0.0,16.0,15.5,0.0,15.5,,5.17,,
DELI-XUJUN,Mancini,D,36,34,34,0,0.9444,1.0,212.5,221.5,221.5,0.0,6.51,,14.0,5.0
DELI-XUJUN,Cristante,C,36,35,35,0,0.9722,1.0,213.5,218.5,218.5,0.0,6.24,,12.5,4.5
DELI-XUJUN,Modric,C,36,31,31,0,0.8611,1.0,200.0,209.0,209.0,0.0,6.74,,11.5,5.5
DELI-XUJUN,Spinazzola,D,36,29,27,2,0.75,0.9289,179.0,190.0,176.5,13.5,6.54,6.75,11.0,5.0
DELI-XUJUN,Rodriguez Je.,A,36,26,26,0,0.7222,1.0,163.0,176.0,176.0,0.0,6.77,,12.5,5.0
DELI-XUJUN,Di Lorenzo,D,36,24,23,1,0.6389,0.9472,146.0,151.5,143.5,8.0,6.24,8.0,9.5,5.0
DELI-XUJUN,N'Dicka,D,36,29,23,6,0.6389,0.7917,175.5,180.0,142.5,37.5,6.2,6.25,9.0,4.5
DELI-XUJUN,McKennie,C,21,20,20,0,0.9524,1.0,124.5,141.5,141.5,0.0,7.08,,10.5,5.0
DELI-XUJUN,Provedel,P,25,24,23,1,0.92,0.9713,150.0,139.5,135.5,4.0,5.89,4.0,8.0,3.0
DELI-XUJUN,Scalvini,D,36,22,20,2,0.5556,0.8877,134.5,142.5,126.5,16.0,6.33,8.0,10.0,5.0
DELI-XUJUN,Pisilli,C,21,19,16,3,0.7619,0.8145,116.5,124.0,101.0,23.0,6.31,7.67,12.0,4.5
DELI-XUJUN,Locatelli,C,15,14,14,0,0.9333,1.0,88.0,86.0,86.0,0.0,6.14,,7.0,5.5
DELI-XUJUN,De Ketelaere,A,15,13,13,0,0.8667,1.0,78.0,85.0,85.0,0.0,6.54,,14.0,5.0
DELI-XUJUN,Borrelli,A,21,11,10,1,0.4762,0.9225,65.0,71.0,65.5,5.5,6.55,5.5,10.0,4.5
DELI-XUJUN,Fullkrug,A,15,13,11,2,0.7333,0.838,73.0,71.0,59.5,11.5,5.41,5.75,6.0,2.5
DELI-XUJUN,Kalulu,D,36,35,9,26,0.25,0.2528,215.5,225.5,57.0,168.5,6.33,6.48,7.5,5.5
DELI-XUJUN,Audero,P,10,10,10,0,1.0,1.0,61.5,50.5,50.5,0.0,5.05,,8.0,1.0
DELI-XUJUN,Orsolini,C,21,17,8,9,0.381,0.467,100.0,106.0,49.5,56.5,6.19,6.28,10.0,5.0
DELI-XUJUN,Elmas,C,36,28,7,21,0.1944,0.2575,162.5,167.0,43.0,124.0,6.14,5.9,7.5,5.5
DELI-XUJUN,Rrahmani,D,36,19,7,12,0.1944,0.3333,118.5,123.0,41.0,82.0,5.86,6.83,6.5,5.0
DELI-XUJUN,El Shaarawy,C,36,16,6,10,0.1667,0.3861,98.5,101.0,39.0,62.0,6.5,6.2,8.0,5.5
DELI-XUJUN,Nicolussi Caviglia,C,36,23,6,17,0.1667,0.2419,135.5,138.5,33.5,105.0,5.58,6.18,7.0,4.5
DELI-XUJUN,Dzeko,A,21,8,4,4,0.1905,0.4944,45.0,44.5,22.0,22.5,5.5,5.62,6.0,5.0
DELI-XUJUN,Pedro,A,15,8,2,6,0.1333,0.2766,47.0,47.0,13.0,34.0,6.5,5.67,7.0,6.0
DELI-XUJUN,Sulemana K.,A,14,7,2,5,0.1429,0.2805,41.5,41.0,11.5,29.5,5.75,5.9,6.0,5.5
DELI-XUJUN,Semper,P,36,23,1,22,0.0278,0.0725,138.5,103.5,7.5,96.0,7.5,4.36,7.5,7.5
DELI-XUJUN,Joao Mario,D,36,12,1,11,0.0278,0.0966,69.0,72.5,7.0,65.5,7.0,5.95,7.0,7.0
DELI-XUJUN,Stulic,A,21,14,1,13,0.0476,0.0667,82.0,90.0,6.0,84.0,6.0,6.46,6.0,6.0
DELI-XUJUN,Sohm,C,15,10,1,9,0.0667,0.0901,55.0,55.5,5.0,50.5,5.0,5.61,5.0,5.0
