team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
AVIOD RELEGATION FOOTBALL CLUB,P,4,36,40,196.0,5.44,212.5,0.4798
AVIOD RELEGATION FOOTBALL CLUB,D,10,144,68,868.0,6.03,420.5,0.6737
AVIOD RELEGATION FOOTBALL CLUB,C,12,116,89,727.5,6.27,538.5,0.5746
AVIOD RELEGATION FOOTBALL CLUB,A,8,99,57,694.5,7.02,354.0,0.6624
BATIGOAL,P,6,36,35,201.0,5.58,181.0,0.5262
BATIGOAL,D,16,127,48,779.0,6.13,270.5,0.7423
BATIGOAL,C,18,135,65,865.5,6.41,401.5,0.6831
BATIGOAL,A,13,95,47,660.0,6.95,311.0,0.6797
DELI-XUJUN,P,4,34,27,193.5,5.69,118.5,0.6202
DELI-XUJUN,D,8,144,60,915.5,6.36,391.0,0.7007
DELI-XUJUN,C,11,144,72,926.0,6.43,439.5,0.6781
DELI-XUJUN,A,12,70,55,442.0,6.31,325.5,0.5759
DTE,P,3,36,0,214.5,5.96,0.0,1.0
DTE,D,13,127,83,778.5,6.13,501.0,0.6084
DTE,C,14,126,74,853.5,6.77,466.0,0.6468
DTE,A,10,105,61,744.0,7.09,365.5,0.6706
OWEN,P,3,36,0,209.0,5.81,0.0,1.0
OWEN,D,10,143,76,883.0,6.17,466.5,0.6543
OWEN,C,13,119,93,785.5,6.6,581.5,0.5746
OWEN,A,10,96,79,623.0,6.49,551.0,0.5307
ROMA SHENHUA SEMPRE,P,3,36,53,210.0,5.83,268.5,0.4389
ROMA SHENHUA SEMPRE,D,12,127,93,743.5,5.85,545.5,0.5768
ROMA SHENHUA SEMPRE,C,9,148,55,966.0,6.53,333.0,0.7436
ROMA SHENHUA SEMPRE,A,8,83,44,571.5,6.89,289.5,0.6638
ROMAN EMPIRE,P,3,36,50,193.0,5.36,278.0,0.4098
ROMAN EMPIRE,D,13,141,47,866.5,6.15,276.5,0.7581
ROMAN EMPIRE,C,10,152,35,1016.5,6.69,218.0,0.8234
ROMAN EMPIRE,A,11,52,30,350.5,6.74,171.5,0.6715
SOVEREIGN83,P,4,36,0,210.5,5.85,0.0,1.0
SOVEREIGN83,D,12,140,57,849.0,6.06,336.5,0.7162
SOVEREIGN83,C,14,125,73,788.5,6.31,452.5,0.6354
SOVEREIGN83,A,10,93,57,644.0,6.92,349.0,0.6485
TEAM PC,P,4,35,8,181.0,5.17,36.0,0.8341
TEAM PC,D,10,143,82,929.5,6.5,508.5,0.6464
TEAM PC,C,10,110,84,727.5,6.61,524.0,0.5813
TEAM PC,A,8,106,59,711.5,6.71,355.5,0.6668
THE GREAT BINGO,P,7,36,6,183.0,5.08,41.0,0.817
THE GREAT BINGO,D,15,129,38,759.5,5.89,212.0,0.7818
THE GREAT BINGO,C,14,132,48,844.5,6.4,310.0,0.7315
THE GREAT BINGO,A,10,94,60,682.0,7.26,389.0,0.6368
