team,n_players,total_spent,total_active_fv,total_fv,squad_value_delta,squad_fvm_scaled,credits_residui,budget,roi_active,roi_total,spend_P,spend_D,spend_C,spend_A,points,rank
DTE,25,611.0,2095.0,2915.0,32.0,637.0,5.0,500,3.4288052373158755,4.770867430441898,32.0,84.0,249.0,246.0,61,1
ROMA SHENHUA SEMPRE,25,426.0,2253.5,3510.5,60.0,499.0,26.0,500,5.289906103286385,8.240610328638498,25.0,106.0,176.0,119.0,55,2
AVIOD RELEGATION FOOTBALL CLUB,25,461.0,2349.5,3562.0,44.0,381.0,11.0,500,5.096529284164859,7.726681127982647,50.0,57.0,96.0,258.0,52,3
TEAM PC,25,430.0,2378.5,3619.5,57.0,591.5,4.0,500,5.53139534883721,8.417441860465116,20.0,107.0,181.0,122.0,50,4
ROMAN EMPIRE,25,517.0,2038.5,2705.5,14.0,413.5,57.0,500,3.9429400386847195,5.233075435203094,47.0,79.0,209.0,182.0,49,5
THE GREAT BINGO,25,429.0,1809.0,2445.5,30.0,450.0,26.0,500,4.216783216783217,5.700466200466201,44.0,117.0,116.0,152.0,48,6
SOVEREIGN83,25,521.0,2035.5,2785.0,27.0,455.5,11.0,500,3.9069097888675626,5.345489443378119,45.0,119.0,106.0,251.0,45,7
BATIGOAL,25,475.0,1601.0,2282.5,56.0,524.0,4.0,500,3.3705263157894736,4.8052631578947365,40.0,87.0,154.0,194.0,45,8
OWEN,25,453.0,2160.5,3441.5,73.0,506.5,0.0,500,4.769315673289183,7.597130242825607,57.0,90.0,156.0,150.0,44,9
DELI-XUJUN,25,411.0,2127.0,3175.5,46.0,419.5,29.0,500,5.175182481751825,7.726277372262774,4.0,184.0,154.0,69.0,42,10
