team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
DTE,36,18,7,11,61,68,52,16,2650.0,73.61,91.0,21,ROMAN EMPIRE,54.5,26,OWEN,71.29,2.32,18,23.5,168.5,4.68,11.5,17,1
ROMA SHENHUA SEMPRE,36,15,10,11,55,48,43,5,2534.5,70.4,81.5,15,TEAM PC,52.5,6,TEAM PC,70.4,0.0,18,7.5,178.5,4.96,11.5,6,0
AVIOD RELEGATION FOOTBALL CLUB,36,14,10,12,52,49,39,10,2548.5,70.79,88.0,26,ROMAN EMPIRE,60.5,33,SOVEREIGN83,69.56,1.24,18,26.5,206.0,5.72,13.0,14,0
TEAM PC,36,13,11,12,50,59,53,6,2627.0,72.97,94.0,25,SOVEREIGN83,63.0,10,AVIOD RELEGATION FOOTBALL CLUB,71.12,1.85,18,41.5,194.0,5.39,13.0,28,0
ROMAN EMPIRE,36,13,10,13,49,42,49,-7,2492.5,69.24,80.0,2,DELI-XUJUN,54.5,35,AVIOD RELEGATION FOOTBALL CLUB,70.61,-1.38,18,30.0,180.0,5.0,15.5,35,1
THE GREAT BINGO,36,13,9,14,48,49,54,-5,2518.5,69.96,82.0,33,DTE,54.5,7,ROMA SHENHUA SEMPRE,71.33,-1.38,18,13.5,176.0,4.89,14.0,36,2
SOVEREIGN83,36,12,9,15,45,49,53,-4,2557.0,71.03,82.5,15,AVIOD RELEGATION FOOTBALL CLUB,58.0,5,ROMAN EMPIRE,70.9,0.12,18,29.0,159.0,4.42,12.5,20,0
BATIGOAL,36,12,9,15,45,51,57,-6,2560.0,71.11,84.5,27,THE GREAT BINGO,60.5,36,THE GREAT BINGO,71.93,-0.82,18,18.5,178.5,4.96,12.5,25,0
OWEN,36,11,11,14,44,52,60,-8,2566.5,71.29,85.0,34,ROMAN EMPIRE,60.5,1,ROMA SHENHUA SEMPRE,72.6,-1.31,18,30.0,265.0,7.36,22.5,28,0
DELI-XUJUN,36,10,12,14,42,48,55,-7,2551.0,70.86,84.5,1,BATIGOAL,59.0,27,SOVEREIGN83,71.51,-0.65,18,38.0,174.5,4.85,15.0,26,1
