team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
BOSS ROMAZDA,Sportiello,P,Atalanta,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,1,4.5,4.5,4.5,1.0,4.5,4.5
BOSS ROMAZDA,Rossi F.,P,Atalanta,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
BOSS ROMAZDA,Carnesecchi,P,Atalanta,7.0,18.0,14.0,4.0,80.0,40.0,33.0,31,188.0,210.0,6.06,0.8952,26.857142857142858,30.0
BOSS ROMAZDA,Juan Jesus,D,Napoli,2.0,4.0,3.0,1.0,10.0,5.0,3.0,3,16.5,39.0,5.5,0.4231,8.25,19.5
BOSS ROMAZDA,Kolasinac,D,Atalanta,2.0,7.0,7.0,0.0,12.0,6.0,4.0,8,48.0,70.5,6.0,0.6809,24.0,35.25
BOSS ROMAZDA,Baschirotto,D,Cremonese,4.0,9.0,8.0,1.0,13.0,6.5,2.5,14,83.0,161.0,5.93,0.5155,20.75,40.25
BOSS ROMAZDA,Carlos Augusto,D,Inter,5.0,10.0,10.0,0.0,15.0,7.5,2.5,23,143.0,166.5,6.22,0.8589,28.6,33.3
BOSS ROMAZDA,Hien,D,Atalanta,3.0,6.0,11.0,-5.0,10.0,5.0,2.0,2,12.5,47.0,6.25,0.266,4.166666666666667,15.666666666666666
BOSS ROMAZDA,Bisseck,D,Inter,4.0,15.0,9.0,6.0,41.0,20.5,16.5,21,139.0,146.0,6.62,0.9521,34.75,36.5
BOSS ROMAZDA,Delprato,D,Parma,4.0,10.0,8.0,2.0,22.0,11.0,7.0,25,154.5,200.0,6.18,0.7725,38.625,50.0
BOSS ROMAZDA,Heggem,D,Bologna,5.0,4.0,4.0,0.0,12.0,6.0,1.0,7,41.0,88.5,5.86,0.4633,8.2,17.7
BOSS ROMAZDA,Pulisic,C,Milan,62.0,24.0,28.0,-4.0,100.0,50.0,-12.0,25,177.0,177.0,7.08,1.0,2.8548387096774195,2.8548387096774195
BOSS ROMAZDA,Fagioli,C,Fiorentina,4.0,11.0,8.0,3.0,35.0,17.5,13.5,13,87.0,87.0,6.69,1.0,21.75,21.75
BOSS ROMAZDA,Brescianini,C,Fiorentina,5.0,10.0,8.0,2.0,15.0,7.5,2.5,4,23.0,59.5,5.75,0.3866,4.6,11.9
BOSS ROMAZDA,Tramoni M.,C,Pisa,6.0,6.0,12.0,-6.0,10.0,5.0,-1.0,7,40.0,108.0,5.71,0.3704,6.666666666666667,18.0
BOSS ROMAZDA,Thorstvedt,C,Sassuolo,3.0,15.0,8.0,7.0,40.0,20.0,17.0,21,138.0,152.5,6.57,0.9049,46.0,50.833333333333336
BOSS ROMAZDA,Casadei,C,Torino,6.0,13.0,12.0,1.0,20.0,10.0,4.0,12,81.0,191.5,6.75,0.423,13.5,31.916666666666668
BOSS ROMAZDA,Rowe,C,Bologna,5.0,15.0,14.0,1.0,49.0,24.5,19.5,21,140.5,146.5,6.69,0.959,28.1,29.3
BOSS ROMAZDA,Ondrejka,C,Parma,2.0,3.0,13.0,-10.0,9.0,4.5,2.5,0,0.0,23.0,,0.0,0.0,11.5
BOSS ROMAZDA,Pinamonti,A,Sassuolo,14.0,16.0,16.0,0.0,55.0,27.5,13.5,6,44.5,87.5,7.42,0.5086,3.1785714285714284,6.25
BOSS ROMAZDA,Simeone,A,Torino,4.0,22.0,8.0,14.0,99.0,49.5,45.5,18,136.0,212.5,7.56,0.64,34.0,53.125
BOSS ROMAZDA,Martinez L.,A,Inter,61.0,33.0,34.0,-1.0,315.0,157.5,96.5,28,234.0,234.0,8.36,1.0,3.8360655737704916,3.8360655737704916
BOSS ROMAZDA,David,A,Juventus,69.0,13.0,27.0,-14.0,28.0,14.0,-55.0,12,83.5,176.0,6.96,0.4744,1.210144927536232,2.550724637681159
BOSS ROMAZDA,Hojlund,A,Napoli,63.0,27.0,24.0,3.0,213.0,106.5,43.5,32,233.5,243.5,7.3,0.9589,3.7063492063492065,3.865079365079365
BOSS ROMAZDA,Kulenovic,A,Torino,2.0,4.0,5.0,-1.0,9.0,4.5,2.5,1,7.0,40.5,7.0,0.1728,3.5,20.25
X-17,Provedel,P,Lazio,16.0,11.0,12.0,-1.0,15.0,7.5,-8.5,25,144.5,144.5,5.78,1.0,9.03125,9.03125
