team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
BALZARETTI42,De Ketelaere,A,36,29,29,0,0.8056,1.0,181.0,196.0,196.0,0.0,6.76,,14.0,5.0
BALZARETTI42,Kean,A,36,24,24,0,0.6667,1.0,143.0,167.0,167.0,0.0,6.96,,12.5,4.5
BALZARETTI42,De Gea,P,36,35,31,4,0.8611,0.8907,219.0,183.0,163.0,20.0,5.26,5.0,9.0,1.5
BALZARETTI42,Gudmundsson A.,C,36,30,26,4,0.7222,0.8511,176.5,188.0,160.0,28.0,6.15,7.0,10.5,4.0
BALZARETTI42,Dodò,D,35,33,27,6,0.7714,0.803,197.5,198.0,159.0,39.0,5.89,6.5,9.5,4.5
BALZARETTI42,Perrone,C,27,26,24,2,0.8889,0.9324,163.0,170.0,158.5,11.5,6.6,5.75,11.0,5.0
BALZARETTI42,De Roon,C,35,32,26,6,0.7429,0.8172,191.0,191.5,156.5,35.0,6.02,5.83,9.0,4.5
BALZARETTI42,Valle,D,36,24,21,3,0.5833,0.8829,145.5,149.5,132.0,17.5,6.29,5.83,7.5,5.5
BALZARETTI42,Ramon,D,35,30,21,9,0.6,0.6712,184.5,182.5,122.5,60.0,5.83,6.67,7.0,4.5
BALZARETTI42,Cancellieri,A,36,26,14,12,0.3889,0.5636,154.5,165.0,93.0,72.0,6.64,6.0,13.0,5.0
BALZARETTI42,Caqueret,C,21,17,14,3,0.6667,0.8378,104.0,111.0,93.0,18.0,6.64,6.0,10.0,5.0
BALZARETTI42,Diao,A,36,16,10,6,0.2778,0.6422,96.0,102.0,65.5,36.5,6.55,6.08,12.5,5.0
BALZARETTI42,Canestrelli,D,15,15,10,5,0.6667,0.6746,85.0,84.5,57.0,27.5,5.7,5.5,6.0,5.0
BALZARETTI42,Gosens,D,21,14,9,5,0.4286,0.6374,82.5,85.5,54.5,31.0,6.06,6.2,8.5,4.5
BALZARETTI42,Ellertsson,C,21,19,9,10,0.4286,0.4518,111.5,114.0,51.5,62.5,5.72,6.25,6.5,5.5
BALZARETTI42,Djimsiti,D,15,13,8,5,0.5333,0.625,77.5,76.0,47.5,28.5,5.94,5.7,6.0,5.5
BALZARETTI42,De Winter,D,15,10,8,2,0.5333,0.8036,55.0,56.0,45.0,11.0,5.62,5.5,7.5,4.5
BALZARETTI42,Ranieri L.,D,15,13,8,5,0.5333,0.5811,74.5,74.0,43.0,31.0,5.38,6.2,6.0,4.5
BALZARETTI42,Nicolussi Caviglia,C,15,8,7,1,0.4667,0.9,45.0,45.0,40.5,4.5,5.79,4.5,7.0,5.5
BALZARETTI42,Cataldi,C,21,12,6,6,0.2857,0.513,72.5,77.0,39.5,37.5,6.58,6.25,10.0,5.0
BALZARETTI42,Basic,C,15,8,6,2,0.4,0.7157,48.0,51.0,36.5,14.5,6.08,7.25,7.5,5.5
