team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
BALZARETTI42,P,4,36,14,185.0,5.14,68.5,0.7298
BALZARETTI42,D,17,133,68,780.0,5.86,405.5,0.658
BALZARETTI42,C,15,141,70,863.0,6.12,418.5,0.6734
BALZARETTI42,A,8,84,32,562.5,6.7,193.5,0.744
BOSS ROMAZDA,P,5,36,30,209.5,5.82,146.5,0.5885
BOSS ROMAZDA,D,13,124,66,768.0,6.19,378.0,0.6702
BOSS ROMAZDA,C,14,127,55,829.5,6.53,333.5,0.7132
BOSS ROMAZDA,A,8,108,59,804.5,7.45,382.0,0.678
MARIO GO,P,6,36,13,198.0,5.5,75.0,0.7253
MARIO GO,D,11,130,69,808.0,6.22,414.5,0.6609
MARIO GO,C,11,154,82,1007.0,6.54,526.0,0.6569
MARIO GO,A,10,76,70,511.5,6.73,443.5,0.5356
MIZI-MAIGO,P,4,36,29,203.0,5.64,158.0,0.5623
MIZI-MAIGO,D,12,133,44,884.5,6.65,261.5,0.7718
MIZI-MAIGO,C,8,145,57,918.0,6.33,377.0,0.7089
MIZI-MAIGO,A,13,80,40,546.0,6.83,246.0,0.6894
SANSHIMI,P,4,36,29,205.0,5.69,155.0,0.5694
SANSHIMI,D,12,122,59,768.5,6.3,345.0,0.6902
SANSHIMI,C,9,134,47,840.0,6.27,294.0,0.7407
SANSHIMI,A,8,96,54,676.5,7.05,363.0,0.6508
TEAM BRAUNA,P,4,36,15,209.0,5.81,74.0,0.7385
TEAM BRAUNA,D,18,135,66,818.5,6.06,403.0,0.6701
TEAM BRAUNA,C,21,116,71,761.0,6.56,453.0,0.6269
TEAM BRAUNA,A,14,103,39,726.5,7.05,229.5,0.7599
TEAM CHENFENGZI,P,4,35,21,184.0,5.26,96.5,0.656
TEAM CHENFENGZI,D,9,124,61,779.5,6.29,374.5,0.6755
TEAM CHENFENGZI,C,8,148,67,967.5,6.54,423.5,0.6955
TEAM CHENFENGZI,A,7,82,52,541.0,6.6,328.0,0.6226
TEAM SITH,P,4,36,0,210.5,5.85,0.0,1.0
TEAM SITH,D,11,144,82,860.5,5.98,492.5,0.636
TEAM SITH,C,10,143,91,950.0,6.64,567.5,0.626
TEAM SITH,A,11,73,87,476.0,6.52,525.5,0.4753
X-17,P,4,36,0,203.0,5.64,0.0,1.0
X-17,D,15,127,75,755.0,5.94,437.5,0.6331
X-17,C,11,135,55,909.0,6.73,340.5,0.7275
X-17,A,8,94,50,649.0,6.9,326.0,0.6656
XIAO SHI,P,4,36,22,196.0,5.44,105.0,0.6512
XIAO SHI,D,9,153,83,965.5,6.31,490.5,0.6631
XIAO SHI,C,14,130,47,829.5,6.38,274.5,0.7514
XIAO SHI,A,9,76,57,497.5,6.55,365.0,0.5768
