team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
BALZARETTI42,1,433,70.0,343,74.0,4.0,False
BALZARETTI42,2,433,53.5,541,64.0,10.5,False
BALZARETTI42,3,433,63.0,433,71.5,8.5,True
BALZARETTI42,4,442,68.5,433,72.5,4.0,False
BALZARETTI42,5,433,64.5,532,67.0,2.5,False
BALZARETTI42,6,442,67.5,343,68.5,1.0,False
BALZARETTI42,7,442,64.0,433,65.5,1.5,False
BALZARETTI42,8,442,57.5,433,62.0,4.5,False
BALZARETTI42,9,433,68.5,343,73.0,4.5,False
BALZARETTI42,10,442,70.5,532,76.0,5.5,False
BALZARETTI42,11,442,66.5,343,68.5,2.0,False
BALZARETTI42,12,442,55.0,343,59.0,4.0,False
BALZARETTI42,13,442,58.5,433,61.0,2.5,False
BALZARETTI42,14,343,72.5,343,76.5,4.0,True
BALZARETTI42,15,343,62.5,442,67.5,5.0,False
BALZARETTI42,16,343,72.5,352,73.5,1.0,False
BALZARETTI42,17,343,73.5,352,86.0,12.5,False
BALZARETTI42,18,343,70.0,343,76.0,6.0,True
BALZARETTI42,19,352,67.5,451,72.0,4.5,False
BALZARETTI42,20,442,76.0,451,77.0,1.0,False
BALZARETTI42,21,343,68.5,343,68.5,0.0,True
BALZARETTI42,22,433,56.0,352,70.5,14.5,False
BALZARETTI42,23,442,63.0,541,68.0,5.0,False
BALZARETTI42,24,541,75.5,451,77.5,2.0,False
BALZARETTI42,25,451,65.0,442,76.0,11.0,False
BALZARETTI42,26,442,66.5,352,67.0,0.5,False
BALZARETTI42,27,451,71.0,442,74.0,3.0,False
BALZARETTI42,28,433,75.0,343,76.5,1.5,False
BALZARETTI42,29,433,68.0,433,72.0,4.0,True
BALZARETTI42,30,442,62.5,343,67.0,4.5,False
BALZARETTI42,31,343,68.0,352,75.5,7.5,False
BALZARETTI42,32,343,71.0,433,73.0,2.0,False
BALZARETTI42,33,442,61.0,442,62.5,1.5,True
BALZARETTI42,34,352,63.5,343,64.0,0.5,False
BALZARETTI42,35,343,66.5,352,67.5,1.0,False
BALZARETTI42,36,352,67.5,352,71.0,3.5,True
