team,n_players,total_spent,total_active_fv,total_fv,squad_value_delta,squad_fvm_scaled,credits_residui,budget,roi_active,roi_total,spend_P,spend_D,spend_C,spend_A,points,rank
BOSS ROMAZDA,25,344.0,2255.0,3072.0,4.0,607.0,167.0,500,6.555232558139535,8.930232558139535,9.0,29.0,93.0,213.0,69,1
X-17,25,523.0,2410.5,3194.5,10.0,554.0,1.0,500,4.608986615678776,6.1080305927342256,18.0,82.0,177.0,246.0,58,2
MIZI-MAIGO,25,582.0,2265.5,3109.5,77.0,493.0,5.0,500,3.892611683848797,5.342783505154639,123.0,170.0,188.0,101.0,55,3
TEAM BRAUNA,25,483.0,1878.0,2515.5,106.0,610.5,17.0,500,3.888198757763975,5.208074534161491,45.0,83.0,129.0,226.0,54,4
XIAO SHI,25,452.0,2248.0,3285.0,37.0,311.0,2.0,500,4.9734513274336285,7.267699115044247,43.0,73.0,140.0,196.0,50,5
TEAM SITH,25,459.0,2125.5,3178.5,32.0,522.5,11.0,500,4.630718954248366,6.92483660130719,54.0,95.0,215.0,95.0,48,6
MARIO GO,25,373.0,2205.5,3327.5,39.0,511.0,0.0,500,5.912868632707775,8.920911528150134,37.0,90.0,206.0,40.0,48,7
BALZARETTI42,25,414.0,1945.0,2598.0,-21.0,256.5,4.0,500,4.6980676328502415,6.27536231884058,70.0,52.0,96.0,196.0,37,8
SANSHIMI,25,456.0,2234.0,3028.5,60.0,573.0,0.0,500,4.899122807017544,6.641447368421052,21.0,56.0,156.0,223.0,36,9
TEAM CHENFENGZI,25,459.0,2448.5,3606.0,71.0,438.5,22.0,500,5.33442265795207,7.856209150326797,56.0,151.0,163.0,89.0,32,10
