team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
BOSS ROMAZDA,36,19,12,5,69,68,43,25,2662.5,73.96,92.0,12,SANSHIMI,59.5,8,X-17,69.74,4.22,18,15.0,172.0,4.78,14.0,1,1
X-17,36,16,10,10,58,53,42,11,2562.0,71.17,88.5,1,MIZI-MAIGO,56.5,21,XIAO SHI,69.08,2.08,18,10.0,160.0,4.44,11.5,19,1
MIZI-MAIGO,36,14,13,9,55,64,53,11,2630.5,73.07,91.5,20,XIAO SHI,58.0,19,X-17,70.85,2.22,18,43.0,156.5,4.35,12.5,27,2
TEAM BRAUNA,36,15,9,12,54,55,48,7,2574.5,71.51,86.0,22,SANSHIMI,59.0,9,X-17,70.15,1.36,18,23.5,196.5,5.46,16.0,10,1
XIAO SHI,36,14,8,14,50,50,53,-3,2557.0,71.03,81.5,21,X-17,60.5,27,BOSS ROMAZDA,71.4,-0.38,18,32.5,162.5,4.51,18.5,15,0
TEAM SITH,36,11,15,10,48,53,54,-1,2561.5,71.15,90.5,18,MARIO GO,60.5,29,TEAM BRAUNA,71.86,-0.71,18,28.5,179.5,4.99,13.5,30,0
MARIO GO,36,13,9,14,48,54,58,-4,2580.5,71.68,84.0,30,TEAM CHENFENGZI,61.5,6,MIZI-MAIGO,72.28,-0.6,18,20.0,209.0,5.81,15.0,13,0
BALZARETTI42,36,9,10,17,37,34,53,-19,2440.5,67.79,77.0,20,BOSS ROMAZDA,53.5,2,BOSS ROMAZDA,71.94,-4.15,18,14.0,151.0,4.19,14.5,22,1
SANSHIMI,36,8,12,16,36,46,57,-11,2541.5,70.6,83.0,32,MIZI-MAIGO,58.0,14,MIZI-MAIGO,72.53,-1.93,18,15.5,216.5,6.01,13.5,20,0
TEAM CHENFENGZI,36,8,8,20,32,44,60,-16,2526.0,70.17,89.0,9,MIZI-MAIGO,58.5,16,TEAM BRAUNA,72.29,-2.12,18,18.0,199.5,5.54,13.0,10,0
