team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
OLD LIN,Lezzerini,P,Fiorentina,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
OLD LIN,De Gea,P,Fiorentina,41.0,12.0,14.0,-2.0,28.0,14.0,-27.0,35,182.0,182.0,5.2,1.0,4.439024390243903,4.439024390243903
OLD LIN,Christensen O.,P,Fiorentina,1.0,2.0,1.0,1.0,1.0,0.5,-0.5,1,6.5,6.5,6.5,1.0,6.5,6.5
OLD LIN,Zappacosta,D,Atalanta,6.0,12.0,13.0,-1.0,18.0,9.0,3.0,29,186.0,217.5,6.41,0.8552,31.0,36.25
OLD LIN,Djimsiti,D,Atalanta,3.0,7.0,8.0,-1.0,13.0,6.5,3.5,11,64.5,76.0,5.86,0.8487,21.5,25.333333333333332
OLD LIN,Zappa,D,Cagliari,3.0,6.0,6.0,0.0,8.0,4.0,1.0,10,61.5,138.0,6.15,0.4457,20.5,46.0
OLD LIN,Ismajli,D,Torino,3.0,6.0,8.0,-2.0,14.0,7.0,4.0,16,94.0,141.5,5.88,0.6643,31.333333333333332,47.166666666666664
OLD LIN,Baschirotto,D,Cremonese,17.0,9.0,8.0,1.0,13.0,6.5,-10.5,27,162.0,162.0,6.0,1.0,9.529411764705882,9.529411764705882
OLD LIN,Doig,D,Sassuolo,3.0,4.0,6.0,-2.0,10.0,5.0,2.0,11,64.5,145.0,5.86,0.4448,21.5,48.333333333333336
OLD LIN,Ghilardi,D,Roma,2.0,8.0,4.0,4.0,11.0,5.5,3.5,6,36.0,83.5,6.0,0.4311,18.0,41.75
OLD LIN,Circati,D,Parma,2.0,8.0,5.0,3.0,13.0,6.5,4.5,19,112.0,172.5,5.89,0.6493,56.0,86.25
OLD LIN,Gagliardini,C,Verona,4.0,7.0,2.0,5.0,12.0,6.0,2.0,1,6.0,62.0,6.0,0.0968,1.5,15.5
OLD LIN,Orsolini,C,Bologna,77.0,19.0,30.0,-11.0,150.0,75.0,-2.0,32,214.0,214.0,6.69,1.0,2.779220779220779,2.779220779220779
OLD LIN,De Bruyne,C,Napoli,55.0,21.0,23.0,-2.0,92.0,46.0,-9.0,15,105.0,105.0,7.0,1.0,1.9090909090909092,1.9090909090909092
OLD LIN,Strefezza,C,Parma,7.0,13.0,10.0,3.0,50.0,25.0,18.0,12,82.5,93.5,6.88,0.8824,11.785714285714286,13.357142857142858
OLD LIN,Sohm,C,Bologna,5.0,4.0,12.0,-8.0,12.0,6.0,1.0,7,39.5,124.0,5.64,0.3185,7.9,24.8
OLD LIN,Casadei,C,Torino,4.0,13.0,12.0,1.0,20.0,10.0,6.0,6,44.0,87.5,7.33,0.5029,11.0,21.875
OLD LIN,Prati,C,Torino,2.0,7.0,3.0,4.0,11.0,5.5,3.5,13,75.0,176.0,5.77,0.4261,37.5,88.0
OLD LIN,Pierotti,C,Lecce,3.0,7.0,10.0,-3.0,13.0,6.5,3.5,7,43.0,90.5,6.14,0.4751,14.333333333333334,30.166666666666668
OLD LIN,Bonazzoli,A,Cremonese,14.0,22.0,1.0,21.0,40.0,20.0,6.0,14,85.0,139.0,6.07,0.6115,6.071428571428571,9.928571428571429
OLD LIN,Berardi,A,Sassuolo,60.0,25.0,21.0,4.0,90.0,45.0,-15.0,24,173.5,173.5,7.23,1.0,2.8916666666666666,2.8916666666666666
OLD LIN,Martinez L.,A,Inter,117.0,33.0,34.0,-1.0,315.0,157.5,40.5,28,242.0,242.0,8.64,1.0,2.0683760683760686,2.0683760683760686
OLD LIN,De Ketelaere,A,Atalanta,49.0,16.0,22.0,-6.0,59.0,29.5,-19.5,27,183.5,195.0,6.8,0.941,3.7448979591836733,3.979591836734694
OLD LIN,Cheddira,A,Lecce,3.0,11.0,4.0,7.0,23.0,11.5,8.5,1,6.0,97.5,6.0,0.0615,2.0,32.5
OLD LIN,Dominguez B.,A,Bologna,4.0,3.0,9.0,-6.0,8.0,4.0,0.0,1,5.5,72.5,5.5,0.0759,1.375,18.125
GIALLOROSSI,Terracciano,P,Milan,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
GIALLOROSSI,Maignan,P,Milan,46.0,16.0,16.0,0.0,88.0,44.0,-2.0,34,190.5,201.5,5.6,0.9454,4.141304347826087,4.380434782608695
GIALLOROSSI,Torriani,P,Milan,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
GIALLOROSSI,Estupinan,D,Milan,19.0,2.0,11.0,-9.0,8.0,4.0,-15.0,4,21.0,68.0,5.25,0.3088,1.105263157894737,3.5789473684210527
GIALLOROSSI,Dumfries,D,Inter,6.0,12.0,20.0,-8.0,56.0,28.0,22.0,8,57.5,57.5,7.19,1.0,9.583333333333334,9.583333333333334
GIALLOROSSI,Vasquez,D,Genoa,6.0,11.0,9.0,2.0,26.0,13.0,7.0,19,120.5,208.5,6.34,0.5779,20.083333333333332,34.75
GIALLOROSSI,Valeri,D,Parma,19.0,11.0,10.0,1.0,22.0,11.0,-8.0,20,121.5,195.5,6.08,0.6215,6.394736842105263,10.289473684210526
GIALLOROSSI,Bartesaghi,D,Milan,10.0,10.0,3.0,7.0,15.0,7.5,-2.5,15,84.5,101.0,5.63,0.8366,8.45,10.1
GIALLOROSSI,Kelly L.,D,Juventus,7.0,11.0,7.0,4.0,27.0,13.5,6.5,14,84.5,200.5,6.04,0.4214,12.071428571428571,28.642857142857142
GIALLOROSSI,Marianucci,D,Torino,1.0,3.0,3.0,0.0,8.0,4.0,3.0,0,0.0,45.0,,0.0,0.0,45.0
GIALLOROSSI,Palestra,D,Cagliari,4.0,16.0,3.0,13.0,75.0,37.5,33.5,33,211.5,232.0,6.41,0.9116,52.875,58.0
GIALLOROSSI,Calhanoglu,C,Inter,31.0,24.0,23.0,1.0,190.0,95.0,64.0,20,155.0,161.0,7.75,0.9627,5.0,5.193548387096774
GIALLOROSSI,Fagioli,C,Fiorentina,4.0,11.0,8.0,3.0,35.0,17.5,13.5,5,30.5,87.0,6.1,0.3506,7.625,21.75
GIALLOROSSI,Maldini,C,Lazio,23.0,10.0,9.0,1.0,20.0,10.0,-13.0,14,92.5,104.0,6.61,0.8894,4.021739130434782,4.521739130434782
GIALLOROSSI,Da Cunha,C,Como,7.0,20.0,12.0,8.0,80.0,40.0,33.0,9,73.5,106.5,8.17,0.6901,10.5,15.214285714285714
GIALLOROSSI,Vlasic,C,Torino,16.0,17.0,15.0,2.0,100.0,50.0,34.0,30,201.0,233.5,6.7,0.8608,12.5625,14.59375
GIALLOROSSI,Zhegrova,C,Juventus,25.0,9.0,19.0,-10.0,12.0,6.0,-19.0,3,17.5,71.5,5.83,0.2448,0.7,2.86
GIALLOROSSI,Miretti,C,Juventus,5.0,7.0,5.0,2.0,12.0,6.0,1.0,4,30.5,70.0,7.62,0.4357,6.1,14.0
GIALLOROSSI,Conceicao,C,Juventus,41.0,18.0,18.0,0.0,65.0,32.5,-8.5,28,188.5,188.5,6.73,1.0,4.597560975609756,4.597560975609756
GIALLOROSSI,Pinamonti,A,Sassuolo,36.0,16.0,16.0,0.0,55.0,27.5,-8.5,24,165.5,217.0,6.9,0.7627,4.597222222222222,6.027777777777778
GIALLOROSSI,Lukaku,A,Napoli,19.0,15.0,31.0,-16.0,10.0,5.0,-14.0,1,10.5,10.5,10.5,1.0,0.5526315789473685,0.5526315789473685
GIALLOROSSI,Piccoli,A,Fiorentina,6.0,9.0,17.0,-8.0,15.0,7.5,1.5,4,33.0,60.5,8.25,0.5455,5.5,10.083333333333334
