team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
F-22,Modric,C,36,31,30,1,0.8333,0.9688,200.0,208.0,201.5,6.5,6.72,6.5,11.5,5.5
F-22,Pulisic,C,36,25,25,0,0.6944,1.0,153.0,181.0,181.0,0.0,7.24,,16.5,3.0
F-22,Vojvoda,D,36,25,24,1,0.6667,0.9587,149.5,157.5,151.0,6.5,6.29,6.5,11.0,5.0
F-22,Scamacca,A,36,20,19,1,0.5278,0.9636,123.0,151.0,145.5,5.5,7.66,5.5,14.5,5.0
F-22,Malen,A,15,15,15,0,1.0,1.0,103.0,143.5,143.5,0.0,9.57,,18.5,5.0
F-22,Butez,P,36,36,22,14,0.6111,0.6048,218.5,210.0,127.0,83.0,5.77,5.93,10.0,2.5
F-22,Zielinski,C,21,20,18,2,0.8571,0.9058,125.0,138.0,125.0,13.0,6.94,6.5,10.5,5.0
F-22,Norton-Cuffy,D,35,25,19,6,0.5429,0.7613,148.5,155.0,118.0,37.0,6.21,6.17,11.0,3.5
F-22,Ferguson E.,A,36,12,12,0,0.3333,1.0,72.5,84.5,84.5,0.0,7.04,,11.0,5.0
F-22,Bernardeschi,C,15,12,11,1,0.7333,0.9244,75.5,86.0,79.5,6.5,7.23,6.5,10.0,5.5
F-22,Vitinha O.,A,21,18,12,6,0.5714,0.6653,108.5,118.0,78.5,39.5,6.54,6.58,10.5,5.0
F-22,Kristensen T.,D,36,26,13,13,0.3611,0.4905,154.0,158.0,77.5,80.5,5.96,6.19,10.0,4.5
F-22,Elmas,C,21,16,12,4,0.5714,0.7143,95.5,101.5,72.5,29.0,6.04,7.25,7.5,5.0
F-22,Di Gregorio,P,36,28,13,15,0.3611,0.4448,170.0,158.5,70.5,88.0,5.42,5.87,7.5,2.5
F-22,Pierotti,C,21,21,12,9,0.5714,0.5768,121.0,120.5,69.5,51.0,5.79,5.67,6.5,5.0
F-22,Dovbyk,A,20,10,9,1,0.45,0.9247,61.0,73.0,67.5,5.5,7.5,5.5,11.0,5.0
F-22,Taylor K.,C,15,13,9,4,0.6,0.7225,80.0,86.5,62.5,24.0,6.94,6.0,14.5,5.0
F-22,Bernasconi,D,15,10,10,0,0.6667,1.0,60.0,61.0,61.0,0.0,6.1,,7.5,5.5
F-22,Stulic,A,21,20,11,9,0.5238,0.4979,114.0,120.5,60.0,60.5,5.45,6.72,6.0,5.0
F-22,Kamara H.,D,21,14,10,4,0.4762,0.7117,82.0,81.5,58.0,23.5,5.8,5.88,7.5,5.0
F-22,Marusic,D,15,12,9,3,0.6,0.7566,71.0,76.0,57.5,18.5,6.39,6.17,11.0,5.0
F-22,Dumfries,D,15,9,9,0,0.6,1.0,53.0,52.5,52.5,0.0,5.83,,6.0,5.0
