team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
F-22,P,4,36,31,202.5,5.62,181.0,0.528
F-22,D,15,117,88,706.5,6.04,522.0,0.5751
F-22,C,15,149,64,988.5,6.63,385.5,0.7194
F-22,A,11,89,26,648.0,7.28,162.0,0.8
GIALLOROSSI,P,5,36,20,196.5,5.46,98.5,0.6661
GIALLOROSSI,D,11,120,80,739.5,6.16,477.5,0.6076
GIALLOROSSI,C,11,132,45,921.5,6.98,282.0,0.7657
GIALLOROSSI,A,8,107,46,736.5,6.88,298.5,0.7116
LUCKY LUKE,P,4,35,26,177.0,5.06,126.5,0.5832
LUCKY LUKE,D,9,109,103,682.5,6.26,611.5,0.5274
LUCKY LUKE,C,10,156,65,990.0,6.35,413.5,0.7054
LUCKY LUKE,A,8,88,45,575.5,6.54,284.5,0.6692
NEVER IWOMAN,P,4,36,0,210.5,5.85,0.0,1.0
NEVER IWOMAN,D,11,142,57,888.5,6.26,352.5,0.716
NEVER IWOMAN,C,12,115,50,748.0,6.5,301.0,0.7131
NEVER IWOMAN,A,10,99,52,681.0,6.88,338.0,0.6683
NI99ER NO.1,P,3,36,0,211.5,5.88,0.0,1.0
NI99ER NO.1,D,10,138,66,868.5,6.29,391.0,0.6896
NI99ER NO.1,C,12,117,98,717.5,6.13,626.0,0.5341
NI99ER NO.1,A,9,103,57,710.5,6.9,391.5,0.6447
NO ONE,P,3,36,35,205.0,5.69,167.5,0.5503
NO ONE,D,10,143,65,880.5,6.16,381.0,0.698
NO ONE,C,9,133,88,869.5,6.54,564.0,0.6066
NO ONE,A,8,84,42,556.5,6.62,255.0,0.6858
OLD LIN,P,4,36,0,188.5,5.24,0.0,1.0
OLD LIN,D,11,135,82,815.5,6.04,477.0,0.6309
OLD LIN,C,13,122,77,782.0,6.41,449.5,0.635
OLD LIN,A,8,99,44,717.5,7.25,291.0,0.7115
ROMABOY,P,3,36,0,208.0,5.78,0.0,1.0
ROMABOY,D,9,144,68,950.0,6.6,425.5,0.6907
ROMABOY,C,12,141,62,956.5,6.78,369.0,0.7216
ROMABOY,A,10,73,52,509.5,6.98,316.0,0.6172
ROMAZDA,P,5,36,17,207.5,5.76,89.0,0.6998
ROMAZDA,D,15,122,54,756.5,6.2,308.0,0.7107
ROMAZDA,C,14,131,63,853.5,6.52,403.0,0.6793
ROMAZDA,A,11,106,57,744.5,7.02,348.0,0.6815
ROMOLO&ROMINA,P,3,36,36,200.5,5.57,181.5,0.5249
ROMOLO&ROMINA,D,12,137,62,853.0,6.23,362.0,0.7021
ROMOLO&ROMINA,C,11,130,99,854.0,6.57,607.5,0.5843
ROMOLO&ROMINA,A,8,90,82,636.0,7.07,544.5,0.5388
