team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
F-22,1,343,69.0,532,72.5,3.5,False
F-22,2,343,73.0,343,76.0,3.0,True
F-22,3,343,74.0,433,78.5,4.5,False
F-22,4,343,64.0,451,70.5,6.5,False
F-22,5,343,57.5,541,67.5,10.0,False
F-22,6,433,67.5,352,69.0,1.5,False
F-22,7,433,68.0,352,73.5,5.5,False
F-22,8,433,64.0,352,69.5,5.5,False
F-22,9,343,62.0,343,62.5,0.5,True
F-22,10,343,81.5,343,85.0,3.5,True
F-22,11,343,65.0,343,66.0,1.0,True
F-22,12,343,82.5,343,85.0,2.5,True
F-22,13,343,73.0,343,81.5,8.5,True
F-22,14,343,58.5,352,65.5,7.0,False
F-22,15,343,79.5,352,90.0,10.5,False
F-22,16,343,62.5,433,72.0,9.5,False
F-22,17,343,80.0,343,82.0,2.0,True
F-22,18,343,69.5,343,75.5,6.0,True
F-22,19,343,61.0,352,67.0,6.0,False
F-22,20,343,74.5,433,77.0,2.5,False
F-22,21,343,68.0,352,74.5,6.5,False
F-22,22,343,67.0,352,76.5,9.5,False
F-22,23,442,82.5,343,86.0,3.5,False
F-22,24,343,84.5,433,85.0,0.5,False
F-22,25,352,65.5,343,69.0,3.5,False
F-22,26,352,79.0,352,97.5,18.5,True
F-22,27,352,71.5,343,73.5,2.0,False
F-22,28,352,75.0,451,78.0,3.0,False
F-22,29,451,69.5,451,72.5,3.0,True
F-22,30,352,76.0,343,79.5,3.5,False
F-22,31,352,61.0,451,75.5,14.5,False
F-22,32,352,78.5,343,79.0,0.5,False
F-22,33,433,72.0,532,76.5,4.5,False
F-22,34,442,76.5,442,77.5,1.0,True
F-22,35,442,62.0,352,69.0,7.0,False
F-22,36,451,70.5,541,71.5,1.0,False
GIALLOROSSI,1,343,73.5,343,82.5,9.0,True
GIALLOROSSI,2,343,70.5,433,81.5,11.0,False
GIALLOROSSI,3,433,70.5,343,74.0,3.5,False
GIALLOROSSI,4,343,72.0,343,73.5,1.5,True
GIALLOROSSI,5,343,64.0,343,68.0,4.0,True
GIALLOROSSI,6,343,72.0,343,76.5,4.5,True
GIALLOROSSI,7,433,74.5,433,84.5,10.0,True
GIALLOROSSI,8,343,74.5,343,77.0,2.5,True
GIALLOROSSI,9,343,63.0,343,69.0,6.0,True
GIALLOROSSI,10,343,70.0,343,88.5,18.5,True
GIALLOROSSI,11,343,79.0,442,84.5,5.5,False
GIALLOROSSI,12,343,73.5,343,78.0,4.5,True
GIALLOROSSI,13,433,74.0,433,78.0,4.0,True
GIALLOROSSI,14,343,77.5,541,80.0,2.5,False
GIALLOROSSI,15,343,77.0,343,77.0,0.0,True
GIALLOROSSI,16,343,70.5,352,73.0,2.5,False
GIALLOROSSI,17,433,68.0,433,69.0,1.0,True
GIALLOROSSI,18,433,72.0,343,74.0,2.0,False
GIALLOROSSI,19,433,64.5,532,65.0,0.5,False
GIALLOROSSI,20,433,77.5,433,78.5,1.0,True
GIALLOROSSI,21,433,73.0,433,73.5,0.5,True
GIALLOROSSI,22,433,63.5,433,63.5,0.0,True
GIALLOROSSI,23,343,78.0,442,85.0,7.0,False
GIALLOROSSI,24,343,70.5,343,74.5,4.0,True
GIALLOROSSI,25,343,80.5,343,85.0,4.5,True
GIALLOROSSI,26,343,80.0,442,92.0,12.0,False
GIALLOROSSI,27,433,69.0,352,75.5,6.5,False
GIALLOROSSI,28,343,74.0,343,79.5,5.5,True
GIALLOROSSI,29,343,80.5,343,86.5,6.0,True
GIALLOROSSI,30,343,77.5,343,82.5,5.0,True
GIALLOROSSI,31,343,67.0,541,69.5,2.5,False
GIALLOROSSI,32,343,76.0,451,78.5,2.5,False
GIALLOROSSI,33,433,56.0,541,66.0,10.0,False
GIALLOROSSI,34,343,61.0,343,63.5,2.5,True
GIALLOROSSI,35,433,73.0,433,79.0,6.0,True
GIALLOROSSI,36,343,76.5,343,77.5,1.0,True
LUCKY LUKE,1,343,69.5,433,74.0,4.5,False
LUCKY LUKE,2,343,70.5,343,72.5,2.0,True
LUCKY LUKE,3,343,66.5,442,71.0,4.5,False
LUCKY LUKE,4,343,71.5,343,83.5,12.0,True
LUCKY LUKE,5,343,62.5,352,67.5,5.0,False
LUCKY LUKE,6,343,63.5,343,71.0,7.5,True
LUCKY LUKE,7,343,80.5,433,81.5,1.0,False
LUCKY LUKE,8,343,62.5,433,67.5,5.0,False
LUCKY LUKE,9,343,66.0,532,70.5,4.5,False
LUCKY LUKE,10,343,66.5,352,75.5,9.0,False
LUCKY LUKE,11,343,65.0,442,68.0,3.0,False
LUCKY LUKE,12,343,64.5,343,65.5,1.0,True
LUCKY LUKE,13,343,68.5,352,72.0,3.5,False
LUCKY LUKE,14,343,63.0,451,75.0,12.0,False
LUCKY LUKE,15,343,66.0,352,67.5,1.5,False
LUCKY LUKE,16,343,67.0,352,69.5,2.5,False
LUCKY LUKE,17,343,58.5,343,72.5,14.0,True
LUCKY LUKE,18,343,66.0,343,77.5,11.5,True
LUCKY LUKE,19,442,64.0,541,73.5,9.5,False
LUCKY LUKE,20,343,70.0,541,79.0,9.0,False
LUCKY LUKE,21,343,63.0,451,77.0,14.0,False
LUCKY LUKE,22,343,70.0,451,72.0,2.0,False
LUCKY LUKE,23,343,74.5,352,78.5,4.0,False
LUCKY LUKE,24,352,79.5,343,83.5,4.0,False
LUCKY LUKE,25,352,72.5,433,79.5,7.0,False
LUCKY LUKE,26,352,68.0,451,69.0,1.0,False
LUCKY LUKE,27,352,72.0,352,73.5,1.5,True
LUCKY LUKE,28,352,62.5,352,74.5,12.0,True
LUCKY LUKE,29,352,66.0,352,74.0,8.0,True
LUCKY LUKE,30,352,67.5,343,69.0,1.5,False
LUCKY LUKE,31,352,67.5,343,78.0,10.5,False
LUCKY LUKE,32,352,64.5,343,65.5,1.0,False
LUCKY LUKE,33,352,64.5,partial,74.5,10.0,False
