team,n_players,total_spent,total_active_fv,total_fv,squad_value_delta,squad_fvm_scaled,credits_residui,budget,roi_active,roi_total,spend_P,spend_D,spend_C,spend_A,points,rank
ROMABOY,25,488.0,2407.0,3171.0,32.0,709.0,0.0,500,4.932377049180328,6.497950819672131,42.0,113.0,152.0,181.0,70,1
GIALLOROSSI,25,434.0,2382.0,3275.0,17.0,565.5,0.0,500,5.488479262672811,7.546082949308755,48.0,72.0,152.0,162.0,58,2
NO ONE,25,469.0,2429.0,3639.0,21.0,388.5,9.0,500,5.17910447761194,7.759061833688699,11.0,160.0,139.0,159.0,51,3
ROMAZDA,25,309.0,2072.0,2723.0,56.0,404.0,0.0,500,6.705501618122978,8.812297734627832,20.0,59.0,109.0,121.0,48,4
ROMOLO&ROMINA,25,504.0,2313.5,3602.5,50.0,529.0,0.0,500,4.590277777777778,7.1478174603174605,56.0,82.0,205.0,161.0,47,5
OLD LIN,25,486.0,2273.5,3196.5,9.0,512.5,0.0,500,4.67798353909465,6.577160493827161,43.0,39.0,157.0,247.0,47,6
NI99ER NO.1,25,454.0,2263.5,3303.0,59.0,487.0,8.0,500,4.98568281938326,7.275330396475771,24.0,98.0,129.0,203.0,47,7
F-22,25,424.0,1963.5,2700.0,60.0,550.5,2.0,500,4.630896226415095,6.367924528301887,45.0,36.0,130.0,213.0,45,8
NEVER IWOMAN,25,446.0,2287.5,2995.0,28.0,368.5,0.0,500,5.128923766816143,6.7152466367713,45.0,130.0,130.0,141.0,44,9
LUCKY LUKE,25,481.0,2289.5,3460.5,8.0,295.0,2.0,500,4.75987525987526,7.1943866943866945,17.0,91.0,110.0,263.0,36,10
