team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
ROMABOY,36,21,7,8,70,75,52,23,2710.5,75.29,93.0,29,NO ONE,60.5,19,ROMOLO&ROMINA,71.69,3.6,18,50.5,137.0,3.81,11.5,9,1
GIALLOROSSI,36,16,10,10,58,64,57,7,2642.0,73.39,82.5,25,NI99ER NO.1,58.0,33,F-22,72.33,1.06,18,12.0,169.5,4.71,18.5,10,2
NO ONE,36,14,9,13,51,53,57,-4,2583.5,71.76,87.5,19,NI99ER NO.1,61.5,23,NEVER IWOMAN,71.96,-0.19,18,36.0,174.0,4.83,11.0,23,0
ROMAZDA,36,14,6,16,48,60,51,9,2610.5,72.51,87.5,20,ROMOLO&ROMINA,56.5,16,NO ONE,71.42,1.1,18,12.5,136.5,3.79,12.5,20,1
ROMOLO&ROMINA,36,12,11,13,47,59,57,2,2603.5,72.32,97.0,15,NO ONE,52.5,6,NO ONE,71.67,0.65,18,24.0,253.5,7.04,18.5,17,0
OLD LIN,36,13,8,15,47,54,52,2,2562.5,71.18,86.5,34,NEVER IWOMAN,58.0,17,ROMOLO&ROMINA,71.51,-0.33,18,23.0,160.5,4.46,9.5,1,1
NI99ER NO.1,36,12,11,13,47,52,56,-4,2575.0,71.53,82.0,14,ROMOLO&ROMINA,57.5,9,ROMABOY,72.08,-0.56,18,31.0,246.0,6.83,19.0,28,0
F-22,36,12,9,15,45,56,63,-7,2588.5,71.9,86.5,24,GIALLOROSSI,57.5,5,ROMAZDA,72.61,-0.71,18,7.0,181.5,5.04,18.5,26,0
NEVER IWOMAN,36,11,11,14,44,56,65,-9,2597.0,72.14,82.5,25,OLD LIN,64.5,24,LUCKY LUKE,73.18,-1.04,18,33.0,175.5,4.88,10.5,12,0
LUCKY LUKE,36,8,12,16,36,33,52,-19,2462.0,68.39,81.5,24,NEVER IWOMAN,58.5,17,ROMAZDA,71.96,-3.57,18,1.0,221.5,6.15,14.0,17,0
