team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
BTGCBUGC,Perin,P,Juventus,6.0,8.0,1.0,7.0,10.0,5.0,-1.0,9,49.0,49.0,5.44,1.0,8.166666666666666,8.166666666666666
BTGCBUGC,Milinkovic-Savic V.,P,Napoli,9.0,17.0,4.0,13.0,37.0,18.5,9.5,3,17.0,58.0,5.67,0.2931,1.8888888888888888,6.444444444444445
BTGCBUGC,Di Gregorio,P,Juventus,46.0,15.0,16.0,-1.0,30.0,15.0,-31.0,22,121.0,158.5,5.5,0.7634,2.630434782608696,3.4456521739130435
BTGCBUGC,Cuadrado,D,Pisa,4.0,5.0,7.0,-2.0,8.0,4.0,0.0,6,35.5,79.5,5.92,0.4465,8.875,19.875
BTGCBUGC,Mancini,D,Roma,16.0,15.0,11.0,4.0,54.0,27.0,11.0,12,87.5,134.0,7.29,0.653,5.46875,8.375
BTGCBUGC,Pavlovic,D,Milan,16.0,17.0,7.0,10.0,60.0,30.0,14.0,30,198.5,211.5,6.62,0.9385,12.40625,13.21875
BTGCBUGC,Scalvini,D,Atalanta,15.0,15.0,8.0,7.0,22.0,11.0,-4.0,13,87.0,145.5,6.69,0.5979,5.8,9.7
BTGCBUGC,Bisseck,D,Inter,6.0,15.0,9.0,6.0,41.0,20.5,14.5,9,64.0,77.0,7.11,0.8312,10.666666666666666,12.833333333333334
BTGCBUGC,Palestra,D,Cagliari,10.0,16.0,3.0,13.0,75.0,37.5,27.5,32,207.0,232.0,6.47,0.8922,20.7,23.2
BTGCBUGC,Ramon,D,Como,3.0,10.0,4.0,6.0,23.0,11.5,8.5,18,111.5,184.5,6.19,0.6043,37.166666666666664,61.5
BTGCBUGC,Zè Pedro,D,Cagliari,1.0,5.0,4.0,1.0,11.0,5.5,4.5,2,13.5,80.5,6.75,0.1677,13.5,80.5
BTGCBUGC,Zaccagni,C,Lazio,71.0,13.0,26.0,-13.0,25.0,12.5,-58.5,23,135.0,141.0,5.87,0.9574,1.9014084507042253,1.9859154929577465
BTGCBUGC,Locatelli,C,Juventus,8.0,12.0,12.0,0.0,47.0,23.5,15.5,22,134.5,211.0,6.11,0.6374,16.8125,26.375
BTGCBUGC,Nicolussi Caviglia,C,Parma,1.0,8.0,9.0,-1.0,15.0,7.5,6.5,1,7.5,88.0,7.5,0.0852,7.5,88.0
BTGCBUGC,Saelemaekers,C,Milan,21.0,15.0,12.0,3.0,36.0,18.0,-3.0,30,194.5,212.0,6.48,0.9175,9.261904761904763,10.095238095238095
BTGCBUGC,Maldini,C,Lazio,1.0,10.0,9.0,1.0,20.0,10.0,9.0,9,61.0,74.0,6.78,0.8243,61.0,74.0
BTGCBUGC,Brescianini,C,Fiorentina,7.0,10.0,8.0,2.0,15.0,7.5,0.5,5,30.0,59.5,6.0,0.5042,4.285714285714286,8.5
BTGCBUGC,Tramoni M.,C,Pisa,3.0,6.0,12.0,-6.0,10.0,5.0,2.0,2,10.0,137.5,5.0,0.0727,3.3333333333333335,45.833333333333336
BTGCBUGC,Casadei,C,Torino,6.0,13.0,12.0,1.0,20.0,10.0,4.0,8,56.5,87.5,7.06,0.6457,9.416666666666666,14.583333333333334
BTGCBUGC,Zapata D.,A,Torino,3.0,8.0,20.0,-12.0,15.0,7.5,4.5,2,13.5,68.0,6.75,0.1985,4.5,22.666666666666668
BTGCBUGC,Kean,A,Fiorentina,98.0,16.0,33.0,-17.0,40.0,20.0,-78.0,20,136.0,168.0,6.8,0.8095,1.3877551020408163,1.7142857142857142
BTGCBUGC,Vardy,A,Cremonese,31.0,16.0,15.0,1.0,32.0,16.0,-15.0,16,102.5,195.5,6.41,0.5243,3.306451612903226,6.306451612903226
BTGCBUGC,Malen,A,Roma,25.0,25.0,14.0,11.0,350.0,175.0,150.0,14,137.5,143.5,9.82,0.9582,5.5,5.74
BTGCBUGC,Dia,A,Lazio,2.0,6.0,20.0,-14.0,9.0,4.5,2.5,2,10.5,65.5,5.25,0.1603,5.25,32.75
BTGCBUGC,Douvikas,A,Como,31.0,26.0,8.0,18.0,200.0,100.0,69.0,17,136.0,159.5,8.0,0.8527,4.387096774193548,5.145161290322581
LABORATORIO DATI,Radunovic,P,,1.0,,,,,,,0,0.0,0.0,,,0.0,0.0
LABORATORIO DATI,Sommer,P,Inter,43.0,13.0,16.0,-3.0,60.0,30.0,-13.0,26,151.0,170.5,5.81,0.8856,3.511627906976744,3.9651162790697674
LABORATORIO DATI,Caprile,P,Cagliari,4.0,12.0,7.0,5.0,20.0,10.0,6.0,10,44.0,182.5,4.4,0.2411,11.0,45.625
LABORATORIO DATI,Luperto,D,Cremonese,11.0,8.0,7.0,1.0,12.0,6.0,-5.0,16,93.0,184.0,5.81,0.5054,8.454545454545455,16.727272727272727
LABORATORIO DATI,Martin,D,Genoa,9.0,10.0,10.0,0.0,11.0,5.5,-3.5,14,88.0,167.5,6.29,0.5254,9.777777777777779,18.61111111111111
LABORATORIO DATI,Dumfries,D,Inter,5.0,12.0,20.0,-8.0,56.0,28.0,23.0,6,47.0,57.5,7.83,0.8174,9.4,11.5
LABORATORIO DATI,Gila,D,Lazio,5.0,8.0,9.0,-1.0,16.0,8.0,3.0,15,91.5,173.0,6.1,0.5289,18.3,34.6
LABORATORIO DATI,Valeri,D,Parma,8.0,11.0,10.0,1.0,22.0,11.0,3.0,25,151.0,195.5,6.04,0.7724,18.875,24.4375
LABORATORIO DATI,Dodò,D,Fiorentina,22.0,10.0,11.0,-1.0,30.0,15.0,-7.0,25,150.5,204.0,6.02,0.7377,6.840909090909091,9.272727272727273
LABORATORIO DATI,Gaspar K.,D,Lecce,4.0,2.0,8.0,-6.0,10.0,5.0,1.0,6,34.0,107.5,5.67,0.3163,8.5,26.875
LABORATORIO DATI,Delprato,D,Parma,7.0,10.0,8.0,2.0,22.0,11.0,4.0,26,160.0,199.0,6.15,0.804,22.857142857142858,28.428571428571427
LABORATORIO DATI,Bernardeschi,C,Bologna,3.0,13.0,9.0,4.0,33.0,16.5,13.5,2,16.0,91.5,8.0,0.1749,5.333333333333333,30.5
LABORATORIO DATI,Mandragora,C,Fiorentina,7.0,17.0,14.0,3.0,60.0,30.0,23.0,23,153.5,209.5,6.67,0.7327,21.928571428571427,29.928571428571427
LABORATORIO DATI,Rabiot,C,Milan,48.0,23.0,23.0,0.0,195.0,97.5,49.5,29,204.5,204.5,7.05,1.0,4.260416666666667,4.260416666666667
LABORATORIO DATI,Odgaard,C,Bologna,28.0,13.0,16.0,-3.0,14.0,7.0,-21.0,9,65.5,136.5,7.28,0.4799,2.3392857142857144,4.875
LABORATORIO DATI,McKennie,C,Juventus,11.0,18.0,10.0,8.0,107.0,53.5,42.5,18,130.5,144.5,7.25,0.9031,11.863636363636363,13.136363636363637
LABORATORIO DATI,Neres,C,Napoli,17.0,10.0,13.0,-3.0,15.0,7.5,-9.5,12,89.5,105.5,7.46,0.8483,5.264705882352941,6.205882352941177
LABORATORIO DATI,Conceicao,C,Juventus,29.0,18.0,18.0,0.0,65.0,32.5,3.5,23,154.5,188.5,6.72,0.8196,5.327586206896552,6.5
LABORATORIO DATI,Collocolo,C,Cremonese,1.0,2.0,8.0,-6.0,8.0,4.0,3.0,0,0.0,11.0,,0.0,0.0,11.0
LABORATORIO DATI,Bonazzoli,A,Cremonese,15.0,22.0,1.0,21.0,40.0,20.0,5.0,13,82.5,139.0,6.35,0.5935,5.5,9.266666666666667
LABORATORIO DATI,Pinamonti,A,Sassuolo,42.0,16.0,16.0,0.0,55.0,27.5,-14.5,24,152.5,217.0,6.35,0.7028,3.630952380952381,5.166666666666667
LABORATORIO DATI,Simeone,A,Torino,4.0,22.0,8.0,14.0,99.0,49.5,45.5,25,176.0,219.5,7.04,0.8018,44.0,54.875
LABORATORIO DATI,Vlahovic,A,Juventus,9.0,16.0,24.0,-8.0,100.0,50.0,41.0,3,25.0,47.0,8.33,0.5319,2.7777777777777777,5.222222222222222
LABORATORIO DATI,David,A,Juventus,100.0,13.0,27.0,-14.0,28.0,14.0,-86.0,26,162.0,179.0,6.23,0.905,1.62,1.79
LABORATORIO DATI,Noslin,A,Lazio,11.0,14.0,7.0,7.0,24.0,12.0,1.0,4,29.5,102.5,7.38,0.2878,2.6818181818181817,9.318181818181818
CUORE LAZIALE,Terracciano,P,Milan,3.0,1.0,1.0,0.0,1.0,0.5,-2.5,1,7.0,14.0,7.0,0.5,2.3333333333333335,4.666666666666667
11 CRISTANTE UNITED,Leali,P,Genoa,7.0,9.0,8.0,1.0,1.0,0.5,-6.5,18,88.0,98.5,4.89,0.8934,12.571428571428571,14.071428571428571
CUORE LAZIALE,Maignan,P,Milan,40.0,16.0,16.0,0.0,88.0,44.0,4.0,35,201.5,201.5,5.76,1.0,5.0375,5.0375
11 CRISTANTE UNITED,Okoye,P,Udinese,2.0,14.0,6.0,8.0,14.0,7.0,5.0,17,98.0,139.5,5.76,0.7025,49.0,69.75
CUORE LAZIALE,Torriani,P,Milan,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
11 CRISTANTE UNITED,Siegrist,P,Genoa,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,0,0.0,0.0,,,0.0,0.0
CUORE LAZIALE,Pellegrini Lu.,D,Lazio,4.0,5.0,3.0,2.0,9.0,4.5,0.5,13,75.0,128.0,5.77,0.5859,18.75,32.0
