team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
11 CRISTANTE UNITED,Dimarco,D,36,33,31,2,0.8611,0.9398,218.5,257.5,242.0,15.5,7.81,7.75,12.5,5.0
11 CRISTANTE UNITED,Castro S.,A,36,33,33,0,0.9167,1.0,194.5,217.5,217.5,0.0,6.59,,14.0,4.5
11 CRISTANTE UNITED,Thuram,A,31,27,27,0,0.871,1.0,172.5,211.5,211.5,0.0,7.83,,13.5,5.0
11 CRISTANTE UNITED,Barella,C,33,31,29,2,0.8788,0.9451,195.5,209.5,198.0,11.5,6.83,5.75,10.5,5.0
11 CRISTANTE UNITED,N'Dicka,D,34,29,29,0,0.8529,1.0,175.5,183.0,183.0,0.0,6.31,,10.0,4.5
11 CRISTANTE UNITED,Bastoni,D,34,25,25,0,0.7353,1.0,154.5,155.0,155.0,0.0,6.2,,8.0,5.5
11 CRISTANTE UNITED,Kalulu,D,36,35,23,12,0.6389,0.6497,215.5,225.5,146.5,79.0,6.37,6.58,11.0,4.0
11 CRISTANTE UNITED,Calhanoglu,C,29,20,17,3,0.5862,0.8419,132.0,155.0,130.5,24.5,7.68,8.17,14.0,2.0
11 CRISTANTE UNITED,Da Cunha,C,36,33,18,15,0.5,0.567,209.5,227.5,129.0,98.5,7.17,6.57,13.0,5.0
11 CRISTANTE UNITED,Politano,C,31,29,20,9,0.6452,0.6568,176.5,186.5,122.5,64.0,6.12,7.11,9.5,5.0
11 CRISTANTE UNITED,Baturina,C,34,24,17,7,0.5,0.7038,150.5,170.5,120.0,50.5,7.06,7.21,13.0,5.0
11 CRISTANTE UNITED,Nzola,A,34,25,18,7,0.5294,0.7143,149.5,157.5,112.5,45.0,6.25,6.43,12.5,2.5
11 CRISTANTE UNITED,Okoye,P,27,25,17,8,0.6296,0.7025,152.0,139.5,98.0,41.5,5.76,5.19,8.5,3.0
11 CRISTANTE UNITED,Diego Carlos,D,35,24,16,8,0.4571,0.6407,147.5,147.5,94.5,53.0,5.91,6.62,6.5,4.5
11 CRISTANTE UNITED,Leali,P,36,20,18,2,0.5,0.8934,122.5,98.5,88.0,10.5,4.89,5.25,8.0,3.0
11 CRISTANTE UNITED,Bonny,A,36,26,10,16,0.2778,0.4334,159.0,176.5,76.5,100.0,7.65,6.25,15.5,5.0
11 CRISTANTE UNITED,Aebischer,C,31,29,8,21,0.2581,0.2899,168.0,169.0,49.0,120.0,6.12,5.71,10.0,5.0
11 CRISTANTE UNITED,Vitinha O.,A,11,10,7,3,0.6364,0.5878,58.5,65.5,38.5,27.0,5.5,9.0,6.0,5.0
11 CRISTANTE UNITED,De Winter,D,12,8,6,2,0.5,0.7865,43.5,44.5,35.0,9.5,5.83,4.75,7.5,4.5
11 CRISTANTE UNITED,Ehizibue,D,19,10,6,4,0.3158,0.6,56.0,55.0,33.0,22.0,5.5,5.5,6.0,5.0
11 CRISTANTE UNITED,Meister,A,19,14,5,9,0.2632,0.3125,81.0,88.0,27.5,60.5,5.5,6.72,6.0,5.0
11 CRISTANTE UNITED,Beukema,D,12,8,4,4,0.3333,0.4787,47.0,47.0,22.5,24.5,5.62,6.12,6.0,5.0
11 CRISTANTE UNITED,Juan Jesus,D,35,19,2,17,0.0571,0.1179,110.5,106.0,12.5,93.5,6.25,5.5,6.5,6.0
11 CRISTANTE UNITED,Pobega,C,17,7,2,5,0.1176,0.2048,40.0,41.5,8.5,33.0,4.25,6.6,5.5,3.0
11 CRISTANTE UNITED,Moreno Alb.,D,24,9,1,8,0.0417,0.0965,54.5,57.0,5.5,51.5,5.5,6.44,5.5,5.5
