team,position,players_used,apps_active,apps_missed,total_active_fv,avg_active_fv,total_fv_missed,pct_fv_captured
11 CRISTANTE UNITED,P,3,35,10,186.0,5.31,52.0,0.7815
11 CRISTANTE UNITED,D,10,143,57,929.5,6.5,348.5,0.7273
11 CRISTANTE UNITED,C,10,111,79,757.5,6.82,506.0,0.5995
11 CRISTANTE UNITED,A,9,101,39,689.5,6.83,262.0,0.7246
BTGCBUGC,P,4,36,13,199.5,5.54,78.5,0.7176
BTGCBUGC,D,14,141,73,917.5,6.51,443.0,0.6744
BTGCBUGC,C,15,123,90,779.5,6.34,553.0,0.585
BTGCBUGC,A,12,96,71,707.0,7.36,471.0,0.6002
CUORE LAZIALE,P,3,36,1,208.5,5.79,7.0,0.9675
CUORE LAZIALE,D,11,128,81,767.5,6.0,471.5,0.6195
CUORE LAZIALE,C,15,125,46,805.5,6.44,291.5,0.7343
CUORE LAZIALE,A,10,101,57,702.0,6.95,367.0,0.6567
KKK,P,4,36,17,210.5,5.85,94.5,0.6902
KKK,D,11,127,92,778.0,6.13,555.5,0.5834
KKK,C,14,135,80,911.0,6.75,495.0,0.6479
KKK,A,10,98,54,681.0,6.95,349.0,0.6612
LABORATORIO DATI,P,4,36,40,195.0,5.42,205.5,0.4869
LABORATORIO DATI,D,9,133,84,815.0,6.13,489.5,0.6248
LABORATORIO DATI,C,11,121,70,844.5,6.98,435.5,0.6598
LABORATORIO DATI,A,9,105,56,686.0,6.53,381.5,0.6426
PREMIER LEAGUE SLOPS,P,4,36,0,188.5,5.24,0.0,1.0
PREMIER LEAGUE SLOPS,D,12,125,57,756.5,6.05,335.5,0.6928
PREMIER LEAGUE SLOPS,C,12,141,60,916.0,6.5,356.0,0.7201
PREMIER LEAGUE SLOPS,A,8,90,37,619.0,6.88,234.5,0.7252
TEAM ASBOVE,P,4,36,40,215.0,5.97,219.5,0.4948
TEAM ASBOVE,D,12,137,59,859.0,6.27,352.5,0.709
TEAM ASBOVE,C,12,128,76,842.5,6.58,468.0,0.6429
TEAM ASBOVE,A,9,89,42,633.5,7.12,253.0,0.7146
TEAM JODIODDR,P,4,36,3,210.5,5.85,16.5,0.9273
TEAM JODIODDR,D,12,142,62,887.0,6.25,371.5,0.7048
TEAM JODIODDR,C,15,131,44,872.5,6.66,271.0,0.763
TEAM JODIODDR,A,11,78,40,504.0,6.46,239.5,0.6779
TEAM ZTOTTI,P,3,36,21,208.0,5.78,93.0,0.691
TEAM ZTOTTI,D,12,139,57,871.5,6.27,325.5,0.7281
TEAM ZTOTTI,C,13,123,75,805.5,6.55,466.0,0.6335
TEAM ZTOTTI,A,10,92,39,637.0,6.92,253.5,0.7153
U CAN U UP,P,5,36,7,203.0,5.64,30.0,0.8712
U CAN U UP,D,13,126,79,752.5,5.97,469.0,0.616
U CAN U UP,C,13,130,78,831.0,6.39,459.0,0.6442
U CAN U UP,A,12,103,64,738.0,7.17,404.0,0.6462
