team,giornata,actual_module,actual_player_fv,optimal_module,optimal_player_fv,regret,module_matched
11 CRISTANTE UNITED,1,343,75.0,343,83.5,8.5,True
11 CRISTANTE UNITED,2,343,70.0,343,75.5,5.5,True
11 CRISTANTE UNITED,3,343,64.0,343,68.5,4.5,True
11 CRISTANTE UNITED,4,532,82.0,541,84.5,2.5,False
11 CRISTANTE UNITED,5,532,67.0,343,74.5,7.5,False
11 CRISTANTE UNITED,6,532,75.5,352,81.5,6.0,False
11 CRISTANTE UNITED,7,532,73.5,532,76.0,2.5,True
11 CRISTANTE UNITED,8,532,74.0,433,76.0,2.0,False
11 CRISTANTE UNITED,9,433,72.5,433,73.0,0.5,True
11 CRISTANTE UNITED,10,433,63.5,343,78.0,14.5,False
11 CRISTANTE UNITED,11,433,66.0,352,75.0,9.0,False
11 CRISTANTE UNITED,12,433,71.5,433,75.5,4.0,True
11 CRISTANTE UNITED,13,433,56.0,352,66.5,10.5,False
11 CRISTANTE UNITED,14,433,68.5,352,70.5,2.0,False
11 CRISTANTE UNITED,15,433,58.5,partial,72.0,13.5,False
11 CRISTANTE UNITED,16,433,76.5,343,82.0,5.5,False
11 CRISTANTE UNITED,17,433,65.5,352,74.5,9.0,False
11 CRISTANTE UNITED,18,433,77.0,343,88.5,11.5,False
11 CRISTANTE UNITED,19,433,73.5,433,76.5,3.0,True
11 CRISTANTE UNITED,20,433,77.5,442,88.5,11.0,False
11 CRISTANTE UNITED,21,433,74.5,433,75.0,0.5,True
11 CRISTANTE UNITED,22,433,70.5,532,76.0,5.5,False
11 CRISTANTE UNITED,23,433,68.0,433,69.5,1.5,True
11 CRISTANTE UNITED,24,433,71.5,433,73.0,1.5,True
11 CRISTANTE UNITED,25,433,81.5,343,82.5,1.0,False
11 CRISTANTE UNITED,26,433,71.0,532,78.0,7.0,False
11 CRISTANTE UNITED,27,433,67.0,352,84.0,17.0,False
11 CRISTANTE UNITED,28,433,70.5,442,77.5,7.0,False
11 CRISTANTE UNITED,29,433,76.0,343,89.5,13.5,False
11 CRISTANTE UNITED,30,433,79.5,343,84.5,5.0,False
11 CRISTANTE UNITED,31,433,81.5,343,83.5,2.0,False
11 CRISTANTE UNITED,32,433,70.0,433,75.0,5.0,True
11 CRISTANTE UNITED,33,433,73.0,343,75.0,2.0,False
11 CRISTANTE UNITED,34,433,69.0,343,71.5,2.5,False
11 CRISTANTE UNITED,35,433,62.5,433,64.0,1.5,True
11 CRISTANTE UNITED,36,433,69.0,352,80.5,11.5,False
BTGCBUGC,1,343,72.0,352,76.0,4.0,False
BTGCBUGC,2,343,83.5,343,87.5,4.0,True
BTGCBUGC,3,442,74.0,532,76.0,2.0,False
BTGCBUGC,4,433,73.5,343,75.0,1.5,False
BTGCBUGC,5,433,63.0,442,66.0,3.0,False
BTGCBUGC,6,343,70.5,343,79.0,8.5,True
BTGCBUGC,7,442,68.0,532,69.5,1.5,False
BTGCBUGC,8,442,77.0,442,84.5,7.5,True
BTGCBUGC,9,433,67.5,451,76.0,8.5,False
BTGCBUGC,10,433,73.5,343,77.5,4.0,False
BTGCBUGC,11,433,70.0,343,80.0,10.0,False
BTGCBUGC,12,343,65.0,343,74.0,9.0,True
BTGCBUGC,13,433,64.0,343,69.5,5.5,False
BTGCBUGC,14,433,69.0,343,75.0,6.0,False
BTGCBUGC,15,433,70.5,532,72.5,2.0,False
BTGCBUGC,16,343,67.0,343,80.5,13.5,True
BTGCBUGC,17,433,79.0,343,82.5,3.5,False
BTGCBUGC,18,433,67.5,343,78.5,11.0,False
BTGCBUGC,19,433,64.5,343,69.0,4.5,False
BTGCBUGC,20,433,85.5,532,91.0,5.5,False
BTGCBUGC,21,442,65.5,532,69.0,3.5,False
BTGCBUGC,22,433,80.5,343,89.5,9.0,False
BTGCBUGC,23,433,69.5,343,82.0,12.5,False
BTGCBUGC,24,442,67.0,433,73.0,6.0,False
BTGCBUGC,25,433,75.0,433,80.5,5.5,True
BTGCBUGC,26,433,69.0,352,77.5,8.5,False
BTGCBUGC,27,442,75.0,343,80.5,5.5,False
BTGCBUGC,28,532,70.0,433,77.5,7.5,False
BTGCBUGC,29,442,70.5,541,79.5,9.0,False
BTGCBUGC,30,442,83.0,352,86.0,3.0,False
BTGCBUGC,31,442,62.5,532,67.0,4.5,False
BTGCBUGC,32,532,83.5,433,91.5,8.0,False
BTGCBUGC,33,442,68.5,532,75.0,6.5,False
BTGCBUGC,34,433,83.0,433,90.0,7.0,True
BTGCBUGC,35,433,78.0,433,78.5,0.5,True
BTGCBUGC,36,433,78.5,343,83.5,5.0,False
CUORE LAZIALE,1,343,76.0,343,82.5,6.5,True
CUORE LAZIALE,2,433,67.0,433,70.5,3.5,True
CUORE LAZIALE,3,433,74.5,433,82.0,7.5,True
CUORE LAZIALE,4,433,63.0,343,76.5,13.5,False
CUORE LAZIALE,5,433,68.0,343,74.0,6.0,False
CUORE LAZIALE,6,343,63.5,433,70.0,6.5,False
CUORE LAZIALE,7,343,70.0,433,76.0,6.0,False
CUORE LAZIALE,8,343,80.5,433,86.5,6.0,False
CUORE LAZIALE,9,343,63.5,343,66.5,3.0,True
CUORE LAZIALE,10,343,80.5,343,83.0,2.5,True
CUORE LAZIALE,11,343,78.0,433,79.5,1.5,False
