team,n_players,total_spent,total_active_fv,total_fv,squad_value_delta,squad_fvm_scaled,credits_residui,budget,roi_active,roi_total,spend_P,spend_D,spend_C,spend_A,points,rank
BTGCBUGC,25,440.0,2156.5,3220.5,38.0,602.5,0.0,500,4.901136363636364,7.319318181818182,61.0,71.0,118.0,190.0,68,1
11 CRISTANTE UNITED,25,485.0,2491.0,3411.0,65.0,693.5,29.0,500,5.1360824742268045,7.032989690721649,10.0,103.0,124.0,248.0,55,2
TEAM ZTOTTI,25,412.0,2143.0,2962.5,92.0,462.5,0.0,500,5.201456310679611,7.190533980582524,21.0,70.0,141.0,180.0,52,3
TEAM ASBOVE,25,482.0,2106.0,3044.5,13.0,480.0,1.0,500,4.369294605809128,6.316390041493776,51.0,78.0,127.0,226.0,50,4
KKK,25,428.0,2331.5,3260.0,41.0,518.5,2.0,500,5.447429906542056,7.616822429906542,24.0,134.0,181.0,89.0,49,5
U CAN U UP,25,407.0,2101.0,2941.0,7.0,461.0,0.0,500,5.162162162162162,7.226044226044226,12.0,62.0,154.0,179.0,48,6
PREMIER LEAGUE SLOPS,25,472.0,2324.5,3088.5,15.0,375.5,0.0,500,4.924788135593221,6.5434322033898304,42.0,69.0,141.0,220.0,47,7
CUORE LAZIALE,25,493.0,2169.0,2918.0,5.0,405.0,1.0,500,4.399594320486815,5.918864097363083,44.0,73.0,159.0,217.0,43,8
TEAM JODIODDR,25,379.0,2008.5,2677.0,19.0,300.0,2.0,500,5.299472295514512,7.063324538258575,50.0,38.0,146.0,145.0,41,9
LABORATORIO DATI,25,444.0,2451.5,3636.5,13.0,551.0,10.0,500,5.521396396396397,8.190315315315315,48.0,71.0,144.0,181.0,37,10
