team,matches_played,wins,draws,losses,points,goals_for,goals_against,goal_diff,totale_sum,totale_avg,totale_max,totale_max_g,totale_max_vs,totale_min,totale_min_g,totale_min_vs,opp_totale_avg,totale_diff_avg,fattore_campo_count,modificatore_difesa_sum,regret_total,regret_avg,regret_max,regret_max_g,perfect_giornate
BTGCBUGC,36,19,11,6,68,69,47,22,2672.0,74.22,88.5,20,TEAM ZTOTTI,63.0,31,LABORATORIO DATI,70.78,3.44,18,32.5,216.5,6.01,13.5,16,0
11 CRISTANTE UNITED,36,15,10,11,55,62,53,9,2634.0,73.17,85.5,25,LABORATORIO DATI,58.0,13,TEAM JODIODDR,71.61,1.56,18,35.5,217.0,6.03,17.0,27,0
TEAM ZTOTTI,36,15,7,14,52,58,59,-1,2593.5,72.04,81.5,20,BTGCBUGC,59.0,13,PREMIER LEAGUE SLOPS,72.96,-0.92,18,35.5,170.5,4.74,12.0,30,0
TEAM ASBOVE,36,13,11,12,50,61,64,-3,2616.5,72.68,91.5,29,LABORATORIO DATI,57.5,36,BTGCBUGC,72.89,-0.21,18,30.5,178.0,4.94,13.5,36,1
KKK,36,12,13,11,49,64,56,8,2637.5,73.26,89.0,30,CUORE LAZIALE,62.0,9,PREMIER LEAGUE SLOPS,72.4,0.86,18,21.0,187.0,5.19,21.5,17,1
U CAN U UP,36,13,9,14,48,53,56,-3,2574.5,71.51,88.0,7,BTGCBUGC,61.5,32,TEAM ASBOVE,72.32,-0.81,18,14.0,153.5,4.26,11.0,1,1
PREMIER LEAGUE SLOPS,36,12,11,13,47,44,49,-5,2531.5,70.32,88.0,10,TEAM ASBOVE,59.0,33,11 CRISTANTE UNITED,70.49,-0.17,18,15.5,122.0,3.39,10.0,18,2
CUORE LAZIALE,36,10,13,13,43,46,54,-8,2536.0,70.44,82.5,23,TEAM JODIODDR,57.5,24,BTGCBUGC,71.58,-1.14,18,16.5,190.5,5.29,13.5,4,0
TEAM JODIODDR,36,12,5,19,41,47,55,-8,2543.0,70.64,87.5,3,LABORATORIO DATI,58.5,29,PREMIER LEAGUE SLOPS,71.62,-0.99,18,33.0,165.0,4.58,10.5,6,1
LABORATORIO DATI,36,9,10,17,37,55,66,-11,2594.5,72.07,85.0,14,PREMIER LEAGUE SLOPS,63.5,3,TEAM JODIODDR,73.71,-1.64,18,18.0,242.5,6.74,15.5,34,0
