giornata,team,player,position,voto,fantavoto,active,on_bench
1,TEAM PC,Skorupski,P,6.0,4.5,True,False
1,TEAM PC,Baschirotto,D,5.0,5.0,True,False
1,TEAM PC,Doig,D,6.0,5.5,True,False
1,TEAM PC,Bellanova,D,6.5,6.5,True,False
1,TEAM PC,Zortea,D,5.5,5.5,True,False
1,TEAM PC,Atta,C,7.0,7.0,True,False
1,TEAM PC,Dele-Bashiru,C,5.5,5.5,True,False
1,TEAM PC,Koopmeiners,C,5.0,4.5,True,False
1,TEAM PC,Pinamonti,A,6.0,5.5,True,False
1,TEAM PC,Vlahovic,A,5.0,5.0,True,False
1,TEAM PC,Douvikas,A,6.0,6.0,True,False
1,TEAM PC,Ravaglia F.,P,,,False,True
1,TEAM PC,Pessina Mas.,P,,,False,True
1,TEAM PC,N'Dicka,D,6.0,6.0,False,True
1,TEAM PC,Acerbi,D,6.0,5.5,False,True
1,TEAM PC,Gatti,D,6.0,6.0,False,True
1,TEAM PC,Cambiaso,D,,,False,True
1,TEAM PC,Conceicao,C,,,False,True
1,TEAM PC,Rovella,C,6.0,5.5,False,True
1,TEAM PC,Sucic P.,C,,,False,True
1,TEAM PC,Anjorin,C,,,False,True
1,TEAM PC,Lorran,C,,,False,True
1,TEAM PC,Zapata D.,A,,,False,True
1,TEAM PC,Laurientè,A,6.0,6.0,False,True
1,TEAM PC,Lookman,A,,,False,True
1,HISASHI MITSUI,Leali,P,6.5,5.5,True,False
1,HISASHI MITSUI,Angelino,D,5.5,5.0,True,False
1,HISASHI MITSUI,Bastoni,D,5.5,5.5,True,False
1,HISASHI MITSUI,Buongiorno,D,6.0,6.0,True,False
1,HISASHI MITSUI,Dodò,D,6.0,6.0,True,False
1,HISASHI MITSUI,Pulisic,C,7.0,7.0,True,False
1,HISASHI MITSUI,Zambo Anguissa,C,6.5,7.5,True,False
1,HISASHI MITSUI,Thuram K.,C,7.0,10.0,True,False
1,HISASHI MITSUI,Politano,C,6.5,6.5,True,False
1,HISASHI MITSUI,Dia,A,5.5,5.5,True,False
1,HISASHI MITSUI,Dovbyk,A,,,False,False
