giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,TEAM PC,HISASHI MITSUI,home,0,1,L,63.0,433,0.5,2.0
1,HISASHI MITSUI,TEAM PC,away,1,0,W,71.0,442,0.5,
1,ROMANHOLIDAY,DTE,home,3,1,W,80.5,433,0.5,2.0
1,DTE,ROMANHOLIDAY,away,1,3,L,68.0,433,,
1,GOODBYE,ROMINA&ROMOLO,home,2,1,W,76.5,433,2.0,2.0
1,ROMINA&ROMOLO,GOODBYE,away,1,2,L,70.5,433,1.0,
1,ASR YOYO,KAMADO,home,4,1,W,88.0,343,,2.0
1,KAMADO,ASR YOYO,away,1,4,L,71.0,343,,
1,OLD LIN,QICELLO,home,0,1,L,61.0,343,,2.0
1,QICELLO,OLD LIN,away,1,0,W,69.5,442,,
2,DTE,TEAM PC,home,1,0,W,69.0,433,0.5,2.0
2,TEAM PC,DTE,away,0,1,L,63.0,433,1.0,
2,KAMADO,OLD LIN,home,2,1,W,72.0,343,,2.0
2,OLD LIN,KAMADO,away,1,2,L,69.0,343,,
2,ROMINA&ROMOLO,ASR YOYO,home,2,3,L,72.5,433,,2.0
2,ASR YOYO,ROMINA&ROMOLO,away,3,2,W,83.0,433,0.5,
2,HISASHI MITSUI,GOODBYE,home,2,0,W,77.0,442,1.0,2.0
2,GOODBYE,HISASHI MITSUI,away,0,2,L,62.0,343,,
2,QICELLO,ROMANHOLIDAY,home,1,1,D,66.5,442,0.5,2.0
2,ROMANHOLIDAY,QICELLO,away,1,1,D,68.0,433,1.0,
3,TEAM PC,QICELLO,home,2,0,W,72.0,433,2.0,2.0
3,QICELLO,TEAM PC,away,0,2,L,62.5,433,0.5,
3,ROMANHOLIDAY,KAMADO,home,3,1,W,79.0,442,0.5,2.0
3,KAMADO,ROMANHOLIDAY,away,1,3,L,67.5,433,1.0,
3,GOODBYE,DTE,home,1,2,L,67.5,433,0.5,2.0
3,DTE,GOODBYE,away,2,1,W,73.5,433,0.5,
3,HISASHI MITSUI,ROMINA&ROMOLO,home,3,4,L,79.5,442,1.0,2.0
3,ROMINA&ROMOLO,HISASHI MITSUI,away,4,3,W,87.0,433,1.0,
3,OLD LIN,ASR YOYO,home,2,1,W,77.0,343,,2.0
3,ASR YOYO,OLD LIN,away,1,2,L,69.5,343,,
4,DTE,HISASHI MITSUI,home,1,0,W,67.5,433,1.0,2.0
4,HISASHI MITSUI,DTE,away,0,1,L,64.5,433,0.5,
4,ASR YOYO,ROMANHOLIDAY,home,2,4,L,73.0,433,1.0,2.0
4,ROMANHOLIDAY,ASR YOYO,away,4,2,W,86.0,442,0.5,
4,KAMADO,TEAM PC,home,3,1,W,79.5,433,2.0,2.0
4,TEAM PC,KAMADO,away,1,3,L,68.5,433,,
4,ROMINA&ROMOLO,OLD LIN,home,1,1,D,70.5,442,1.0,2.0
4,OLD LIN,ROMINA&ROMOLO,away,1,1,D,69.0,343,,
4,QICELLO,GOODBYE,home,1,0,W,67.0,442,1.0,2.0
