giornata,team,player,position,voto,fantavoto,active,on_bench
1,TEAM GLIDER,De Gea,P,7.0,4.0,True,False
1,TEAM GLIDER,Gatti,D,6.0,6.0,True,False
1,TEAM GLIDER,N'Dicka,D,6.0,6.0,True,False
1,TEAM GLIDER,Bremer,D,7.5,9.5,True,False
1,TEAM GLIDER,Ehizibue,D,5.5,5.5,True,False
1,TEAM GLIDER,Orsolini,C,5.5,5.5,True,False
1,TEAM GLIDER,Da Cunha,C,6.0,6.0,True,False
1,TEAM GLIDER,Zerbin,C,5.5,5.5,True,False
1,TEAM GLIDER,Douvikas,A,6.0,6.0,True,False
1,TEAM GLIDER,David,A,6.5,7.5,True,False
1,TEAM GLIDER,Castro S.,A,5.5,5.5,True,False
1,TEAM GLIDER,Martinelli T.,P,,,False,True
1,TEAM GLIDER,Lezzerini,P,,,False,True
1,TEAM GLIDER,Juan Jesus,D,,,False,True
1,TEAM GLIDER,Veiga D.,D,6.0,6.5,False,True
1,TEAM GLIDER,Rrahmani,D,,,False,True
1,TEAM GLIDER,Esteves T.,D,,,False,True
1,TEAM GLIDER,Loftus-Cheek,C,6.5,6.5,False,True
1,TEAM GLIDER,Isaksen,C,,,False,True
1,TEAM GLIDER,Tourè I.,C,6.5,6.5,False,True
1,TEAM GLIDER,Ilkhan,C,,,False,True
1,TEAM GLIDER,Leris,C,6.0,6.0,False,True
1,TEAM GLIDER,Openda,A,6.0,6.0,False,True
1,TEAM GLIDER,Meister,A,6.0,6.0,False,True
1,TEAM GLIDER,Benedyczak,A,,,False,True
1,VINCENZO,Carnesecchi,P,6.0,5.0,True,False
1,VINCENZO,Dodò,D,6.0,6.0,True,False
1,VINCENZO,Mancini,D,6.0,6.0,True,False
1,VINCENZO,Delprato,D,5.5,5.5,True,False
1,VINCENZO,Estupinan,D,6.0,5.5,True,False
1,VINCENZO,Zaccagni,C,6.5,6.5,True,False
1,VINCENZO,Locatelli,C,6.5,6.0,True,False
1,VINCENZO,Guendouzi,C,5.5,5.5,True,False
1,VINCENZO,Dia,A,5.5,5.5,True,False
1,VINCENZO,Thuram,A,7.0,10.0,True,False
1,VINCENZO,Cancellieri,A,5.5,5.5,True,False
1,VINCENZO,Sportiello,P,,,False,True
1,VINCENZO,Rossi F.,P,,,False,True
