giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,TEAM GLIDER,VINCENZO,home,1,1,D,71.0,433,2.0,2.0
1,VINCENZO,TEAM GLIDER,away,1,1,D,67.5,433,0.5,
1,ASS ASS IN FC,TEAM WOLFLING,home,1,0,W,69.0,442,0.5,2.0
1,TEAM WOLFLING,ASS ASS IN FC,away,0,1,L,62.0,442,,
1,TOMATO,TEAM HAIR FLICK,home,1,3,L,68.0,433,0.5,2.0
1,TEAM HAIR FLICK,TOMATO,away,3,1,W,80.5,343,,
1,BOBOTOTTI,TEAM YANGTUO,home,2,2,D,77.0,343,,2.0
1,TEAM YANGTUO,BOBOTOTTI,away,2,2,D,73.0,343,,
1,PAUL POGSHAO,CHELSEA,home,1,4,L,70.5,442,1.0,2.0
1,CHELSEA,PAUL POGSHAO,away,4,1,W,85.5,433,1.0,
2,TEAM WOLFLING,TEAM GLIDER,home,4,0,W,87.5,442,1.0,2.0
2,TEAM GLIDER,TEAM WOLFLING,away,0,4,L,63.0,433,,
2,TEAM YANGTUO,PAUL POGSHAO,home,1,2,L,69.0,352,,2.0
2,PAUL POGSHAO,TEAM YANGTUO,away,2,1,W,73.5,442,1.0,
2,TEAM HAIR FLICK,BOBOTOTTI,home,0,3,L,63.5,343,,2.0
2,BOBOTOTTI,TEAM HAIR FLICK,away,3,0,W,78.5,343,,
2,VINCENZO,TOMATO,home,1,1,D,70.0,433,1.0,2.0
2,TOMATO,VINCENZO,away,1,1,D,67.5,433,1.0,
2,CHELSEA,ASS ASS IN FC,home,1,1,D,67.5,433,1.0,2.0
2,ASS ASS IN FC,CHELSEA,away,1,1,D,66.0,451,0.5,
3,TEAM GLIDER,CHELSEA,home,1,2,L,67.5,433,,2.0
3,CHELSEA,TEAM GLIDER,away,2,1,W,74.0,433,1.0,
3,ASS ASS IN FC,TEAM YANGTUO,home,1,3,L,69.0,442,0.5,2.0
3,TEAM YANGTUO,ASS ASS IN FC,away,3,1,W,78.5,343,,
3,TOMATO,TEAM WOLFLING,home,2,3,L,74.0,433,1.0,2.0
3,TEAM WOLFLING,TOMATO,away,3,2,W,80.0,442,2.0,
3,VINCENZO,TEAM HAIR FLICK,home,2,1,W,74.5,433,0.5,2.0
3,TEAM HAIR FLICK,VINCENZO,away,1,2,L,66.0,433,,
3,PAUL POGSHAO,BOBOTOTTI,home,3,2,W,79.0,433,1.0,2.0
3,BOBOTOTTI,PAUL POGSHAO,away,2,3,L,72.5,343,,
4,TEAM WOLFLING,VINCENZO,home,1,2,L,67.5,442,1.0,2.0
4,VINCENZO,TEAM WOLFLING,away,2,1,W,73.0,433,0.5,
4,BOBOTOTTI,ASS ASS IN FC,home,1,3,L,67.0,343,,2.0
4,ASS ASS IN FC,BOBOTOTTI,away,3,1,W,79.0,343,,
4,TEAM YANGTUO,TEAM GLIDER,home,1,1,D,66.5,343,,2.0
4,TEAM GLIDER,TEAM YANGTUO,away,1,1,D,66.5,433,0.5,
4,TEAM HAIR FLICK,PAUL POGSHAO,home,1,5,L,70.5,433,0.5,2.0
4,PAUL POGSHAO,TEAM HAIR FLICK,away,5,1,W,92.0,442,3.0,
4,CHELSEA,TOMATO,home,1,2,L,66.5,433,,2.0
4,TOMATO,CHELSEA,away,2,1,W,74.5,343,,
5,TEAM GLIDER,BOBOTOTTI,home,1,1,D,66.0,343,,2.0
5,BOBOTOTTI,TEAM GLIDER,away,1,1,D,66.0,343,,
