giornata,team,player,position,voto,fantavoto,active,on_bench
1,NI99ER NO.1,Meret,P,,,False,False
1,NI99ER NO.1,Cuadrado,D,,,False,False
1,NI99ER NO.1,Gabbia,D,6.5,6.5,True,False
1,NI99ER NO.1,Bremer,D,7.5,9.5,True,False
1,NI99ER NO.1,Wesley,D,5.0,4.5,True,False
1,NI99ER NO.1,Rabiot,C,6.5,6.5,True,False
1,NI99ER NO.1,Pasalic,C,6.5,6.5,True,False
1,NI99ER NO.1,Casadei,C,6.0,6.0,True,False
1,NI99ER NO.1,Giovane,A,6.0,5.5,True,False
1,NI99ER NO.1,David,A,6.5,7.5,True,False
1,NI99ER NO.1,Thuram,A,7.0,10.0,True,False
1,NI99ER NO.1,Leao,A,,,False,True
1,NI99ER NO.1,Orban G.,A,6.0,6.0,False,True
1,NI99ER NO.1,Openda,A,6.0,6.0,False,True
1,NI99ER NO.1,Tourè I.,C,6.5,6.5,False,True
1,NI99ER NO.1,Stengs,C,,,False,True
1,NI99ER NO.1,Vandeputte,C,5.5,5.5,False,True
1,NI99ER NO.1,Diouf,C,,,False,True
1,NI99ER NO.1,Mkhitaryan,C,5.5,5.0,False,True
1,NI99ER NO.1,Rensch,D,,,False,True
1,NI99ER NO.1,Pezzella Giu.,D,5.5,5.5,True,True
1,NI99ER NO.1,Heggem,D,6.0,6.0,False,True
1,NI99ER NO.1,Norton-Cuffy,D,6.5,6.5,False,True
1,NI99ER NO.1,Milinkovic-Savic V.,P,5.5,4.5,True,True
1,NI99ER NO.1,Israel,P,6.0,7.0,False,True
1,XIAOYEZI,Carnesecchi,P,6.0,5.0,True,False
1,XIAOYEZI,Gosens,D,6.5,6.5,True,False
1,XIAOYEZI,Ramon,D,5.5,4.5,True,False
1,XIAOYEZI,Marusic,D,6.0,5.5,True,False
1,XIAOYEZI,Vojvoda,D,5.5,5.5,True,False
1,XIAOYEZI,Fazzini,C,6.5,6.5,True,False
1,XIAOYEZI,Pulisic,C,7.0,7.0,True,False
1,XIAOYEZI,Maldini,C,6.0,6.0,True,False
1,XIAOYEZI,Hojlund,A,7.0,11.0,True,False
1,XIAOYEZI,Pellegrino M.,A,5.5,5.5,True,False
1,XIAOYEZI,Cutrone,A,5.0,5.0,True,False
1,XIAOYEZI,Scalvini,D,7.0,10.0,False,True
1,XIAOYEZI,Coco,D,6.5,6.5,False,True
1,XIAOYEZI,Lazzari,D,,,False,True
1,XIAOYEZI,Palma,D,,,False,True
1,XIAOYEZI,Zerbin,C,5.5,5.5,False,True
1,XIAOYEZI,Serdar,C,7.0,6.5,False,True
1,XIAOYEZI,Pobega,C,,,False,True
1,XIAOYEZI,Frendrup,C,5.5,5.5,False,True
1,XIAOYEZI,Isaksen,C,,,False,True
1,XIAOYEZI,Morata,A,5.5,6.0,False,True
1,XIAOYEZI,Pedro,A,6.0,6.0,False,True
1,XIAOYEZI,Lang,A,,,False,True
1,XIAOYEZI,Rossi F.,P,,,False,True
1,XIAOYEZI,Sportiello,P,,,False,True
1,7UPEVERYDAY,Maignan,P,6.0,7.0,True,False
1,7UPEVERYDAY,Spinazzola,D,6.5,7.5,True,False
1,7UPEVERYDAY,Valle,D,6.0,5.5,True,False
1,7UPEVERYDAY,Olivera,D,6.0,6.0,True,False
1,7UPEVERYDAY,El Shaarawy,C,6.0,6.0,True,False
1,7UPEVERYDAY,Stanciu,C,,,False,False
