giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,NI99ER NO.1,XIAOYEZI,home,2,1,W,75.5,433,1.0,2.0
1,XIAOYEZI,NI99ER NO.1,away,1,2,L,68.5,433,0.5,
1,7UPEVERYDAY,VRHELPME,home,3,2,W,78.5,343,,2.0
1,VRHELPME,7UPEVERYDAY,away,2,3,L,77.0,433,0.5,
1,ROMAZDA,TEAM ZTOTTI,home,2,1,W,74.0,343,,2.0
1,TEAM ZTOTTI,ROMAZDA,away,1,2,L,68.0,433,1.0,
1,TEAM HANQI,SIR CROCODILE,home,1,2,L,70.0,442,1.0,2.0
1,SIR CROCODILE,TEAM HANQI,away,2,1,W,74.5,433,1.0,
1,KOKOMO,ULTRAMENG,home,0,2,L,64.5,352,,2.0
1,ULTRAMENG,KOKOMO,away,2,0,W,73.5,442,1.0,
2,VRHELPME,NI99ER NO.1,home,1,1,D,71.5,433,1.0,2.0
2,NI99ER NO.1,VRHELPME,away,1,1,D,66.0,433,0.5,
2,SIR CROCODILE,KOKOMO,home,2,0,W,76.0,433,0.5,2.0
2,KOKOMO,SIR CROCODILE,away,0,2,L,61.0,451,1.0,
2,TEAM ZTOTTI,TEAM HANQI,home,2,1,W,75.5,433,2.0,2.0
2,TEAM HANQI,TEAM ZTOTTI,away,1,2,L,70.5,442,,
2,XIAOYEZI,ROMAZDA,home,3,2,W,78.0,343,,2.0
2,ROMAZDA,XIAOYEZI,away,2,3,L,73.0,433,1.0,
2,ULTRAMENG,7UPEVERYDAY,home,1,1,D,70.0,442,1.0,2.0
2,7UPEVERYDAY,ULTRAMENG,away,1,1,D,71.0,433,1.0,
3,NI99ER NO.1,ULTRAMENG,home,0,3,L,65.5,433,0.5,2.0
3,ULTRAMENG,NI99ER NO.1,away,3,0,W,78.0,442,0.5,
3,7UPEVERYDAY,SIR CROCODILE,home,1,1,D,70.5,433,0.5,2.0
3,SIR CROCODILE,7UPEVERYDAY,away,1,1,D,70.0,433,2.0,
3,ROMAZDA,VRHELPME,home,1,3,L,71.0,433,0.5,2.0
3,VRHELPME,ROMAZDA,away,3,1,W,80.0,433,2.0,
3,XIAOYEZI,TEAM ZTOTTI,home,3,1,W,80.0,343,,2.0
3,TEAM ZTOTTI,XIAOYEZI,away,1,3,L,69.5,433,,
3,KOKOMO,TEAM HANQI,home,3,2,W,80.5,442,2.0,2.0
3,TEAM HANQI,KOKOMO,away,2,3,L,76.0,442,0.5,
