giornata,team,player,position,voto,fantavoto,active,on_bench
1,DARTH VADER,Di Gregorio,P,6.0,3.0,True,False
1,DARTH VADER,Vasquez,D,6.0,6.0,True,False
1,DARTH VADER,Bremer,D,7.5,9.5,True,False
1,DARTH VADER,Buongiorno,D,6.0,6.0,True,False
1,DARTH VADER,Folorunsho,C,6.0,6.0,True,False
1,DARTH VADER,Saelemaekers,C,6.5,7.0,True,False
1,DARTH VADER,Calhanoglu,C,7.5,13.5,True,False
1,DARTH VADER,Oristanio,C,6.0,6.0,True,False
1,DARTH VADER,Yildiz,A,7.0,11.0,True,False
1,DARTH VADER,Castro S.,A,5.5,5.5,True,False
1,DARTH VADER,Berardi,A,6.5,6.5,True,False
1,DARTH VADER,Perin,P,,,False,True
1,DARTH VADER,Pinsoglio,P,,,False,True
1,DARTH VADER,Baschirotto,D,5.0,5.0,False,True
1,DARTH VADER,Ranieri L.,D,6.0,9.0,False,True
1,DARTH VADER,Gallo,D,4.5,4.5,False,True
1,DARTH VADER,Canestrelli,D,5.0,5.0,False,True
1,DARTH VADER,Zanoli,D,,,False,True
1,DARTH VADER,Zielinski,C,6.0,7.0,False,True
1,DARTH VADER,Guendouzi,C,5.5,5.5,False,True
1,DARTH VADER,Frendrup,C,5.5,5.5,False,True
1,DARTH VADER,Ederson D.S.,C,,,False,True
1,DARTH VADER,Orban G.,A,6.0,6.0,False,True
1,DARTH VADER,Stulic,A,5.5,5.5,False,True
1,DARTH VADER,Ngonge,A,6.0,7.0,False,True
1,KKK,De Gea,P,7.0,4.0,True,False
1,KKK,Vojvoda,D,5.5,5.5,True,False
1,KKK,Hermoso,D,6.0,6.0,True,False
1,KKK,Bellanova,D,6.5,6.5,True,False
1,KKK,Zhegrova,C,,,False,False
1,KKK,Rovella,C,6.0,5.5,True,False
1,KKK,Pulisic,C,7.0,7.0,True,False
1,KKK,Loftus-Cheek,C,6.5,6.5,True,False
1,KKK,Vardy,A,6.0,6.0,True,False
1,KKK,Douvikas,A,6.0,6.0,True,False
1,KKK,Hojlund,A,7.0,11.0,True,False
1,KKK,Martinelli T.,P,,,False,True
1,KKK,Falcone,P,5.5,1.5,False,True
1,KKK,Olivera,D,6.0,6.0,False,True
1,KKK,Juan Jesus,D,,,False,True
1,KKK,Palestra,D,6.5,6.5,False,True
1,KKK,Kelly L.,D,7.0,10.0,False,True
1,KKK,Gutierrez,D,,,False,True
1,KKK,Atta,C,7.0,7.0,True,True
1,KKK,Locatelli,C,6.5,6.0,False,True
1,KKK,Tramoni M.,C,5.5,5.5,False,True
1,KKK,Casadei,C,6.0,6.0,False,True
1,KKK,Lucca,A,6.0,6.0,False,True
1,KKK,Sanabria,A,5.5,5.5,False,True
1,KKK,Cutrone,A,5.0,5.0,False,True
1,ETHANANITA,Maignan,P,6.0,7.0,True,False
1,ETHANANITA,Angori,D,5.5,5.5,True,False
1,ETHANANITA,Wesley,D,5.0,4.5,True,False
1,ETHANANITA,Dodò,D,6.0,6.0,True,False
1,ETHANANITA,Dumfries,D,6.0,6.0,True,False
1,ETHANANITA,Da Cunha,C,6.0,6.0,True,False
1,ETHANANITA,Maldini,C,6.0,6.0,True,False
1,ETHANANITA,Politano,C,6.5,6.5,True,False
