giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,DARTH VADER,KKK,home,3,1,W,82.0,343,,2.0
1,KKK,DARTH VADER,away,1,3,L,71.0,343,,
1,ETHANANITA,BJ EASTONE FC,home,1,1,D,69.5,433,,2.0
1,BJ EASTONE FC,ETHANANITA,away,1,1,D,68.0,442,1.0,
1,TIGER REBELS,WINNING MOMENT,home,3,1,W,80.5,343,,2.0
1,WINNING MOMENT,TIGER REBELS,away,1,3,L,68.0,352,,
1,BOVE,VENI VIDI VICI,home,1,1,D,67.5,433,1.0,2.0
1,VENI VIDI VICI,BOVE,away,1,1,D,66.5,433,0.5,
1,TEAM ASRSUPERJULIAN,FANTA GPT,home,2,1,W,75.5,433,2.0,2.0
1,FANTA GPT,TEAM ASRSUPERJULIAN,away,1,2,L,68.0,442,0.5,
2,BJ EASTONE FC,DARTH VADER,home,2,2,D,76.0,442,,2.0
2,DARTH VADER,BJ EASTONE FC,away,2,2,D,73.5,433,1.0,
2,VENI VIDI VICI,TEAM ASRSUPERJULIAN,home,1,0,W,70.0,433,1.0,2.0
2,TEAM ASRSUPERJULIAN,VENI VIDI VICI,away,0,1,L,65.0,442,,
2,WINNING MOMENT,BOVE,home,2,1,W,72.5,352,,2.0
2,BOVE,WINNING MOMENT,away,1,2,L,71.0,433,2.0,
2,KKK,TIGER REBELS,home,3,2,W,81.0,433,1.0,2.0
2,TIGER REBELS,KKK,away,2,3,L,74.5,451,0.5,
2,FANTA GPT,ETHANANITA,home,1,0,W,68.0,442,0.5,2.0
2,ETHANANITA,FANTA GPT,away,0,1,L,62.0,433,,
3,DARTH VADER,FANTA GPT,home,2,1,W,75.5,433,0.5,2.0
3,FANTA GPT,DARTH VADER,away,1,2,L,67.0,433,,
3,ETHANANITA,VENI VIDI VICI,home,0,2,L,64.0,433,0.5,2.0
3,VENI VIDI VICI,ETHANANITA,away,2,0,W,75.0,433,1.0,
3,TIGER REBELS,BJ EASTONE FC,home,1,1,D,68.0,442,0.5,2.0
3,BJ EASTONE FC,TIGER REBELS,away,1,1,D,71.0,442,0.5,
3,KKK,WINNING MOMENT,home,2,1,W,76.0,433,0.5,2.0
3,WINNING MOMENT,KKK,away,1,2,L,70.5,541,2.0,
3,TEAM ASRSUPERJULIAN,BOVE,home,4,2,W,84.0,343,,2.0
3,BOVE,TEAM ASRSUPERJULIAN,away,2,4,L,72.5,433,2.0,
4,BJ EASTONE FC,KKK,home,2,0,W,74.0,442,,2.0
4,KKK,BJ EASTONE FC,away,0,2,L,63.0,433,,
4,BOVE,ETHANANITA,home,3,0,W,81.5,433,3.0,2.0
4,ETHANANITA,BOVE,away,0,3,L,60.0,433,0.5,
4,VENI VIDI VICI,DARTH VADER,home,1,0,W,71.5,433,0.5,2.0
4,DARTH VADER,VENI VIDI VICI,away,0,1,L,64.0,343,,
4,WINNING MOMENT,TEAM ASRSUPERJULIAN,home,5,3,W,91.5,352,,2.0
4,TEAM ASRSUPERJULIAN,WINNING MOMENT,away,3,5,L,79.0,343,,
4,FANTA GPT,TIGER REBELS,home,1,0,W,68.5,433,0.5,2.0
4,TIGER REBELS,FANTA GPT,away,0,1,L,62.5,451,0.5,
5,DARTH VADER,BOVE,home,0,1,L,65.0,343,,2.0
5,BOVE,DARTH VADER,away,1,0,W,68.5,433,1.0,
5,ETHANANITA,TEAM ASRSUPERJULIAN,home,0,1,L,65.0,433,,2.0
5,TEAM ASRSUPERJULIAN,ETHANANITA,away,1,0,W,70.0,433,0.5,
5,BJ EASTONE FC,WINNING MOMENT,home,3,1,W,79.0,451,0.5,2.0
5,WINNING MOMENT,BJ EASTONE FC,away,1,3,L,70.0,352,,
5,TIGER REBELS,VENI VIDI VICI,home,0,0,D,55.0,451,0.5,2.0
5,VENI VIDI VICI,TIGER REBELS,away,0,0,D,64.0,433,,
5,KKK,FANTA GPT,home,0,2,L,61.5,343,,2.0
5,FANTA GPT,KKK,away,2,0,W,74.5,433,1.0,
6,BOVE,TIGER REBELS,home,2,2,D,72.0,433,1.0,2.0
6,TIGER REBELS,BOVE,away,2,2,D,74.0,442,1.0,
6,VENI VIDI VICI,KKK,home,1,1,D,69.0,433,1.0,2.0
6,KKK,VENI VIDI VICI,away,1,1,D,68.0,433,,
6,WINNING MOMENT,ETHANANITA,home,1,0,W,70.0,352,,2.0
6,ETHANANITA,WINNING MOMENT,away,0,1,L,64.5,433,,
6,FANTA GPT,BJ EASTONE FC,home,2,0,W,73.0,433,1.0,2.0
6,BJ EASTONE FC,FANTA GPT,away,0,2,L,62.5,451,,
6,TEAM ASRSUPERJULIAN,DARTH VADER,home,0,1,L,58.5,433,,2.0
6,DARTH VADER,TEAM ASRSUPERJULIAN,away,1,0,W,71.5,433,0.5,
7,DARTH VADER,ETHANANITA,home,2,1,W,75.0,343,,2.0
7,ETHANANITA,DARTH VADER,away,1,2,L,68.5,442,1.0,
7,BJ EASTONE FC,VENI VIDI VICI,home,0,0,D,65.5,451,1.0,2.0
7,VENI VIDI VICI,BJ EASTONE FC,away,0,0,D,61.5,433,,
7,TIGER REBELS,TEAM ASRSUPERJULIAN,home,2,2,D,74.5,442,2.0,2.0
7,TEAM ASRSUPERJULIAN,TIGER REBELS,away,2,2,D,72.5,433,0.5,
7,KKK,BOVE,home,2,1,W,76.5,433,3.0,2.0
7,BOVE,KKK,away,1,2,L,67.0,433,1.0,
7,FANTA GPT,WINNING MOMENT,home,3,2,W,80.5,433,2.0,2.0
7,WINNING MOMENT,FANTA GPT,away,2,3,L,74.0,352,,
8,DARTH VADER,WINNING MOMENT,home,3,0,W,80.0,433,0.5,2.0
8,WINNING MOMENT,DARTH VADER,away,0,3,L,61.0,352,,
8,ETHANANITA,TIGER REBELS,home,1,1,D,69.5,451,1.0,2.0
8,TIGER REBELS,ETHANANITA,away,1,1,D,69.5,442,2.0,
8,BOVE,BJ EASTONE FC,home,3,1,W,80.5,433,1.0,2.0
8,BJ EASTONE FC,BOVE,away,1,3,L,66.5,451,1.0,
8,VENI VIDI VICI,FANTA GPT,home,2,2,D,74.0,433,0.5,2.0
8,FANTA GPT,VENI VIDI VICI,away,2,2,D,73.0,442,0.5,
8,TEAM ASRSUPERJULIAN,KKK,home,2,1,W,76.0,433,1.0,2.0
8,KKK,TEAM ASRSUPERJULIAN,away,1,2,L,69.5,433,0.5,
9,BJ EASTONE FC,TEAM ASRSUPERJULIAN,home,1,1,D,70.0,451,1.0,2.0
9,TEAM ASRSUPERJULIAN,BJ EASTONE FC,away,1,1,D,67.5,433,,
9,TIGER REBELS,DARTH VADER,home,1,3,L,71.0,442,1.0,2.0
9,DARTH VADER,TIGER REBELS,away,3,1,W,81.0,433,0.5,
9,WINNING MOMENT,VENI VIDI VICI,home,1,2,L,67.5,352,,2.0
9,VENI VIDI VICI,WINNING MOMENT,away,2,1,W,75.0,433,1.0,
9,KKK,ETHANANITA,home,0,0,D,65.0,343,,2.0
9,ETHANANITA,KKK,away,0,0,D,63.5,442,,
9,FANTA GPT,BOVE,home,0,0,D,64.0,433,,2.0
9,BOVE,FANTA GPT,away,0,0,D,64.5,433,,
10,DARTH VADER,BJ EASTONE FC,home,0,2,L,61.5,433,,2.0
10,BJ EASTONE FC,DARTH VADER,away,2,0,W,73.5,352,,
10,ETHANANITA,BOVE,home,3,4,L,79.0,442,1.0,2.0
10,BOVE,ETHANANITA,away,4,3,W,85.5,343,,
10,WINNING MOMENT,FANTA GPT,home,2,0,W,72.0,352,,2.0
10,FANTA GPT,WINNING MOMENT,away,0,2,L,64.0,541,0.5,
10,KKK,VENI VIDI VICI,home,2,0,W,75.0,343,,2.0
10,VENI VIDI VICI,KKK,away,0,2,L,64.5,433,0.5,
10,TEAM ASRSUPERJULIAN,TIGER REBELS,home,3,0,W,78.5,433,0.5,2.0
10,TIGER REBELS,TEAM ASRSUPERJULIAN,away,0,3,L,65.0,442,,
11,BJ EASTONE FC,ETHANANITA,home,1,2,L,68.5,352,,2.0
11,ETHANANITA,BJ EASTONE FC,away,2,1,W,76.0,442,1.0,
11,TIGER REBELS,KKK,home,2,4,L,72.5,442,0.5,2.0
11,KKK,TIGER REBELS,away,4,2,W,84.5,343,,
11,FANTA GPT,TEAM ASRSUPERJULIAN,home,3,2,W,79.5,433,1.0,2.0
11,TEAM ASRSUPERJULIAN,FANTA GPT,away,2,3,L,72.5,433,1.0,
11,VENI VIDI VICI,WINNING MOMENT,home,1,1,D,71.0,433,,2.0
11,WINNING MOMENT,VENI VIDI VICI,away,1,1,D,68.0,352,,
11,BOVE,DARTH VADER,home,0,2,L,64.0,433,0.5,2.0
11,DARTH VADER,BOVE,away,2,0,W,76.5,433,1.0,
12,TEAM ASRSUPERJULIAN,BJ EASTONE FC,home,1,0,W,71.5,433,0.5,2.0
