giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,TEAM DELVECCHIO23,ZDENEK ZEMAN,home,0,0,D,62.5,343,,2.0
1,ZDENEK ZEMAN,TEAM DELVECCHIO23,away,0,0,D,60.5,442,0.5,
1,BUSHAOZI,FC MCDONALD,home,1,2,L,69.0,442,,2.0
1,FC MCDONALD,BUSHAOZI,away,2,1,W,77.5,343,,
1,TEAM SJ,BATIGOAL,home,1,1,D,70.0,433,1.0,2.0
1,BATIGOAL,TEAM SJ,away,1,1,D,71.0,451,,
1,CHOWPOUROMA,GALLIFREY,home,2,2,D,76.5,433,1.0,2.0
1,GALLIFREY,CHOWPOUROMA,away,2,2,D,76.5,343,,
1,SUMMERED,HIGHRIVER,home,1,2,L,69.5,433,0.5,2.0
1,HIGHRIVER,SUMMERED,away,2,1,W,75.5,343,,
2,FC MCDONALD,TEAM DELVECCHIO23,home,2,1,W,75.5,343,,2.0
2,TEAM DELVECCHIO23,FC MCDONALD,away,1,2,L,69.5,343,,
2,GALLIFREY,SUMMERED,home,2,3,L,77.0,442,0.5,2.0
2,SUMMERED,GALLIFREY,away,3,2,W,79.5,433,0.5,
2,BATIGOAL,CHOWPOUROMA,home,1,1,D,68.5,451,0.5,2.0
2,CHOWPOUROMA,BATIGOAL,away,1,1,D,67.5,343,,
2,ZDENEK ZEMAN,TEAM SJ,home,2,0,W,74.5,352,,2.0
2,TEAM SJ,ZDENEK ZEMAN,away,0,2,L,45.5,343,,
2,HIGHRIVER,BUSHAOZI,home,0,2,L,64.5,343,,2.0
2,BUSHAOZI,HIGHRIVER,away,2,0,W,72.0,442,1.0,
3,TEAM DELVECCHIO23,HIGHRIVER,home,2,0,W,72.0,442,0.5,2.0
3,HIGHRIVER,TEAM DELVECCHIO23,away,0,2,L,65.0,343,,
3,BUSHAOZI,GALLIFREY,home,1,2,L,70.0,442,,2.0
3,GALLIFREY,BUSHAOZI,away,2,1,W,73.0,442,0.5,
3,TEAM SJ,FC MCDONALD,home,1,1,D,70.5,343,,2.0
3,FC MCDONALD,TEAM SJ,away,1,1,D,71.5,343,,
3,ZDENEK ZEMAN,BATIGOAL,home,3,1,W,79.0,442,1.0,2.0
3,BATIGOAL,ZDENEK ZEMAN,away,1,3,L,69.0,451,,
3,SUMMERED,CHOWPOUROMA,home,2,1,W,77.0,433,1.0,2.0
3,CHOWPOUROMA,SUMMERED,away,1,2,L,66.5,343,,
4,FC MCDONALD,ZDENEK ZEMAN,home,0,1,L,63.0,343,,2.0
4,ZDENEK ZEMAN,FC MCDONALD,away,1,0,W,67.5,442,,
4,CHOWPOUROMA,BUSHAOZI,home,2,1,W,73.0,343,,2.0
