participant,role,player,club,costo,credits_residui
OLD LIN,P,Lezzerini,Fio,1.0,2.0
QICello,P,Meret,Nap,46.0,0.0
OLD LIN,P,De Gea,Fio,40.0,2.0
QICello,P,Milinkovic-Savic V.,Nap,16.0,0.0
OLD LIN,P,Christensen O.,Fio,1.0,2.0
QICello,P,Contini,Nap,1.0,0.0
OLD LIN,D,Luperto,Cre,9.0,2.0
QICello,D,Di Lorenzo,Nap,12.0,0.0
OLD LIN,D,Zappa,Cag,6.0,2.0
QICello,D,Gabbia,Mil,7.0,0.0
OLD LIN,D,Gallo,Lec,6.0,2.0
QICello,D,Miranda J.,Bol,10.0,0.0
OLD LIN,D,Ismajli,Tor,7.0,2.0
QICello,D,Pavlovic,Mil,12.0,0.0
OLD LIN,D,Baschirotto,Cre,20.0,2.0
QICello,D,Gutierrez,Nap,21.0,0.0
OLD LIN,D,Circati,Par,5.0,2.0
QICello,D,De Winter,Mil,4.0,0.0
OLD LIN,D,Delprato,Par,9.0,2.0
QICello,D,Bisseck,Int,9.0,0.0
OLD LIN,D,Heggem,Bol,5.0,2.0
QICello,D,Rensch,Rom,4.0,0.0
OLD LIN,C,Barella,Int,40.0,2.0
QICello,C,Zielinski,Int,14.0,0.0
OLD LIN,C,Pasalic,Ata,17.0,2.0
QICello,C,Frattesi,Int,25.0,0.0
OLD LIN,C,Gaetano,Cag,14.0,2.0
QICello,C,McTominay,Nap,81.0,0.0
OLD LIN,C,Strefezza,Par,10.0,2.0
QICello,C,Vlasic,Tor,14.0,0.0
OLD LIN,C,Brescianini,Fio,7.0,2.0
QICello,C,Perrone,Com,14.0,0.0
OLD LIN,C,McKennie,Juv,10.0,2.0
QICello,C,Diouf,Int,2.0,0.0
OLD LIN,C,Konè M.,Rom,27.0,2.0
QICello,C,Isaksen,Laz,13.0,0.0
OLD LIN,C,Ellertsson,Gen,6.0,2.0
QICello,C,Vergara,Nap,9.0,0.0
OLD LIN,A,Berardi,Sas,47.0,2.0
QICello,A,Boga,Juv,8.0,0.0
OLD LIN,A,Zapata D.,Tor,6.0,2.0
QICello,A,Piccoli,Fio,7.0,0.0
OLD LIN,A,Martinez L.,Int,92.0,2.0
QICello,A,Yildiz,Juv,75.0,0.0
OLD LIN,A,Krstovic,Ata,15.0,2.0
QICello,A,Adams C.,Tor,14.0,0.0
OLD LIN,A,Cheddira,Lec,7.0,2.0
QICello,A,Kilicsoy,Cag,8.0,0.0
OLD LIN,A,Castro S.,Bol,35.0,2.0
QICello,A,Bowie,Ver,6.0,0.0
Team hanqi,P,Falcone,Lec,17.0,0.0
Darth Vader,P,Perin,Juv,1.0,0.0
Team hanqi,P,Silvestri,Cre,1.0,0.0
Darth Vader,P,Pinsoglio,Juv,1.0,0.0
Team hanqi,P,Fruchtl,Lec,1.0,0.0
Darth Vader,P,Di Gregorio,Juv,44.0,0.0
Team hanqi,D,Luperto,Cre,9.0,0.0
Darth Vader,D,Buongiorno,Nap,27.0,0.0
Team hanqi,D,Diego Carlos,Com,9.0,0.0
Darth Vader,D,Bremer,Juv,34.0,0.0
Team hanqi,D,Rrahmani,Nap,20.0,0.0
